U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0116117 ; 145.146375 ; 174.17565
1.1766667 ; 0.0104577 ; 130.72125 ; 153.8153375
1.1533333 ; 0.0097934 ; 122.4169 ; 141.1874913
1.13 ; 0.0092183 ; 115.2286375 ; 130.2083604
1.1066667 ; 0.0086918 ; 108.64745 ; 120.2365113
1.0833333 ; 0.008197 ; 102.4621375 ; 111.000649
1.06 ; 0.0077282 ; 96.6019625 ; 102.3980802
1.0366667 ; 0.0072891 ; 91.114325 ; 94.4551836
1.0133333 ; 0.0068647 ; 85.8084625 ; 86.9525753
0.99 ; 0.006452 ; 80.6504 ; 79.843896
0.9666667 ; 0.0060634 ; 75.7920125 ; 73.2656121
0.9433333 ; 0.0056909 ; 71.13655 ; 67.1054788
0.92 ; 0.0053268 ; 66.5844 ; 61.257648
0.8966667 ; 0.0049773 ; 62.2165 ; 55.7874617
0.8733333 ; 0.0046381 ; 57.97685 ; 50.6331157
0.85 ; 0.0043121 ; 53.90115 ; 45.8159775
0.8266667 ; 0.0039983 ; 49.9783125 ; 41.315405
0.8033333 ; 0.0036917 ; 46.1462 ; 37.0707807
0.78 ; 0.0033932 ; 42.4151875 ; 33.0838462
0.7566667 ; 0.0031062 ; 38.827525 ; 29.3794939
0.7333333 ; 0.0028304 ; 35.3801375 ; 25.9454342
0.71 ; 0.002564 ; 32.0504 ; 22.755784
0.6866667 ; 0.002307 ; 28.8369625 ; 19.8013809
0.6633333 ; 0.0020548 ; 25.68545 ; 17.0380152
0.64 ; 0.0018168 ; 22.7104125 ; 14.534664
0.6166667 ; 0.0015868 ; 19.8346 ; 12.2313367
0.5933333 ; 0.0013642 ; 17.05245 ; 10.117787
0.57 ; 0.0011532 ; 14.415 ; 8.21655
0.5466667 ; 0.0009536 ; 11.920345 ; 6.5164553
0.5233333 ; 0.0007619 ; 9.5242537 ; 4.9843595
0.5 ; 0.0005758 ; 7.1972637 ; 3.5986319
0.4766667 ; 0.0004036 ; 5.0455925 ; 2.4050658
0.4533333 ; 0.0002389 ; 2.986815 ; 1.3540228
0.43 ; 8.31e-05 ; 1.0390019 ; 0.4467708
0.4066667 ; -6.24e-05 ; -0.7797131 ; -0.3170833
0.3833333 ; -0.0002121 ; -2.6515588 ; -1.0164309
0.36 ; -0.000342 ; -4.2755575 ; -1.5392007
0.3366667 ; -0.0004629 ; -5.7861075 ; -1.9479895
0.3133333 ; -0.0005888 ; -7.3597763 ; -2.3060632
0.29 ; -0.0006908 ; -8.6350563 ; -2.5041663
0.2666667 ; -0.0008 ; -9.99939 ; -2.666504
0.2433333 ; -0.0008991 ; -11.2392262 ; -2.7348784
0.22 ; -0.0009835 ; -12.2937037 ; -2.7046148
0.1966667 ; -0.0010666 ; -13.3331 ; -2.6221763
0.1733333 ; -0.0011424 ; -14.2804 ; -2.4752693
0.15 ; -0.0012113 ; -15.141525 ; -2.2712287
0.1266667 ; -0.001282 ; -16.0247375 ; -2.0298001
0.1033333 ; -0.0013466 ; -16.8329625 ; -1.7394061
0.08 ; -0.0013966 ; -17.4581125 ; -1.396649
0.0566667 ; -0.0014452 ; -18.064725 ; -1.0236677
0.0333333 ; -0.0014799 ; -18.498675 ; -0.6166225
0.01 ; -0.0015236 ; -19.0444 ; -0.190444
-0.0133333 ; -0.0015616 ; -19.5206125 ; 0.2602748
-0.0366667 ; -0.0015937 ; -19.9218375 ; 0.7304674
-0.06 ; -0.0016388 ; -20.48515 ; 1.229109
-0.0833333 ; -0.0016823 ; -21.02925 ; 1.7524375
-0.1066667 ; -0.001725 ; -21.5627 ; 2.3000213
-0.13 ; -0.0017799 ; -22.249025 ; 2.8923733
-0.1533333 ; -0.0018355 ; -22.944075 ; 3.5180915
-0.1766667 ; -0.0019014 ; -23.7670375 ; 4.1988433
-0.2 ; -0.001974 ; -24.675475 ; 4.935095
