C1;	C2;	C3
1;	-0.9954597353296;	0.9689124217106
2;	-0.2451105801182;	0.8775825618904
3;	-1.24120183902;	0.7316888688738
4;	-0.4925536913974;	0.5403023058681
5;	-0.5932372949855;	0.3153223623953
6;	-1.47409723326;	0.0707372016677
7;	1.424139897683;	-0.1782460556495
8;	-0.3780760052781;	-0.4161468365471
9;	-0.3352510571046;	-0.6281736227227
10;	-0.1289521518717;	-0.8011436155469
11;	-0.02465952230753;	-0.9243023786325
12;	0.1559683560742;	-0.9899924966004
13;	0.08521587961624;	-0.9941296760805
14;	-0.6060170327758;	-0.9364566872908
15;	0.5687637579835;	-0.8205593573396
16;	-1.359192464999;	-0.6536436208636
17;	0.9430522410622;	-0.4460874899138
18;	0.2724193313162;	-0.2107957994308
19;	1.0903886725;	0.03760215288798
20;	0.6601254493872;	0.2836621854632
21;	1.367493868064;	0.5120854772418
22;	-0.2906262621999;	0.7086697742913
23;	0.9359326694445;	0.8611924171615
24;	-0.6348820126345;	0.9601702866504
25;	1.02024419362;	0.9994494182245
26;	0.3029674964612;	0.976587625728
27;	1.983516721609;	0.8930063446891
28;	-0.6116919627905;	0.7539022543433
29;	1.350918313818;	0.5679241732887
30;	0.4120560296511;	0.346635317835
