Eil.Nr.   ;hv, [eV]  ;Cor(N/Le) [min-1];Cor(N/Lq) [min-1];Ni vertė  ;Ni/min.   ;Sqrt(Ni)  ;Dujos   ;E.light     ;Q.Light     ;Laikas    ;

0         ;Tamsa     ;42        ;42        ;7         ;42        ;6         ;224       ;-1        ;-1        ;16:23:31  ;
1         ;Tamsa     ;36        ;36        ;6         ;36        ;6         ;225       ;-1        ;-1        ;16:23:43  ;
2         ;Tamsa     ;66        ;66        ;11        ;66        ;8         ;229       ;-1        ;-1        ;16:23:55  ;
3         ;4,5       ;73        ;65        ;9         ;54        ;7         ;226       ;0,740906  ;0,83348   ;16:24:08  ;
4         ;4,5       ;57        ;50        ;7         ;42        ;6         ;226       ;0,740906  ;0,83348   ;16:24:20  ;
5         ;4,5       ;57        ;50        ;7         ;42        ;6         ;234       ;0,740906  ;0,83348   ;16:24:32  ;
6         ;4,525     ;47        ;42        ;6         ;36        ;6         ;223       ;0,7593    ;0,84945   ;16:24:45  ;
7         ;4,525     ;63        ;57        ;8         ;48        ;7         ;226       ;0,7593    ;0,84945   ;16:24:57  ;
8         ;4,525     ;47        ;42        ;6         ;36        ;6         ;223       ;0,7593    ;0,84945   ;16:25:09  ;
9         ;4,55      ;108       ;97        ;14        ;84        ;9         ;225       ;0,777667  ;0,86522   ;16:25:22  ;
10        ;4,55      ;54        ;49        ;7         ;42        ;6         ;226       ;0,777667  ;0,86522   ;16:25:34  ;
11        ;4,55      ;46        ;42        ;6         ;36        ;6         ;226       ;0,777667  ;0,86522   ;16:25:46  ;
12        ;4,575     ;53        ;48        ;7         ;42        ;6         ;221       ;0,7957    ;0,88045   ;16:25:59  ;
13        ;4,575     ;60        ;55        ;8         ;48        ;7         ;219       ;0,7957    ;0,88045   ;16:26:11  ;
14        ;4,575     ;75        ;68        ;10        ;60        ;8         ;221       ;0,7957    ;0,88045   ;16:26:23  ;
15        ;4,6       ;44        ;40        ;6         ;36        ;6         ;221       ;0,813734  ;0,89551   ;16:26:36  ;
16        ;4,6       ;81        ;74        ;11        ;66        ;8         ;221       ;0,813734  ;0,89551   ;16:26:48  ;
17        ;4,6       ;44        ;40        ;6         ;36        ;6         ;220       ;0,813734  ;0,89551   ;16:27:00  ;
18        ;4,625     ;72        ;66        ;10        ;60        ;8         ;218       ;0,829     ;0,90738   ;16:27:14  ;
19        ;4,625     ;51        ;46        ;7         ;42        ;6         ;220       ;0,829     ;0,90738   ;16:27:26  ;
20        ;4,625     ;36        ;33        ;5         ;30        ;5         ;220       ;0,829     ;0,90738   ;16:27:38  ;
21        ;4,65      ;36        ;33        ;5         ;30        ;5         ;222       ;0,844312  ;0,91917   ;16:27:51  ;
22        ;4,65      ;36        ;33        ;5         ;30        ;5         ;222       ;0,844312  ;0,91917   ;16:28:03  ;
23        ;4,65      ;43        ;39        ;6         ;36        ;6         ;222       ;0,844312  ;0,91917   ;16:28:15  ;
24        ;4,675     ;28        ;26        ;4         ;24        ;5         ;223       ;0,8596    ;0,93081   ;16:28:28  ;
25        ;4,675     ;63        ;58        ;9         ;54        ;7         ;224       ;0,8596    ;0,93081   ;16:28:40  ;
26        ;4,675     ;28        ;26        ;4         ;24        ;5         ;224       ;0,8596    ;0,93081   ;16:28:52  ;
27        ;4,7       ;48        ;45        ;7         ;42        ;6         ;224       ;0,874955  ;0,9424    ;16:29:05  ;
28        ;4,7       ;48        ;45        ;7         ;42        ;6         ;225       ;0,874955  ;0,9424    ;16:29:17  ;
29        ;4,7       ;34        ;32        ;5         ;30        ;5         ;225       ;0,874955  ;0,9424    ;16:29:29  ;
30        ;4,725     ;54        ;50        ;8         ;48        ;7         ;226       ;0,8874    ;0,95074   ;16:29:42  ;
31        ;4,725     ;54        ;50        ;8         ;48        ;7         ;223       ;0,8874    ;0,95074   ;16:29:54  ;
