Eil.Nr.   ;hv, [eV]  ;Cor(N/Le) [min-1];Cor(N/Lq) [min-1];Ni vertė  ;Ni/min.   ;Sqrt(Ni)  ;Dujos   ;E.light     ;Q.Light     ;Laikas    ;

0         ;Tamsa     ;72        ;72        ;6         ;72        ;8         ;214       ;-1        ;-1        ;15:01:34  ;
1         ;Tamsa     ;36        ;36        ;3         ;36        ;6         ;214       ;-1        ;-1        ;15:01:41  ;
2         ;Tamsa     ;12        ;12        ;1         ;12        ;3         ;214       ;-1        ;-1        ;15:01:47  ;
3         ;4,5       ;65        ;58        ;4         ;48        ;7         ;213       ;0,740906  ;0,83348   ;15:01:55  ;
4         ;4,5       ;227       ;202       ;14        ;168       ;13        ;213       ;0,740906  ;0,83348   ;15:02:01  ;
5         ;4,5       ;16        ;14        ;1         ;12        ;3         ;213       ;0,740906  ;0,83348   ;15:02:08  ;
6         ;4,525     ;63        ;57        ;4         ;48        ;7         ;213       ;0,7593    ;0,84945   ;15:02:15  ;
7         ;4,525     ;79        ;71        ;5         ;60        ;8         ;213       ;0,7593    ;0,84945   ;15:02:22  ;
8         ;4,525     ;47        ;42        ;3         ;36        ;6         ;213       ;0,7593    ;0,84945   ;15:02:28  ;
9         ;4,55      ;93        ;83        ;6         ;72        ;8         ;213       ;0,777667  ;0,86522   ;15:02:36  ;
10        ;4,55      ;62        ;55        ;4         ;48        ;7         ;213       ;0,777667  ;0,86522   ;15:02:42  ;
11        ;4,55      ;154       ;139       ;10        ;120       ;11        ;214       ;0,777667  ;0,86522   ;15:02:49  ;
12        ;4,575     ;60        ;55        ;4         ;48        ;7         ;214       ;0,7957    ;0,88045   ;15:02:57  ;
13        ;4,575     ;45        ;41        ;3         ;36        ;6         ;214       ;0,7957    ;0,88045   ;15:03:03  ;
14        ;4,575     ;106       ;95        ;7         ;84        ;9         ;214       ;0,7957    ;0,88045   ;15:03:10  ;
15        ;4,6       ;44        ;40        ;3         ;36        ;6         ;215       ;0,813734  ;0,89551   ;15:03:17  ;
16        ;4,6       ;74        ;67        ;5         ;60        ;8         ;215       ;0,813734  ;0,89551   ;15:03:24  ;
17        ;4,6       ;44        ;40        ;3         ;36        ;6         ;215       ;0,813734  ;0,89551   ;15:03:30  ;
18        ;4,625     ;87        ;79        ;6         ;72        ;8         ;215       ;0,829     ;0,90738   ;15:03:38  ;
19        ;4,625     ;43        ;40        ;3         ;36        ;6         ;215       ;0,829     ;0,90738   ;15:03:44  ;
20        ;4,625     ;29        ;26        ;2         ;24        ;5         ;214       ;0,829     ;0,90738   ;15:03:51  ;
21        ;4,65      ;71        ;65        ;5         ;60        ;8         ;215       ;0,844312  ;0,91917   ;15:03:58  ;
22        ;4,65      ;43        ;39        ;3         ;36        ;6         ;215       ;0,844312  ;0,91917   ;15:04:05  ;
23        ;4,65      ;57        ;52        ;4         ;48        ;7         ;214       ;0,844312  ;0,91917   ;15:04:11  ;
24        ;4,675     ;42        ;39        ;3         ;36        ;6         ;214       ;0,8596    ;0,93081   ;15:04:19  ;
25        ;4,675     ;56        ;52        ;4         ;48        ;7         ;215       ;0,8596    ;0,93081   ;15:04:26  ;
26        ;4,675     ;56        ;52        ;4         ;48        ;7         ;215       ;0,8596    ;0,93081   ;15:04:32  ;
27        ;4,7       ;27        ;25        ;2         ;24        ;5         ;214       ;0,874955  ;0,9424    ;15:04:40  ;
28        ;4,7       ;55        ;51        ;4         ;48        ;7         ;215       ;0,874955  ;0,9424    ;15:04:46  ;
