Eil.Nr.   ;hv, [eV]  ;Cor(N/Le) [min-1];Cor(N/Lq) [min-1];Ni vertė  ;Ni/min.   ;Sqrt(Ni)  ;Dujos   ;E.light     ;Q.Light     ;Laikas    ;

0         ;Tamsa     ;78        ;78        ;13        ;78        ;9         ;222       ;-1        ;-1        ;15:32:35  ;
1         ;Tamsa     ;54        ;54        ;9         ;54        ;7         ;221       ;-1        ;-1        ;15:32:47  ;
2         ;Tamsa     ;66        ;66        ;11        ;66        ;8         ;222       ;-1        ;-1        ;15:32:59  ;
3         ;4,5       ;65        ;58        ;8         ;48        ;7         ;220       ;0,740906  ;0,83348   ;15:33:12  ;
4         ;4,5       ;40        ;36        ;5         ;30        ;5         ;220       ;0,740906  ;0,83348   ;15:33:24  ;
5         ;4,5       ;57        ;50        ;7         ;42        ;6         ;220       ;0,740906  ;0,83348   ;15:33:36  ;
6         ;4,525     ;47        ;42        ;6         ;36        ;6         ;221       ;0,7593    ;0,84945   ;15:33:49  ;
7         ;4,525     ;71        ;64        ;9         ;54        ;7         ;224       ;0,7593    ;0,84945   ;15:34:01  ;
8         ;4,525     ;87        ;78        ;11        ;66        ;8         ;224       ;0,7593    ;0,84945   ;15:34:13  ;
9         ;4,55      ;62        ;55        ;8         ;48        ;7         ;222       ;0,777667  ;0,86522   ;15:34:26  ;
10        ;4,55      ;62        ;55        ;8         ;48        ;7         ;222       ;0,777667  ;0,86522   ;15:34:38  ;
11        ;4,55      ;62        ;55        ;8         ;48        ;7         ;220       ;0,777667  ;0,86522   ;15:34:50  ;
12        ;4,575     ;53        ;48        ;7         ;42        ;6         ;223       ;0,7957    ;0,88045   ;15:35:03  ;
13        ;4,575     ;30        ;27        ;4         ;24        ;5         ;219       ;0,7957    ;0,88045   ;15:35:15  ;
14        ;4,575     ;45        ;41        ;6         ;36        ;6         ;220       ;0,7957    ;0,88045   ;15:35:27  ;
15        ;4,6       ;59        ;54        ;8         ;48        ;7         ;222       ;0,813734  ;0,89551   ;15:35:40  ;
16        ;4,6       ;22        ;20        ;3         ;18        ;4         ;221       ;0,813734  ;0,89551   ;15:35:53  ;
17        ;4,6       ;59        ;54        ;8         ;48        ;7         ;218       ;0,813734  ;0,89551   ;15:36:04  ;
18        ;4,625     ;58        ;53        ;8         ;48        ;7         ;220       ;0,829     ;0,90738   ;15:36:18  ;
19        ;4,625     ;22        ;20        ;3         ;18        ;4         ;221       ;0,829     ;0,90738   ;15:36:30  ;
20        ;4,625     ;43        ;40        ;6         ;36        ;6         ;221       ;0,829     ;0,90738   ;15:36:42  ;
21        ;4,65      ;50        ;46        ;7         ;42        ;6         ;221       ;0,844312  ;0,91917   ;15:36:55  ;
22        ;4,65      ;36        ;33        ;5         ;30        ;5         ;221       ;0,844312  ;0,91917   ;15:37:07  ;
23        ;4,65      ;50        ;46        ;7         ;42        ;6         ;220       ;0,844312  ;0,91917   ;15:37:19  ;
