  E[eV]   Ni[c/min]   EQQ/s     EEQ/s     O2[%]     t[now]  
============================================================
  Tamsa       0        0.00      0.00      3.93    17:08:51 
  4.500       48       0.96      1.08      4.00    17:08:58 
  4.500       48       0.96      1.08      4.00    17:09:03 
  4.500       48       0.96      1.08      4.00    17:09:09 
  4.525       12       0.24      0.26      4.07    17:09:15 
  4.525       60       1.18      1.32      4.07    17:09:20 
  4.525       12       0.24      0.26      3.93    17:09:26 
  4.550      132       2.54      2.83      3.93    17:09:31 
  4.550       84       1.62      1.80      4.00    17:09:37 
  4.550       24       0.46      0.51      4.00    17:09:42 
  4.575       60       1.14      1.26      4.00    17:09:48 
  4.575       36       0.68      0.75      4.07    17:09:53 
  4.575       36       0.68      0.75      4.07    17:09:59 
  4.600       60       1.12      1.23      4.07    17:10:04 
  4.600       36       0.67      0.74      3.93    17:10:10 
  4.600       0        0.00      0.00      4.00    17:10:15 
  4.625       48       0.88      0.97      4.00    17:10:21 
  4.625       48       0.88      0.97      4.00    17:10:26 
  4.625       84       1.54      1.69      4.07    17:10:32 
  4.650       24       0.44      0.47      4.07    17:10:37 
  4.650       72       1.31      1.42      4.07    17:10:43 
  4.650       36       0.65      0.71      3.93    17:10:48 
  4.675       36       0.64      0.70      3.93    17:10:54 
  4.675       48       0.86      0.93      3.93    17:10:59 
  4.675       36       0.64      0.70      4.00    17:11:05 
  4.700       36       0.64      0.69      4.00    17:11:10 
  4.700       24       0.42      0.46      4.00    17:11:16 
  4.700       24       0.42      0.46      4.07    17:11:22 
  4.725       36       0.63      0.68      4.07    17:11:27 
  4.725       36       0.63      0.68      4.07    17:11:33 
  4.725       96       1.68      1.80      3.93    17:11:38 
  4.750       48       0.83      0.89      4.00    17:11:44 
  4.750       48       0.83      0.89      4.00    17:11:49 
  4.750       36       0.63      0.67      4.00    17:11:55 
  4.775       60       1.04      1.10      4.00    17:12:00 
  4.775       48       0.83      0.88      4.07    17:12:06 
  4.775      144       2.49      2.64      4.07    17:12:11 
  4.800       60       1.03      1.09      3.93    17:12:17 
  4.800       36       0.62      0.65      3.93    17:12:22 
  4.800      132       2.27      2.39      4.00    17:12:28 
  4.825       72       1.23      1.29      4.00    17:12:33 
  4.825       72       1.23      1.29      4.00    17:12:39 
  4.825       36       0.61      0.64      4.00    17:12:44 
  4.850       60       1.02      1.06      4.07    17:12:50 
  4.850       72       1.22      1.27      4.07    17:12:55 
  4.850       60       1.02      1.06      3.93    17:13:01 
  4.875       48       0.81      0.84      3.93    17:13:06 
  4.875       48       0.81      0.84      4.00    17:13:12 
  4.875       36       0.61      0.63      4.00    17:13:17 
  4.900       12       0.20      0.21      4.00    17:13:23 
  4.900       72       1.21      1.25      4.00    17:13:29 
  4.900      168       2.82      2.91      4.07    17:13:34 
  4.925      108       1.81      1.86      4.07    17:13:40 
  4.925       96       1.61      1.65      3.93    17:13:45 
  4.925       60       1.00      1.03      3.93    17:13:51 
  4.950       24       0.40      0.41      4.00    17:13:56 
  4.950       60       1.00      1.03      4.00    17:14:02 
  4.950      192       3.21      3.28      4.00    17:14:07 
  4.975       72       1.20      1.22      4.00    17:14:13 
  4.975      120       2.00      2.04      4.07    17:14:18 
  4.975       24       0.40      0.41      4.07    17:14:24 
  5.000       60       1.00      1.01      4.00    17:14:29 
  5.000       84       1.40      1.42      3.93    17:14:35 
  5.000      108       1.80      1.82      4.00    17:14:40 
  5.025       72       1.20      1.21      4.00    17:14:46 
  5.025      120       2.00      2.02      4.00    17:14:51 
  5.025       84       1.40      1.41      4.00    17:14:57 
  5.050      120       2.01      2.01      4.07    17:15:02 
  5.050       60       1.00      1.01      4.07    17:15:08 
  5.050       96       1.61      1.61      4.07    17:15:13 
  5.075       72       1.21      1.21      3.93    17:15:19 
  5.075      144       2.42      2.41      4.00    17:15:24 
  5.075       84       1.41      1.41      4.00    17:15:30 
  5.100      120       2.02      2.01      4.00    17:15:35 
  5.100      108       1.82      1.81      4.00    17:15:41 
  5.100      144       2.43      2.41      4.07    17:15:47 
  5.125      132       2.25      2.22      4.07    17:15:52 
  5.125      120       2.04      2.02      3.93    17:15:58 
  5.125      120       2.04      2.02      3.93    17:16:03 
  5.150       96       1.65      1.62      4.00    17:16:09 
  5.150      288       4.95      4.86      4.00    17:16:14 
  5.150      168       2.88      2.84      4.00    17:16:20 
  5.175      144       2.51      2.45      4.00    17:16:25 
  5.175      240       4.18      4.09      4.07    17:16:31 
  5.175      276       4.81      4.70      4.07    17:16:36 
  5.200      252       4.45      4.33      4.00    17:16:42 
  5.200      252       4.45      4.33      3.93    17:16:47 
  5.200      204       3.60      3.51      4.00    17:16:53 
  5.225      156       2.81      2.72      4.00    17:16:58 
  5.225      264       4.76      4.61      4.00    17:17:04 
  5.225      288       5.19      5.03      4.07    17:17:09 
  5.250      264       4.85      4.68      4.07    17:17:15 
  5.250      312       5.74      5.53      4.07    17:17:20 
