  E[eV]   Ni[c/min]   EQQ/s     EEQ/s     O2[%]     t[now]  
============================================================
  Tamsa       0        0.00      0.00      4.00    17:32:17 
  4.500       36       0.72      0.81      4.00    17:32:23 
  4.500       96       1.92      2.16      4.07    17:32:29 
  4.500       48       0.96      1.08      4.07    17:32:34 
  4.525       12       0.24      0.26      3.93    17:32:40 
  4.525       36       0.71      0.79      3.93    17:32:45 
  4.525      120       2.35      2.63      3.93    17:32:51 
  4.550       72       1.39      1.54      3.93    17:32:56 
  4.550       24       0.46      0.51      3.93    17:33:02 
  4.550       24       0.46      0.51      4.00    17:33:07 
  4.575       48       0.91      1.01      4.00    17:33:13 
  4.575       36       0.68      0.75      4.07    17:33:19 
  4.575       48       0.91      1.01      4.07    17:33:24 
  4.600       36       0.67      0.74      4.07    17:33:30 
  4.600       48       0.89      0.98      3.93    17:33:35 
  4.600       24       0.45      0.49      3.93    17:33:41 
  4.625       48       0.88      0.97      4.00    17:33:46 
  4.625       12       0.22      0.24      3.93    17:33:52 
  4.625       72       1.32      1.45      4.07    17:33:57 
  4.650       24       0.44      0.47      4.07    17:34:03 
  4.650       84       1.52      1.66      4.07    17:34:08 
  4.650       48       0.87      0.95      3.93    17:34:14 
  4.675       36       0.64      0.70      3.93    17:34:19 
  4.675       84       1.50      1.63      3.93    17:34:25 
  4.675       24       0.43      0.47      3.93    17:34:30 
  4.700       72       1.27      1.37      4.00    17:34:36 
  4.700       72       1.27      1.37      4.00    17:34:41 
  4.700       72       1.27      1.37      4.00    17:34:47 
  4.725       48       0.84      0.90      4.07    17:34:52 
  4.725       48       0.84      0.90      4.07    17:34:58 
  4.725       60       1.05      1.13      3.93    17:35:03 
  4.750       60       1.04      1.11      4.00    17:35:09 
  4.750       72       1.25      1.33      4.00    17:35:14 
  4.750       96       1.67      1.78      4.00    17:35:20 
  4.775       84       1.45      1.54      4.00    17:35:26 
  4.775       36       0.62      0.66      4.07    17:35:31 
  4.775       48       0.83      0.88      4.07    17:35:37 
  4.800       72       1.24      1.30      4.07    17:35:42 
  4.800       60       1.03      1.09      3.93    17:35:48 
  4.800       48       0.82      0.87      3.93    17:35:53 
  4.825      120       2.05      2.15      4.00    17:35:59 
  4.825      168       2.87      3.01      4.00    17:36:04 
  4.825       12       0.20      0.21      4.00    17:36:10 
  4.850       36       0.61      0.64      4.07    17:36:15 
