  E[eV]   Ni[c/min]   EQQ/s     EEQ/s     O2[%]     t[now]  
============================================================
  Tamsa       12       0.20      0.20      4.07    17:54:35 
  4.500      132       2.64      2.97      4.07    17:54:41 
  4.500       96       1.92      2.16      4.07    17:54:47 
  4.500      108       2.16      2.43      3.93    17:54:52 
  4.525      108       2.12      2.37      4.00    17:54:58 
  4.525      168       3.30      3.69      4.00    17:55:03 
  4.525      144       2.83      3.16      4.00    17:55:09 
  4.550      120       2.31      2.57      4.07    17:55:14 
  4.550      108       2.08      2.31      4.07    17:55:20 
  4.550      168       3.24      3.60      4.07    17:55:25 
  4.575      204       3.86      4.27      3.93    17:55:31 
  4.575      240       4.54      5.03      4.00    17:55:36 
  4.575      204       3.86      4.27      4.00    17:55:42 
  4.600      108       2.01      2.21      4.00    17:55:47 
  4.600      252       4.69      5.16      4.00    17:55:53 
  4.600      168       3.13      3.44      4.00    17:55:59 
  4.625      144       2.64      2.90      4.07    17:56:04 
  4.625      144       2.64      2.90      4.07    17:56:10 
  4.625      192       3.53      3.86      3.93    17:56:15 
  4.650      180       3.26      3.55      4.00    17:56:21 
  4.650      180       3.26      3.55      4.00    17:56:26 
  4.650      216       3.92      4.26      4.00    17:56:32 
  4.675      252       4.51      4.89      4.00    17:56:37 
  4.675      252       4.51      4.89      4.07    17:56:43 
  4.675      228       4.08      4.42      4.07    17:56:48 
  4.700      192       3.40      3.66      4.07    17:56:54 
  4.700      180       3.18      3.43      3.93    17:56:59 
  4.700      312       5.52      5.94      3.93    17:57:05 
  4.725      252       4.42      4.73      4.00    17:57:10 
  4.725      216       3.79      4.06      4.00    17:57:16 
  4.725      1524     26.72     28.62      4.00    17:57:21 
  4.750      192       3.34      3.56      4.00    17:57:27 
  4.750      252       4.38      4.67      4.07    17:57:32 
  4.750      204       3.55      3.78      4.07    17:57:38 
  4.775      228       3.94      4.17      4.00    17:57:43 
  4.775      348       6.01      6.37      3.93    17:57:49 
  4.775      336       5.80      6.15      3.93    17:57:54 
  4.800      288       4.94      5.21      4.00    17:58:00 
  4.800      276       4.74      5.00      4.00    17:58:05 
  4.800      384       6.59      6.95      4.07    17:58:11 
  4.825      396       6.76      7.09      4.07    17:58:17 
  4.825      288       4.91      5.16      4.07    17:58:22 
  4.825      336       5.73      6.02      3.93    17:58:28 
  4.850      528       8.96      9.35      4.00    17:58:33 
  4.850      288       4.89      5.10      4.00    17:58:39 
  4.850      312       5.29      5.52      4.00    17:58:44 
  4.875      264       4.45      4.63      4.00    17:58:50 
  4.875      504       8.50      8.83      4.00    17:58:55 
  4.875      420       7.09      7.36      4.07    17:59:01 
  4.900      540       9.06      9.36      4.07    17:59:06 
  4.900      528       8.86      9.16      3.93    17:59:12 
  4.900      492       8.26      8.53      3.93    17:59:17 
  4.925      468       7.84      8.06      4.00    17:59:23 
  4.925      612      10.25     10.54      4.00    17:59:28 
  4.925      360       6.03      6.20      4.00    17:59:34 
  4.950      588       9.83     10.05      4.07    17:59:39 
  4.950      432       7.22      7.39      4.07    17:59:45 
  4.950      408       6.82      6.97      4.07    17:59:50 
  4.975      468       7.81      7.95      3.93    17:59:56 
  4.975      372       6.21      6.32      3.93    18:00:01 
  4.975      480       8.01      8.15      4.00    18:00:07 
  5.000      456       7.60      7.69      4.00    18:00:12 
  5.000      408       6.80      6.88      4.00    18:00:18 
  5.000      504       8.40      8.50      4.00    18:00:24 
  5.025      468       7.81      7.87      4.07    18:00:29 
  5.025      660      11.02     11.10      4.07    18:00:35 
  5.025      708      11.82     11.91      3.93    18:00:40 
  5.050      840      14.05     14.08      3.93    18:00:46 
  5.050      708      11.84     11.87      4.00    18:00:51 
  5.050      492       8.23      8.25      4.00    18:00:57 
  5.075      516       8.67      8.64      4.00    18:01:02 
  5.075      756      12.70     12.67      4.07    18:01:08 
  5.075      456       7.66      7.64      4.07    18:01:13 
  5.100      612      10.32     10.25      4.07    18:01:19 
  5.100      540       9.11      9.04      3.93    18:01:24 
  5.100      720      12.15     12.06      4.00    18:01:30 
  5.125      768      13.07     12.91      4.00    18:01:35 
  5.125      540       9.19      9.08      4.00    18:01:41 
  5.125      552       9.39      9.28      4.00    18:01:46 
  5.150      612      10.51     10.33      4.00    18:01:52 
  5.150      648      11.13     10.94      4.07    18:01:57 
  5.150      780      13.39     13.17      4.07    18:02:03 
  5.175      684      11.91     11.65      3.93    18:02:08 
  5.175      768      13.37     13.08      3.93    18:02:14 
  5.175      732      12.75     12.47      4.00    18:02:20 
  5.200      756      13.35     13.00      4.00    18:02:25 
  5.200      708      12.50     12.17      4.00    18:02:31 
  5.200      648      11.44     11.14      4.00    18:02:36 
  5.225      744      13.40     12.99      4.07    18:02:42 
  5.225      660      11.89     11.52      4.07    18:02:47 
  5.225      876      15.78     15.29      3.93    18:02:53 
  5.250      900      16.55     15.95      3.93    18:02:58 
  5.250      780      14.34     13.83      4.00    18:03:04 
  5.250      804      14.78     14.25      4.00    18:03:09 
  5.275      756      14.30     13.72      4.00    18:03:15 
  5.275      648      12.26     11.76      4.00    18:03:20 
  5.275      840      15.89     15.25      4.07    18:03:26 
  5.300      1164     22.66     21.64      4.07    18:03:31 
  5.300      1104     21.49     20.53      3.93    18:03:37 
  5.300      972      18.92     18.07      3.93    18:03:42 
  5.325      1212     24.43     23.23      4.00    18:03:48 
  5.325      948      19.11     18.17      4.00    18:03:53 
  5.325      912      18.38     17.48      4.00    18:03:59 
  5.350      1188     24.82     23.49      4.00    18:04:04 
  5.350      1248     26.08     24.67      4.07    18:04:10 
  5.350      1152     24.07     22.78      4.07    18:04:16 
  5.375      1260     27.44     25.84      3.93    18:04:21 
  5.375      1140     24.83     23.38      3.93    18:04:27 
  5.375      1404     30.58     28.80      4.00    18:04:32 
  5.400      1656     37.63     35.28      4.00    18:04:38 
  5.400      1452     33.00     30.93      4.00    18:04:43 
  5.400      1236     28.09     26.33      4.00    18:04:49 
  5.425      1908     45.32     42.29      4.07    18:04:54 
  5.425      1800     42.75     39.89      4.07    18:05:00 
  5.425      1572     37.34     34.84      3.93    18:05:05 
  5.450      2232     55.49     51.55      3.93    18:05:11 
  5.450      2028     50.42     46.84      4.00    18:05:16 
  5.450      1956     48.63     45.17      4.00    18:05:22 
  5.475      2328     60.60     56.03      4.00    18:05:27 
  5.475      2304     59.97     55.45      4.00    18:05:33 
  5.475      2136     55.60     51.41      4.07    18:05:38 
  5.500      2712     74.04     68.15      4.07    18:05:44 
  5.500      3156     86.17     79.31      4.07    18:05:49 
  5.500      3012     82.24     75.69      3.93    18:05:55 
  5.525      3744     106.83    97.88      4.00    18:06:00 
  5.525      3432     97.93     89.73      4.00    18:06:06 
  5.525      3780     107.86    98.82      4.00    18:06:12 
  5.550      4128     123.29    112.45     4.00    18:06:17 
  5.550      3900     116.48    106.24     4.07    18:06:23 
  5.550      3888     116.12    105.92     4.07    18:06:28 
  5.575      4980     155.24    140.96     4.07    18:06:34 
  5.575      5028     156.74    142.32     3.93    18:06:39 
  5.575      5316     165.72    150.48     4.00    18:06:45 
  5.600      5652     184.18    166.49     4.00    18:06:50 
  5.600      5928     193.17    174.62     4.00    18:06:56 
  5.600      5736     186.92    168.97     4.00    18:07:01 
  5.625      6264     212.81    191.52     4.07    18:07:07 
  5.625      6900     234.42    210.97     4.07    18:07:12 
  5.625      7020     238.50    214.64     4.07    18:07:18 
  5.650      8052     285.64    255.93     3.93    18:07:23 
  5.650      7980     283.09    253.64     4.00    18:07:29 
  5.650      7836     277.98    249.06     4.00    18:07:34 
  5.675      8652     318.91    284.47     4.00    18:07:40 
  5.675      8592     316.70    282.50     4.00    18:07:45 
  5.675      8664     319.35    284.87     4.07    18:07:51 
  5.700     10716     410.94    364.97     4.07    18:07:56 
  5.700     11412     437.63    388.67     4.07    18:08:02 
  5.700     10992     421.53    374.37     3.93    18:08:07 
  5.725     12960     518.53    458.50     4.00    18:08:13 
  5.725     12672     507.01    448.31     4.00    18:08:19 
  5.725     12708     508.45    449.59     4.00    18:08:24 
  5.750     14964     625.69    550.85     4.00    18:08:30 
  5.750     13572     567.49    499.61     4.07    18:08:35 
  5.750     14304     598.09    526.56     4.07    18:08:41 
  5.775     16032     701.53    614.96     4.07    18:08:46 
  5.775     16620     727.26    637.51     3.93    18:08:52 
  5.775     16392     717.29    628.77     4.00    18:08:57 
  5.800     17676     811.08    707.92     4.00    18:09:03 
  5.800     17988     825.40    720.41     4.00    18:09:08 
  5.800     16740     768.13    670.43     4.00    18:09:14 
  5.825     18756     902.63    784.44     4.07    18:09:19 
  5.825     21204    1020.44    886.83     4.07    18:09:25 
  5.825     20472     985.22    856.21     4.07    18:09:30 
  5.850     24492    1238.66   1071.88     3.93    18:09:36 
  5.850     23016    1164.01   1007.29     3.93    18:09:41 
  5.850     23352    1181.00   1021.99     3.93    18:09:47 
  5.875     24636    1303.41   1123.09     4.00    18:09:52 
  5.875     24684    1305.95   1125.27     4.00    18:09:58 
  5.875     24384    1290.08   1111.60     4.07    18:10:03 
  5.900     27120    1503.61   1290.13     4.07    18:10:09 
  5.900     28476    1578.79   1354.63     4.07    18:10:14 
  5.900     28380    1573.47   1350.07     3.93    18:10:20 
  5.925     30084    1748.68   1494.04     3.93    18:10:25 
  5.925     28164    1637.08   1398.69     4.00    18:10:31 
  5.925     29484    1713.81   1464.24     4.00    18:10:37 
  5.950     31704    1935.18   1646.43     4.00    18:10:42 
  5.950     31692    1934.44   1645.81     4.07    18:10:48 
  5.950     32400    1977.66   1682.58     4.07    18:10:53 
  5.975     36840    2337.00   1980.01     4.07    18:10:59 
  5.975     36972    2345.37   1987.10     3.93    18:11:04 
  5.975     35952    2280.67   1932.28     3.93    18:11:10 
  6.000     39168    2585.76   2181.61     4.00    18:11:15 
  6.000     38604    2548.52   2150.20     4.00    18:11:21 
  6.000     37188    2455.04   2071.33     4.00    18:11:26 
  6.025     38628    2624.11   2204.79     4.07    18:11:32 
  6.025     42036    2855.63   2399.32     4.07    18:11:37 
  6.025     42168    2864.60   2406.85     4.07    18:11:43 
  6.050     47088    3292.78   2755.18     3.93    18:11:48 
  6.050     45624    3190.40   2669.52     3.93    18:11:54 
  6.050     44484    3110.68   2602.82     3.93    18:11:59 
  6.075     49848    3562.00   2968.20     4.00    18:12:05 
  6.075     48636    3475.39   2896.03     4.00    18:12:10 
  6.075     47952    3426.51   2855.31     4.07    18:12:16 
  6.100     52740    3852.22   3196.82     4.07    18:12:21 
  6.100     55464    4051.19   3361.93     4.07    18:12:27 
  6.100     52932    3866.25   3208.46     3.93    18:12:32 
  6.125     57192    4257.26   3518.64     3.93    18:12:38 
  6.125     55440    4126.84   3410.85     4.00    18:12:44 
  6.125     55392    4123.27   3407.90     4.00    18:12:49 
  6.150     59688    4527.79   3726.93     4.00    18:12:55 
  6.150     57996    4399.44   3621.28     4.07    18:13:00 
  6.150     61848    4691.64   3861.80     4.07    18:13:06 
  6.175     69360    5341.22   4378.79     4.07    18:13:11 
  6.175     66936    5154.55   4225.76     3.93    18:13:17 
  6.175     66648    5132.38   4207.58     3.93    18:13:22 
  6.200     68364    5343.78   4363.18     4.00    18:13:28 
  6.200     68436    5349.40   4367.77     4.00    18:13:33 
  6.200     66576    5204.01   4249.06     4.00    18:13:39 
  6.225     71556    5713.05   4645.89     4.00    18:13:44 
  6.225     71868    5737.96   4666.15     4.07    18:13:50 
  6.225     76080    6074.25   4939.62     4.07    18:13:55 
  Tamsa       36       0.60      0.60      3.93    18:14:02 
===Matavimų parametrai===
===Ts[s]: 5.00; Cth[V]: 2.00;
===Įtampa U[V]: 2550;
=========================
