SC ; F/B ; Uoc ; jsc ; FF ; Umax ; jmax ; Pmax ; PCE; S; t
 [?] ; [?] ; [V] ; [mA/cm^2] ; [%] ; [V] ; [mA/cm^2] ; [mW/cm^2] ; [%] ; [cm^2]; [min.]
P_III_REF_1k_10-25 ; FW ; 1.048 ; -14.83888 ; 57.3896 ; 0.736 ; -12.126249999999999 ; -8.9247 ; 8.9247 ; 0.08 ; -1.0
P_III_REF_1k_10-25 ; BW ; 1.048 ; -14.98405 ; 59.5824 ; 0.827 ; -11.31375 ; -9.3564 ; 9.3564 ; 0.08 ; -1.0
P_III_REF_2k_10-25 ; FW ; 0.996 ; -13.43314 ; 61.5012 ; 0.736 ; -11.18 ; -8.2285 ; 8.2285 ; 0.08 ; -1.0
P_III_REF_2k_10-25 ; BW ; 1.035 ; -13.8441 ; 63.4651 ; 0.775 ; -11.73375 ; -9.0937 ; 9.0937 ; 0.08 ; -1.0
P_III_REF_3k_10-25 ; FW ; 0.957 ; -12.25571 ; 59.4133 ; 0.723 ; -9.63875 ; -6.9684 ; 6.9684 ; 0.08 ; -1.0
P_III_REF_3k_10-25 ; BW ; 1.035 ; -13.29566 ; 63.2431 ; 0.762 ; -11.42125 ; -8.7029 ; 8.7029 ; 0.08 ; -1.0
P_III_REF_4k_10-25 ; FW ; 0.593 ; -13.21983 ; 32.7104 ; 0.333 ; -7.7 ; -2.5643 ; 2.5643 ; 0.08 ; -1.0
P_III_REF_4k_10-25 ; BW ; 0.671 ; -13.36829 ; 31.7707 ; 0.411 ; -6.93375 ; -2.8499 ; 2.8499 ; 0.08 ; -1.0
P_III_REF_5k_10-25 ; FW ; 0.957 ; -10.18585 ; 58.1151 ; 0.71 ; -7.97875 ; -5.665 ; 5.665 ; 0.08 ; -1.0
P_III_REF_5k_10-25 ; BW ; 1.022 ; -10.92538 ; 63.9099 ; 0.775 ; -9.2075 ; -7.136 ; 7.136 ; 0.08 ; -1.0
P_III_REF_5k_10-25_X2 ; FW ; 0.98083 ; -10.8558 ; 59.9326 ; 0.7208 ; -8.8525 ; -6.3815 ; 6.3815 ; 0.08 ; -1.0
P_III_REF_5k_10-25_X2 ; BW ; 1.02417 ; -11.30475 ; 64.4716 ; 0.775 ; -9.631250000000001 ; -7.4645 ; 7.4645 ; 0.08 ; -1.0
A_III_V1547+3S_1k_10-25 ; FW ; 0.567 ; -0.09536 ; 21.7301 ; 0.281 ; -0.04125 ; -0.0117 ; 0.0117 ; 0.08 ; -1.0
A_III_V1547+3S_1k_10-25 ; BW ; 0.528 ; -0.07641 ; 17.9103 ; 0.229 ; -0.03125 ; -0.0072 ; 0.0072 ; 0.08 ; -1.0
A_III_V1547+3S_2k_10-25 ; FW ; 0.554 ; -0.05169 ; 16.819 ; 0.216 ; -0.0225 ; -0.0048 ; 0.0048 ; 0.08 ; -1.0
