U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0006122 ; 7.65229 ; 9.182748
1.1766667 ; 0.000376 ; 4.7004862 ; 5.5309055
1.1533333 ; 0.0002191 ; 2.7389975 ; 3.1589771
1.13 ; 9.23e-05 ; 1.1541755 ; 1.3042183
1.1066667 ; 5.9e-06 ; 0.0736586 ; 0.0815155
1.0833333 ; -0.0001001 ; -1.2515164 ; -1.3558094
1.06 ; -0.0001823 ; -2.2786525 ; -2.4153716
1.0366667 ; -0.0002575 ; -3.2188837 ; -3.3369095
1.0133333 ; -0.0003228 ; -4.035185 ; -4.0889875
0.99 ; -0.0003925 ; -4.9058937 ; -4.8568348
0.9666667 ; -0.0004535 ; -5.6685137 ; -5.4795633
0.9433333 ; -0.0005102 ; -6.3771575 ; -6.0157852
0.92 ; -0.0005652 ; -7.0651525 ; -6.4999403
0.8966667 ; -0.000613 ; -7.662915 ; -6.8710804
0.8733333 ; -0.0006557 ; -8.19591 ; -7.1577614
0.85 ; -0.0006903 ; -8.6287437 ; -7.3344322
0.8266667 ; -0.0007241 ; -9.0515925 ; -7.4826498
0.8033333 ; -0.0007546 ; -9.4329862 ; -7.5778323
0.78 ; -0.0007784 ; -9.7305388 ; -7.5898202
0.7566667 ; -0.0008014 ; -10.017115 ; -7.579617
0.7333333 ; -0.0008254 ; -10.31807 ; -7.5665847
0.71 ; -0.0008468 ; -10.5854963 ; -7.5157023
0.6866667 ; -0.0008669 ; -10.835915 ; -7.4406616
0.6633333 ; -0.0008831 ; -11.038645 ; -7.3223012
0.64 ; -0.0009024 ; -11.279745 ; -7.2190368
0.6166667 ; -0.000912 ; -11.3998662 ; -7.0299175
0.5933333 ; -0.000933 ; -11.6623975 ; -6.9196892
0.57 ; -0.0009457 ; -11.821545 ; -6.7382806
0.5466667 ; -0.0009569 ; -11.9609137 ; -6.5386328
0.5233333 ; -0.0009758 ; -12.1970187 ; -6.3831065
0.5 ; -0.000989 ; -12.362425 ; -6.1812125
0.4766667 ; -0.000998 ; -12.4746788 ; -5.9462635
0.4533333 ; -0.0010122 ; -12.652625 ; -5.7358567
0.43 ; -0.001025 ; -12.8119125 ; -5.5091224
0.4066667 ; -0.0010311 ; -12.8892875 ; -5.2416436
0.3833333 ; -0.0010432 ; -13.0399 ; -4.9986283
0.36 ; -0.0010564 ; -13.2056 ; -4.754016
0.3366667 ; -0.0010672 ; -13.3403375 ; -4.491247
0.3133333 ; -0.0010767 ; -13.4582875 ; -4.2169301
0.29 ; -0.0010833 ; -13.541375 ; -3.9269987
0.2666667 ; -0.0010949 ; -13.68585 ; -3.64956
0.2433333 ; -0.0011013 ; -13.7661125 ; -3.349754
0.22 ; -0.0011108 ; -13.88515 ; -3.054733
0.1966667 ; -0.0011186 ; -13.982975 ; -2.7499851
0.1733333 ; -0.0011248 ; -14.059475 ; -2.4369757
0.15 ; -0.0011317 ; -14.14685 ; -2.1220275
0.1266667 ; -0.0011435 ; -14.294125 ; -1.8105892
0.1033333 ; -0.0011491 ; -14.3641125 ; -1.4842916
0.08 ; -0.0011554 ; -14.4424 ; -1.155392
0.0566667 ; -0.0011634 ; -14.542 ; -0.8240467
0.0333333 ; -0.0011704 ; -14.6294625 ; -0.4876487
0.01 ; -0.0011761 ; -14.7006375 ; -0.1470064
-0.0133333 ; -0.0011839 ; -14.7986 ; 0.1973147
-0.0366667 ; -0.0011918 ; -14.8972625 ; 0.546233
-0.06 ; -0.0012001 ; -15.000725 ; 0.9000435
-0.0833333 ; -0.0012045 ; -15.055675 ; 1.2546396
-0.1066667 ; -0.0012151 ; -15.188425 ; 1.6200987
-0.13 ; -0.0012168 ; -15.2105625 ; 1.9773731
-0.1533333 ; -0.0012225 ; -15.2807125 ; 2.3430426
-0.1766667 ; -0.0012277 ; -15.3457875 ; 2.7110891
-0.2 ; -0.0012359 ; -15.44935 ; 3.08987
