U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0039948 ; 49.9353625 ; 59.922435
1.1766667 ; 0.003398 ; 42.475175 ; 49.9791226
1.1533333 ; 0.0030869 ; 38.586075 ; 44.5026065
1.13 ; 0.0028027 ; 35.033375 ; 39.5877137
1.1066667 ; 0.0025369 ; 31.7109375 ; 35.0934375
1.0833333 ; 0.0022868 ; 28.5845625 ; 30.9666094
1.06 ; 0.0020509 ; 25.6366375 ; 27.1748357
1.0366667 ; 0.0018266 ; 22.832275 ; 23.6694584
1.0133333 ; 0.001614 ; 20.1749375 ; 20.4439367
0.99 ; 0.001404 ; 17.5497 ; 17.374203
0.9666667 ; 0.0012092 ; 15.1145875 ; 14.6107679
0.9433333 ; 0.0010205 ; 12.7567875 ; 12.0339029
0.92 ; 0.000839 ; 10.487325 ; 9.648339
0.8966667 ; 0.0006605 ; 8.2564125 ; 7.4032499
0.8733333 ; 0.000489 ; 6.1129238 ; 5.3386201
0.85 ; 0.0003274 ; 4.0930813 ; 3.4791191
0.8266667 ; 0.0001709 ; 2.1367288 ; 1.7663624
0.8033333 ; 2.58e-05 ; 0.3222241 ; 0.2588534
0.78 ; -0.0001142 ; -1.4279862 ; -1.1138293
0.7566667 ; -0.0002401 ; -3.00065 ; -2.2704918
0.7333333 ; -0.000362 ; -4.5245113 ; -3.3179749
0.71 ; -0.0004676 ; -5.8448525 ; -4.1498453
0.6866667 ; -0.0005642 ; -7.0524975 ; -4.8427149
0.6633333 ; -0.0006479 ; -8.0987862 ; -5.3721949
0.64 ; -0.0007233 ; -9.0413013 ; -5.7864328
0.6166667 ; -0.0007918 ; -9.8980587 ; -6.1038029
0.5933333 ; -0.0008573 ; -10.7166663 ; -6.3585553
0.57 ; -0.0009155 ; -11.443935 ; -6.5230429
0.5466667 ; -0.0009674 ; -12.0921712 ; -6.6103869
0.5233333 ; -0.0010114 ; -12.642025 ; -6.6159931
0.5 ; -0.0010584 ; -13.2301875 ; -6.6150937
0.4766667 ; -0.0010989 ; -13.7363625 ; -6.5476661
0.4533333 ; -0.0011406 ; -14.257525 ; -6.4634113
0.43 ; -0.0011739 ; -14.6737625 ; -6.3097179
0.4066667 ; -0.0012144 ; -15.1795875 ; -6.1730322
0.3833333 ; -0.001251 ; -15.6376375 ; -5.9944277
0.36 ; -0.0012784 ; -15.980475 ; -5.752971
0.3366667 ; -0.001311 ; -16.387175 ; -5.5170156
0.3133333 ; -0.0013412 ; -16.76465 ; -5.2529237
0.29 ; -0.0013654 ; -17.0672125 ; -4.9494916
0.2666667 ; -0.0013871 ; -17.339275 ; -4.6238067
0.2433333 ; -0.0014081 ; -17.6012 ; -4.2829587
0.22 ; -0.0014245 ; -17.806175 ; -3.9173585
0.1966667 ; -0.0014529 ; -18.1614 ; -3.571742
0.1733333 ; -0.0014671 ; -18.338575 ; -3.1786863
0.15 ; -0.0014796 ; -18.495375 ; -2.7743062
0.1266667 ; -0.0014938 ; -18.6719875 ; -2.3651184
0.1033333 ; -0.0015057 ; -18.8206625 ; -1.9448018
0.08 ; -0.001518 ; -18.9752375 ; -1.518019
0.0566667 ; -0.0015257 ; -19.071375 ; -1.0807112
0.0333333 ; -0.001532 ; -19.1502125 ; -0.6383404
0.01 ; -0.0015426 ; -19.2826625 ; -0.1928266
-0.0133333 ; -0.0015513 ; -19.3909875 ; 0.2585465
-0.0366667 ; -0.001555 ; -19.43785 ; 0.7127212
-0.06 ; -0.0015637 ; -19.5459875 ; 1.1727593
-0.0833333 ; -0.0015738 ; -19.6730375 ; 1.6394198
-0.1066667 ; -0.0015784 ; -19.730025 ; 2.104536
-0.13 ; -0.0015899 ; -19.8740375 ; 2.5836249
-0.1533333 ; -0.0015987 ; -19.9832125 ; 3.0640926
-0.1766667 ; -0.0016122 ; -20.1524625 ; 3.5602684
-0.2 ; -0.0016306 ; -20.3829 ; 4.07658
