U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0149477 ; 186.846375 ; 224.21565
1.1766667 ; 0.0136598 ; 170.747 ; 200.9123033
1.1533333 ; 0.0129018 ; 161.272 ; 186.0003733
1.13 ; 0.0122292 ; 152.86475 ; 172.7371675
1.1066667 ; 0.0116095 ; 145.118375 ; 160.5976683
1.0833333 ; 0.0110224 ; 137.779875 ; 149.2615312
1.06 ; 0.0104641 ; 130.801375 ; 138.6494575
1.0366667 ; 0.0099273 ; 124.0912125 ; 128.6412236
1.0133333 ; 0.0094107 ; 117.6331375 ; 119.2015793
0.99 ; 0.008896 ; 111.200075 ; 110.0880742
0.9666667 ; 0.0084078 ; 105.0980375 ; 101.5947696
0.9433333 ; 0.0079371 ; 99.2142375 ; 93.5920974
0.92 ; 0.0074822 ; 93.5273375 ; 86.0451505
0.8966667 ; 0.0070366 ; 87.9569125 ; 78.8680315
0.8733333 ; 0.006606 ; 82.5753125 ; 72.1157729
0.85 ; 0.0061911 ; 77.3884375 ; 65.7801719
0.8266667 ; 0.0057889 ; 72.3610625 ; 59.8184783
0.8033333 ; 0.005395 ; 67.4375625 ; 54.1748419
0.78 ; 0.0050183 ; 62.72855 ; 48.928269
0.7566667 ; 0.0046558 ; 58.1975625 ; 44.0361556
0.7333333 ; 0.0043001 ; 53.75095 ; 39.4173633
0.71 ; 0.0039563 ; 49.453575 ; 35.1120382
0.6866667 ; 0.0036167 ; 45.209 ; 31.0435133
0.6633333 ; 0.0032982 ; 41.2273875 ; 27.3475004
0.64 ; 0.0029782 ; 37.2281 ; 23.825984
0.6166667 ; 0.002683 ; 33.5378125 ; 20.681651
0.5933333 ; 0.0023932 ; 29.9154 ; 17.749804
0.57 ; 0.0021167 ; 26.4593 ; 15.081801
0.5466667 ; 0.0018489 ; 23.111075 ; 12.6340543
0.5233333 ; 0.001599 ; 19.988075 ; 10.4604259
0.5 ; 0.0013554 ; 16.9419 ; 8.47095
0.4766667 ; 0.0011144 ; 13.930325 ; 6.6401216
0.4533333 ; 0.0008877 ; 11.0968587 ; 5.030576
0.43 ; 0.0006673 ; 8.340815 ; 3.5865504
0.4066667 ; 0.0004669 ; 5.83574 ; 2.3732009
0.3833333 ; 0.0002627 ; 3.2842625 ; 1.2589673
0.36 ; 7.92e-05 ; 0.9898515 ; 0.3563465
0.3366667 ; -9.7e-05 ; -1.2125455 ; -0.4082237
0.3133333 ; -0.0002719 ; -3.3992838 ; -1.0651089
0.29 ; -0.0004303 ; -5.3787987 ; -1.5598516
0.2666667 ; -0.0005756 ; -7.1944125 ; -1.91851
0.2433333 ; -0.0007229 ; -9.0366762 ; -2.1989246
0.22 ; -0.0008569 ; -10.7113337 ; -2.3564934
0.1966667 ; -0.0009843 ; -12.3037063 ; -2.4197289
0.1733333 ; -0.001092 ; -13.6496125 ; -2.3659328
0.15 ; -0.0011997 ; -14.9960375 ; -2.2494056
0.1266667 ; -0.0012996 ; -16.2444875 ; -2.0576351
0.1033333 ; -0.0013838 ; -17.29745 ; -1.7874032
0.08 ; -0.0014549 ; -18.1857625 ; -1.454861
0.0566667 ; -0.0015306 ; -19.1325625 ; -1.0841785
0.0333333 ; -0.0015883 ; -19.854025 ; -0.6618008
0.01 ; -0.0016492 ; -20.61475 ; -0.2061475
-0.0133333 ; -0.0016957 ; -21.1968625 ; 0.2826248
-0.0366667 ; -0.0017502 ; -21.8780375 ; 0.8021947
-0.06 ; -0.0017951 ; -22.4383875 ; 1.3463033
-0.0833333 ; -0.0018622 ; -23.2769625 ; 1.9397469
-0.1066667 ; -0.0019313 ; -24.1416375 ; 2.575108
-0.13 ; -0.001995 ; -24.9374 ; 3.241862
-0.1533333 ; -0.0020809 ; -26.011 ; 3.9883533
-0.1766667 ; -0.0021662 ; -27.077175 ; 4.7836343
-0.2 ; -0.0022745 ; -28.431425 ; 5.686285
