U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0012118 ; 15.1474625 ; 18.176955
1.1766667 ; 0.0009592 ; 11.9896575 ; 14.1078303
1.1533333 ; 0.0008337 ; 10.4218562 ; 12.0198742
1.13 ; 0.0007196 ; 8.99475 ; 10.1640675
1.1066667 ; 0.0006136 ; 7.6701213 ; 8.4882675
1.0833333 ; 0.0005131 ; 6.4135438 ; 6.9480057
1.06 ; 0.0004171 ; 5.2135425 ; 5.526355
1.0366667 ; 0.0003239 ; 4.0485037 ; 4.1969489
1.0133333 ; 0.0002323 ; 2.9038112 ; 2.9425287
0.99 ; 0.0001388 ; 1.7351725 ; 1.7178208
0.9666667 ; 4.72e-05 ; 0.5902702 ; 0.5705946
0.9433333 ; -4.56e-05 ; -0.569981 ; -0.5376821
0.92 ; -0.0001404 ; -1.7550075 ; -1.6146069
0.8966667 ; -0.0002359 ; -2.9487425 ; -2.6440391
0.8733333 ; -0.0003323 ; -4.1538838 ; -3.6277251
0.85 ; -0.0004286 ; -5.35802 ; -4.554317
0.8266667 ; -0.0005238 ; -6.5474062 ; -5.4125225
0.8033333 ; -0.0006184 ; -7.7300488 ; -6.2098058
0.78 ; -0.0007092 ; -8.864785 ; -6.9145323
0.7566667 ; -0.0007995 ; -9.9935975 ; -7.5618221
0.7333333 ; -0.0008825 ; -11.0314762 ; -8.0897492
0.71 ; -0.0009607 ; -12.00815 ; -8.5257865
0.6866667 ; -0.0010338 ; -12.9227 ; -8.8735873
0.6633333 ; -0.0011018 ; -13.7722875 ; -9.1356174
0.64 ; -0.001165 ; -14.562975 ; -9.320304
0.6166667 ; -0.0012157 ; -15.1961375 ; -9.3709515
0.5933333 ; -0.0012628 ; -15.7847625 ; -9.3656257
0.57 ; -0.0013065 ; -16.33155 ; -9.3089835
0.5466667 ; -0.0013433 ; -16.791675 ; -9.179449
0.5233333 ; -0.0013786 ; -17.2327 ; -9.0184463
0.5 ; -0.0014089 ; -17.611675 ; -8.8058375
0.4766667 ; -0.0014364 ; -17.9547875 ; -8.5584487
0.4533333 ; -0.0014546 ; -18.182925 ; -8.242926
0.43 ; -0.0014813 ; -18.5164 ; -7.962052
0.4066667 ; -0.0014904 ; -18.6294875 ; -7.5759916
0.3833333 ; -0.0015153 ; -18.9417 ; -7.260985
0.36 ; -0.0015244 ; -19.0551875 ; -6.8598675
0.3366667 ; -0.0015371 ; -19.21315 ; -6.4684272
0.3133333 ; -0.0015514 ; -19.39265 ; -6.0763637
0.29 ; -0.0015639 ; -19.548375 ; -5.6690287
0.2666667 ; -0.0015764 ; -19.7048875 ; -5.2546367
0.2433333 ; -0.0015871 ; -19.8390375 ; -4.8274991
0.22 ; -0.0015981 ; -19.976225 ; -4.3947695
0.1966667 ; -0.0016054 ; -20.067525 ; -3.9466132
0.1733333 ; -0.0016141 ; -20.1765 ; -3.49726
0.15 ; -0.0016214 ; -20.2681 ; -3.040215
0.1266667 ; -0.0016224 ; -20.280275 ; -2.5688348
0.1033333 ; -0.0016373 ; -20.4659375 ; -2.1148135
0.08 ; -0.001642 ; -20.5251875 ; -1.642015
0.0566667 ; -0.0016465 ; -20.5812625 ; -1.1662715
0.0333333 ; -0.0016568 ; -20.710025 ; -0.6903342
0.01 ; -0.0016602 ; -20.7519125 ; -0.2075191
-0.0133333 ; -0.0016655 ; -20.818975 ; 0.2775863
-0.0366667 ; -0.0016723 ; -20.9042125 ; 0.7664878
-0.06 ; -0.0016802 ; -21.0020375 ; 1.2601223
-0.0833333 ; -0.0016827 ; -21.033525 ; 1.7527938
-0.1066667 ; -0.0016915 ; -21.1436375 ; 2.2553213
-0.13 ; -0.0016973 ; -21.21615 ; 2.7580995
-0.1533333 ; -0.0017007 ; -21.2585 ; 3.2596367
-0.1766667 ; -0.0017087 ; -21.3581875 ; 3.7732798
-0.2 ; -0.0017116 ; -21.394425 ; 4.278885
