U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0019031 ; 27.1868429 ; 32.6242114
1.1766667 ; 0.0016303 ; 23.2900857 ; 27.4046675
1.1533333 ; 0.0014972 ; 21.3885857 ; 24.6681689
1.13 ; 0.001383 ; 19.7569714 ; 22.3253777
1.1066667 ; 0.0012771 ; 18.2444286 ; 20.190501
1.0833333 ; 0.0011799 ; 16.8550857 ; 18.2596762
1.06 ; 0.0010898 ; 15.5689571 ; 16.5030946
1.0366667 ; 0.0010051 ; 14.3584429 ; 14.8849191
1.0133333 ; 0.0009238 ; 13.1969871 ; 13.372947
0.99 ; 0.0008442 ; 12.0606243 ; 11.940018
0.9666667 ; 0.0007697 ; 10.9960657 ; 10.6295302
0.9433333 ; 0.0006986 ; 9.9801543 ; 9.4146122
0.92 ; 0.0006288 ; 8.9830757 ; 8.2644297
0.8966667 ; 0.0005617 ; 8.0240057 ; 7.1948585
0.8733333 ; 0.0004949 ; 7.0701171 ; 6.174569
0.85 ; 0.0004291 ; 6.1299757 ; 5.2104794
0.8266667 ; 0.0003651 ; 5.2162014 ; 4.3120598
0.8033333 ; 0.0003022 ; 4.3165357 ; 3.467617
0.78 ; 0.0002385 ; 3.4077471 ; 2.6580428
0.7566667 ; 0.0001772 ; 2.5314386 ; 1.9154552
0.7333333 ; 0.0001161 ; 1.6587529 ; 1.2164188
0.71 ; 5.6e-05 ; 0.799568 ; 0.5676933
0.6866667 ; 4.1e-06 ; 0.0584763 ; 0.0401537
0.6633333 ; -6.12e-05 ; -0.8744573 ; -0.5800567
0.64 ; -0.00012 ; -1.7141929 ; -1.0970834
0.6166667 ; -0.0001786 ; -2.5510829 ; -1.5731678
0.5933333 ; -0.0002351 ; -3.3588414 ; -1.9929126
0.57 ; -0.0002907 ; -4.15283 ; -2.3671131
0.5466667 ; -0.0003427 ; -4.8955471 ; -2.6762324
0.5233333 ; -0.0003953 ; -5.6472829 ; -2.9554114
0.5 ; -0.0004434 ; -6.33452 ; -3.16726
0.4766667 ; -0.0004936 ; -7.0513043 ; -3.3611217
0.4533333 ; -0.0005394 ; -7.7051214 ; -3.4929884
0.43 ; -0.0005865 ; -8.3791914 ; -3.6030523
0.4066667 ; -0.0006248 ; -8.9251257 ; -3.6295511
0.3833333 ; -0.0006666 ; -9.5227614 ; -3.6503919
0.36 ; -0.000702 ; -10.0287657 ; -3.6103557
0.3366667 ; -0.0007353 ; -10.5040629 ; -3.5363678
0.3133333 ; -0.000771 ; -11.0139086 ; -3.4510247
0.29 ; -0.0007999 ; -11.42708 ; -3.3138532
0.2666667 ; -0.0008305 ; -11.8637886 ; -3.163677
0.2433333 ; -0.0008545 ; -12.2067157 ; -2.9703008
0.22 ; -0.0008793 ; -12.5610043 ; -2.7634209
0.1966667 ; -0.0009002 ; -12.8604143 ; -2.5292148
0.1733333 ; -0.0009214 ; -13.1622271 ; -2.2814527
0.15 ; -0.0009386 ; -13.40847 ; -2.0112705
0.1266667 ; -0.0009581 ; -13.6870443 ; -1.7336923
0.1033333 ; -0.0009751 ; -13.9305 ; -1.439485
0.08 ; -0.0009871 ; -14.1011786 ; -1.1280943
0.0566667 ; -0.000995 ; -14.2148614 ; -0.8055088
0.0333333 ; -0.0010061 ; -14.3731714 ; -0.4791057
0.01 ; -0.001017 ; -14.5286714 ; -0.1452867
-0.0133333 ; -0.0010283 ; -14.6899429 ; 0.1958659
-0.0366667 ; -0.0010416 ; -14.8806143 ; 0.5456225
-0.06 ; -0.0010482 ; -14.9749429 ; 0.8984966
-0.0833333 ; -0.0010622 ; -15.1744286 ; 1.2645357
-0.1066667 ; -0.0010695 ; -15.2784143 ; 1.6296975
-0.13 ; -0.001078 ; -15.4004 ; 2.002052
-0.1533333 ; -0.0010879 ; -15.5420857 ; 2.3831198
-0.1766667 ; -0.0011034 ; -15.7632429 ; 2.7848396
-0.2 ; -0.0011162 ; -15.9450714 ; 3.1890143
