U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0005102 ; 7.2882471 ; 8.7458966
1.1766667 ; 0.0004285 ; 6.1207529 ; 7.2020859
1.1533333 ; 0.0003767 ; 5.3818 ; 6.2070093
1.13 ; 0.0003336 ; 4.7654214 ; 5.3849262
1.1066667 ; 0.0002952 ; 4.2170229 ; 4.6668386
1.0833333 ; 0.0002599 ; 3.7134057 ; 4.0228562
1.06 ; 0.0002268 ; 3.2396257 ; 3.4340033
1.0366667 ; 0.000195 ; 2.7851686 ; 2.8872914
1.0133333 ; 0.0001641 ; 2.34404 ; 2.3752939
0.99 ; 0.0001323 ; 1.8906029 ; 1.8716968
0.9666667 ; 0.0001013 ; 1.4478544 ; 1.3995926
0.9433333 ; 6.85e-05 ; 0.9786487 ; 0.923192
0.92 ; 3.35e-05 ; 0.47855 ; 0.440266
0.8966667 ; 2e-06 ; 0.0288915 ; 0.0259061
0.8733333 ; -4.08e-05 ; -0.5829904 ; -0.509145
0.85 ; -8.37e-05 ; -1.1950991 ; -1.0158343
0.8266667 ; -0.0001289 ; -1.8408014 ; -1.5217292
0.8033333 ; -0.000178 ; -2.5430671 ; -2.0429306
0.78 ; -0.0002292 ; -3.27495 ; -2.554461
0.7566667 ; -0.0002829 ; -4.0410471 ; -3.0577257
0.7333333 ; -0.0003404 ; -4.8633414 ; -3.5664504
0.71 ; -0.0003966 ; -5.6651457 ; -4.0222535
0.6866667 ; -0.0004576 ; -6.5365529 ; -4.488433
0.6633333 ; -0.0005169 ; -7.38455 ; -4.8984182
0.64 ; -0.0005752 ; -8.21704 ; -5.2589056
0.6166667 ; -0.0006342 ; -9.0592929 ; -5.5865639
0.5933333 ; -0.0006911 ; -9.8729557 ; -5.8579537
0.57 ; -0.0007474 ; -10.6765243 ; -6.0856188
0.5466667 ; -0.0007995 ; -11.4216314 ; -6.2438252
0.5233333 ; -0.0008503 ; -12.1468271 ; -6.3568395
0.5 ; -0.0008963 ; -12.8044486 ; -6.4022243
0.4766667 ; -0.0009387 ; -13.4098557 ; -6.3920312
0.4533333 ; -0.0009784 ; -13.9766157 ; -6.3360658
0.43 ; -0.0010129 ; -14.4700714 ; -6.2221307
0.4066667 ; -0.0010472 ; -14.9595429 ; -6.0835474
0.3833333 ; -0.0010752 ; -15.3598571 ; -5.8879452
0.36 ; -0.0010981 ; -15.6866857 ; -5.6472069
0.3366667 ; -0.0011182 ; -15.9742286 ; -5.3779903
0.3133333 ; -0.0011404 ; -16.2910143 ; -5.1045178
0.29 ; -0.0011578 ; -16.5395714 ; -4.7964757
0.2666667 ; -0.0011695 ; -16.7068286 ; -4.4551543
0.2433333 ; -0.0011802 ; -16.8602429 ; -4.1026591
0.22 ; -0.0011947 ; -17.0677714 ; -3.7549097
0.1966667 ; -0.0012061 ; -17.2293 ; -3.388429
0.1733333 ; -0.0012145 ; -17.3499571 ; -3.0073259
0.15 ; -0.0012204 ; -17.4347571 ; -2.6152136
0.1266667 ; -0.0012267 ; -17.5248571 ; -2.2198152
0.1033333 ; -0.001237 ; -17.6707571 ; -1.8259782
0.08 ; -0.0012437 ; -17.7666143 ; -1.4213291
0.0566667 ; -0.0012451 ; -17.7874571 ; -1.0079559
0.0333333 ; -0.0012448 ; -17.7834143 ; -0.5927805
0.01 ; -0.0012538 ; -17.9121 ; -0.179121
-0.0133333 ; -0.0012624 ; -18.0348714 ; 0.240465
-0.0366667 ; -0.0012622 ; -18.0311714 ; 0.661143
-0.06 ; -0.001269 ; -18.1289857 ; 1.0877391
-0.0833333 ; -0.0012722 ; -18.1748 ; 1.5145667
-0.1066667 ; -0.0012757 ; -18.2245 ; 1.9439467
-0.13 ; -0.0012819 ; -18.3123143 ; 2.3806009
-0.1533333 ; -0.0012831 ; -18.3306857 ; 2.8107051
-0.1766667 ; -0.0012824 ; -18.3197571 ; 3.2364904
-0.2 ; -0.0012925 ; -18.4644857 ; 3.6928971
