U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0008113 ; 10.1408625 ; 12.169035
1.1766667 ; 0.0005391 ; 6.738465 ; 7.9289271
1.1533333 ; 0.0003505 ; 4.3807487 ; 5.0524636
1.13 ; 0.0002026 ; 2.5324087 ; 2.8616219
1.1066667 ; 8.54e-05 ; 1.0674843 ; 1.1813492
1.0833333 ; 1.31e-05 ; 0.1639919 ; 0.1776579
1.06 ; -8.4e-05 ; -1.049858 ; -1.1128495
1.0366667 ; -0.0001546 ; -1.931965 ; -2.0028037
1.0133333 ; -0.0002194 ; -2.7422 ; -2.7787627
0.99 ; -0.0002781 ; -3.4759762 ; -3.4412165
0.9666667 ; -0.0003312 ; -4.1397638 ; -4.0017716
0.9433333 ; -0.0003804 ; -4.7556175 ; -4.4861325
0.92 ; -0.0004264 ; -5.3295713 ; -4.9032055
0.8966667 ; -0.0004648 ; -5.8099175 ; -5.2095594
0.8733333 ; -0.0004992 ; -6.2394638 ; -5.4491317
0.85 ; -0.0005281 ; -6.60179 ; -5.6115215
0.8266667 ; -0.0005538 ; -6.9225713 ; -5.7226589
0.8033333 ; -0.00058 ; -7.2505062 ; -5.8245734
0.78 ; -0.0005981 ; -7.4758712 ; -5.8311796
0.7566667 ; -0.000618 ; -7.72536 ; -5.8455224
0.7333333 ; -0.0006358 ; -7.9474637 ; -5.8281401
0.71 ; -0.0006502 ; -8.1273238 ; -5.7703999
0.6866667 ; -0.0006645 ; -8.3060025 ; -5.703455
0.6633333 ; -0.0006809 ; -8.5107975 ; -5.6454957
0.64 ; -0.000694 ; -8.6749387 ; -5.5519608
0.6166667 ; -0.000709 ; -8.8618962 ; -5.464836
0.5933333 ; -0.0007203 ; -9.0041 ; -5.3424327
0.57 ; -0.000729 ; -9.112185 ; -5.1939454
0.5466667 ; -0.0007425 ; -9.2816187 ; -5.0739516
0.5233333 ; -0.000752 ; -9.39955 ; -4.9190978
0.5 ; -0.0007627 ; -9.5338875 ; -4.7669437
0.4766667 ; -0.0007706 ; -9.6327988 ; -4.5916341
0.4533333 ; -0.0007809 ; -9.7611488 ; -4.4250541
0.43 ; -0.0007912 ; -9.8904437 ; -4.2528908
0.4066667 ; -0.0007993 ; -9.9908288 ; -4.062937
0.3833333 ; -0.000808 ; -10.099565 ; -3.8714999
0.36 ; -0.0008163 ; -10.2043412 ; -3.6735628
0.3366667 ; -0.0008188 ; -10.2351363 ; -3.4458292
0.3133333 ; -0.0008276 ; -10.344445 ; -3.2412594
0.29 ; -0.000839 ; -10.4878012 ; -3.0414624
0.2666667 ; -0.0008454 ; -10.567965 ; -2.818124
0.2433333 ; -0.0008516 ; -10.6449137 ; -2.5902623
0.22 ; -0.0008569 ; -10.7107575 ; -2.3563666
0.1966667 ; -0.0008644 ; -10.8055325 ; -2.1250881
0.1733333 ; -0.0008706 ; -10.8823275 ; -1.8862701
0.15 ; -0.0008771 ; -10.96318 ; -1.644477
0.1266667 ; -0.0008825 ; -11.0313837 ; -1.3973086
0.1033333 ; -0.0008893 ; -11.1166262 ; -1.148718
0.08 ; -0.0008968 ; -11.2094262 ; -0.8967541
0.0566667 ; -0.0008992 ; -11.2395675 ; -0.6369088
0.0333333 ; -0.0009088 ; -11.3594963 ; -0.3786499
0.01 ; -0.0009067 ; -11.333355 ; -0.1133335
-0.0133333 ; -0.0009141 ; -11.42658 ; 0.1523544
-0.0366667 ; -0.0009225 ; -11.53086 ; 0.4227982
-0.06 ; -0.0009226 ; -11.5329763 ; 0.6919786
-0.0833333 ; -0.0009296 ; -11.6197525 ; 0.9683127
-0.1066667 ; -0.0009376 ; -11.7195387 ; 1.2500841
-0.13 ; -0.0009452 ; -11.8144488 ; 1.5358783
-0.1533333 ; -0.000944 ; -11.8003113 ; 1.8093811
-0.1766667 ; -0.0009526 ; -11.9074862 ; 2.1036559
-0.2 ; -0.0009572 ; -11.9654213 ; 2.3930843
