U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0031975 ; 39.9686125 ; 47.962335
1.1766667 ; 0.0026208 ; 32.7594125 ; 38.5469087
1.1533333 ; 0.0023487 ; 29.35905 ; 33.860771
1.13 ; 0.0021023 ; 26.278925 ; 29.6951852
1.1066667 ; 0.0018761 ; 23.4515125 ; 25.9530072
1.0833333 ; 0.0016628 ; 20.7853125 ; 22.5174219
1.06 ; 0.0014636 ; 18.295275 ; 19.3929915
1.0366667 ; 0.0012779 ; 15.973525 ; 16.5592209
1.0133333 ; 0.0011025 ; 13.7810875 ; 13.9648353
0.99 ; 0.0009355 ; 11.6935338 ; 11.5765984
0.9666667 ; 0.0007767 ; 9.7086213 ; 9.3850005
0.9433333 ; 0.0006272 ; 7.8403025 ; 7.3960187
0.92 ; 0.000484 ; 6.0496225 ; 5.5656527
0.8966667 ; 0.0003448 ; 4.3105775 ; 3.8651512
0.8733333 ; 0.0002107 ; 2.6341812 ; 2.3005183
0.85 ; 8.39e-05 ; 1.0483409 ; 0.8910897
0.8266667 ; -4.25e-05 ; -0.531444 ; -0.439327
0.8033333 ; -0.0001601 ; -2.0011488 ; -1.6075895
0.78 ; -0.0002766 ; -3.4578225 ; -2.6971015
0.7566667 ; -0.000388 ; -4.8504712 ; -3.6701899
0.7333333 ; -0.0004903 ; -6.1290937 ; -4.4946687
0.71 ; -0.0005911 ; -7.3883088 ; -5.2456992
0.6866667 ; -0.0006829 ; -8.5366187 ; -5.8618115
0.6633333 ; -0.0007658 ; -9.572845 ; -6.3499872
0.64 ; -0.0008453 ; -10.5660062 ; -6.762244
0.6166667 ; -0.000919 ; -11.4877737 ; -7.0841271
0.5933333 ; -0.0009841 ; -12.301325 ; -7.2987862
0.57 ; -0.0010316 ; -12.895425 ; -7.3503922
0.5466667 ; -0.0010874 ; -13.591925 ; -7.4302523
0.5233333 ; -0.0011318 ; -14.1469125 ; -7.4035509
0.5 ; -0.0011743 ; -14.6790875 ; -7.3395437
0.4766667 ; -0.0012034 ; -15.0425375 ; -7.1702762
0.4533333 ; -0.0012405 ; -15.5064875 ; -7.0296077
0.43 ; -0.0012686 ; -15.85805 ; -6.8189615
0.4066667 ; -0.001294 ; -16.1747625 ; -6.5777367
0.3833333 ; -0.0013186 ; -16.4828625 ; -6.3184306
0.36 ; -0.0013484 ; -16.85545 ; -6.067962
0.3366667 ; -0.0013694 ; -17.1173875 ; -5.7628538
0.3133333 ; -0.0013892 ; -17.3649125 ; -5.4410059
0.29 ; -0.0014104 ; -17.6302125 ; -5.1127616
0.2666667 ; -0.0014244 ; -17.80475 ; -4.7479333
0.2433333 ; -0.0014447 ; -18.0586125 ; -4.3942624
0.22 ; -0.001459 ; -18.2375125 ; -4.0122527
0.1966667 ; -0.001478 ; -18.4754375 ; -3.6335027
0.1733333 ; -0.0014908 ; -18.6352875 ; -3.2301165
0.15 ; -0.0015023 ; -18.7790875 ; -2.8168631
0.1266667 ; -0.001521 ; -19.0125875 ; -2.4082611
0.1033333 ; -0.0015262 ; -19.0776125 ; -1.9713533
0.08 ; -0.001536 ; -19.2000125 ; -1.536001
0.0566667 ; -0.0015458 ; -19.32295 ; -1.0949672
0.0333333 ; -0.0015608 ; -19.5100625 ; -0.6503354
0.01 ; -0.0015711 ; -19.6389875 ; -0.1963899
-0.0133333 ; -0.0015732 ; -19.66495 ; 0.2621993
-0.0366667 ; -0.001578 ; -19.7249375 ; 0.7232477
-0.06 ; -0.001587 ; -19.837475 ; 1.1902485
-0.0833333 ; -0.0015976 ; -19.96955 ; 1.6641292
-0.1066667 ; -0.0016047 ; -20.0587625 ; 2.1396013
-0.13 ; -0.0016112 ; -20.1398 ; 2.618174
-0.1533333 ; -0.0016328 ; -20.4099375 ; 3.1295238
-0.1766667 ; -0.0016425 ; -20.5310125 ; 3.6271455
-0.2 ; -0.0016453 ; -20.566175 ; 4.113235
