U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0241812 ; 302.264625 ; 362.71755
1.1766667 ; 0.0226662 ; 283.328 ; 333.3826133
1.1533333 ; 0.0217091 ; 271.36425 ; 312.973435
1.13 ; 0.020837 ; 260.46275 ; 294.3229075
1.1066667 ; 0.020015 ; 250.18775 ; 276.8744433
1.0833333 ; 0.0192304 ; 240.379375 ; 260.4109896
1.06 ; 0.0184707 ; 230.88425 ; 244.737305
1.0366667 ; 0.017733 ; 221.662125 ; 229.7897362
1.0133333 ; 0.0170147 ; 212.6835 ; 215.51928
0.99 ; 0.0162976 ; 203.720625 ; 201.6834187
0.9666667 ; 0.0156091 ; 195.1135 ; 188.6097167
0.9433333 ; 0.0149383 ; 186.729375 ; 176.1480437
0.92 ; 0.0142784 ; 178.47975 ; 164.20137
0.8966667 ; 0.0136242 ; 170.302375 ; 152.7044629
0.8733333 ; 0.0129868 ; 162.3355 ; 141.7730033
0.85 ; 0.0123639 ; 154.548875 ; 131.3665437
0.8266667 ; 0.0117486 ; 146.858 ; 121.4026133
0.8033333 ; 0.0111484 ; 139.35525 ; 111.9487175
0.78 ; 0.0105615 ; 132.01925 ; 102.975015
0.7566667 ; 0.0099822 ; 124.777475 ; 94.4149561
0.7333333 ; 0.0094167 ; 117.7088125 ; 86.3197958
0.71 ; 0.0088545 ; 110.681875 ; 78.5841312
0.6866667 ; 0.008315 ; 103.9374625 ; 71.3703909
0.6633333 ; 0.0077789 ; 97.2356875 ; 64.4996727
0.64 ; 0.0072554 ; 90.692725 ; 58.043344
0.6166667 ; 0.0067482 ; 84.3519 ; 52.017005
0.5933333 ; 0.0062498 ; 78.1221125 ; 46.3524534
0.57 ; 0.0057653 ; 72.0666625 ; 41.0779976
0.5466667 ; 0.0052943 ; 66.179075 ; 36.1778943
0.5233333 ; 0.0048347 ; 60.433875 ; 31.6270612
0.5 ; 0.0043923 ; 54.9033625 ; 27.4516812
0.4766667 ; 0.0039604 ; 49.5054 ; 23.597574
0.4533333 ; 0.0035375 ; 44.218425 ; 20.045686
0.43 ; 0.003133 ; 39.1621875 ; 16.8397406
0.4066667 ; 0.0027411 ; 34.263175 ; 13.9336912
0.3833333 ; 0.0023607 ; 29.508475 ; 11.3115821
0.36 ; 0.0019953 ; 24.9412125 ; 8.9788365
0.3366667 ; 0.0016458 ; 20.572175 ; 6.9259656
0.3133333 ; 0.0013136 ; 16.42015 ; 5.1449803
0.29 ; 0.0009855 ; 12.3184712 ; 3.5723567
0.2666667 ; 0.0006873 ; 8.5909262 ; 2.2909137
0.2433333 ; 0.0004046 ; 5.057005 ; 1.2305379
0.22 ; 0.0001295 ; 1.61892 ; 0.3561624
0.1966667 ; -0.0001218 ; -1.521965 ; -0.2993198
0.1733333 ; -0.0003718 ; -4.6476575 ; -0.805594
0.15 ; -0.0005806 ; -7.2570425 ; -1.0885564
0.1266667 ; -0.0007899 ; -9.8737088 ; -1.2506698
0.1033333 ; -0.0009718 ; -12.14689 ; -1.2551786
0.08 ; -0.001135 ; -14.1879625 ; -1.135037
0.0566667 ; -0.0012834 ; -16.04215 ; -0.9090552
0.0333333 ; -0.0014348 ; -17.935275 ; -0.5978425
0.01 ; -0.00154 ; -19.2498 ; -0.192498
-0.0133333 ; -0.0016494 ; -20.617925 ; 0.2749057
-0.0366667 ; -0.0017644 ; -22.0544625 ; 0.8086636
-0.06 ; -0.0018769 ; -23.4614875 ; 1.4076893
-0.0833333 ; -0.0019914 ; -24.892425 ; 2.0743688
-0.1066667 ; -0.0021322 ; -26.6525 ; 2.8429333
-0.13 ; -0.0022883 ; -28.6034625 ; 3.7184501
-0.1533333 ; -0.0024499 ; -30.6241875 ; 4.6957088
-0.1766667 ; -0.0026347 ; -32.933875 ; 5.8183179
-0.2 ; -0.0028348 ; -35.4344 ; 7.08688
