U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0021063 ; 30.0896857 ; 36.1076229
1.1766667 ; 0.0018105 ; 25.8642571 ; 30.4336092
1.1533333 ; 0.0016512 ; 23.5883857 ; 27.2052715
1.13 ; 0.0015134 ; 21.6199429 ; 24.4305354
1.1066667 ; 0.0013913 ; 19.8754571 ; 21.9955059
1.0833333 ; 0.0012801 ; 18.2873429 ; 19.8112881
1.06 ; 0.0011769 ; 16.8135714 ; 17.8223857
1.0366667 ; 0.0010805 ; 15.4350714 ; 16.001024
1.0133333 ; 0.000988 ; 14.1138986 ; 14.3020839
0.99 ; 0.0008993 ; 12.8477629 ; 12.7192852
0.9666667 ; 0.0008168 ; 11.6687614 ; 11.2798027
0.9433333 ; 0.0007377 ; 10.5379243 ; 9.9407752
0.92 ; 0.0006606 ; 9.43649 ; 8.6815708
0.8966667 ; 0.0005864 ; 8.3764929 ; 7.5109219
0.8733333 ; 0.0005133 ; 7.3323757 ; 6.4036081
0.85 ; 0.0004418 ; 6.3117757 ; 5.3650094
0.8266667 ; 0.0003715 ; 5.30664 ; 4.3868224
0.8033333 ; 0.0003012 ; 4.30316 ; 3.4568719
0.78 ; 0.0002327 ; 3.32439 ; 2.5930242
0.7566667 ; 0.000164 ; 2.3435686 ; 1.7733002
0.7333333 ; 9.62e-05 ; 1.3747464 ; 1.0081474
0.71 ; 2.7e-05 ; 0.3854901 ; 0.273698
0.6866667 ; -4.1e-05 ; -0.5862046 ; -0.4025271
0.6633333 ; -0.0001071 ; -1.5295614 ; -1.0146091
0.64 ; -0.0001748 ; -2.49692 ; -1.5980288
0.6166667 ; -0.0002392 ; -3.4172243 ; -2.1072883
0.5933333 ; -0.0003038 ; -4.3400757 ; -2.5751116
0.57 ; -0.0003662 ; -5.2310071 ; -2.9816741
0.5466667 ; -0.0004295 ; -6.1357843 ; -3.3542287
0.5233333 ; -0.0004909 ; -7.0125714 ; -3.6699124
0.5 ; -0.0005474 ; -7.81932 ; -3.90966
0.4766667 ; -0.0006034 ; -8.6199829 ; -4.1088585
0.4533333 ; -0.0006599 ; -9.4278043 ; -4.2739379
0.43 ; -0.0007143 ; -10.2036829 ; -4.3875836
0.4066667 ; -0.0007637 ; -10.9098129 ; -4.4366572
0.3833333 ; -0.0008115 ; -11.5927186 ; -4.4438755
0.36 ; -0.000857 ; -12.2435114 ; -4.4076641
0.3366667 ; -0.0009009 ; -12.8692986 ; -4.3326639
0.3133333 ; -0.0009432 ; -13.4740914 ; -4.221882
0.29 ; -0.0009816 ; -14.0229114 ; -4.0666443
0.2666667 ; -0.0010169 ; -14.527 ; -3.8738667
0.2433333 ; -0.001047 ; -14.9573571 ; -3.6396236
0.22 ; -0.0010813 ; -15.4468429 ; -3.3983054
0.1966667 ; -0.001113 ; -15.8995 ; -3.1269017
0.1733333 ; -0.0011409 ; -16.2984286 ; -2.825061
0.15 ; -0.0011669 ; -16.6695143 ; -2.5004271
0.1266667 ; -0.0011915 ; -17.0210571 ; -2.1560006
0.1033333 ; -0.001212 ; -17.3141714 ; -1.789131
0.08 ; -0.0012306 ; -17.5806286 ; -1.4064503
0.0566667 ; -0.0012512 ; -17.8743143 ; -1.0128778
0.0333333 ; -0.0012663 ; -18.0905 ; -0.6030167
0.01 ; -0.0012786 ; -18.2650143 ; -0.1826501
-0.0133333 ; -0.0012945 ; -18.4924286 ; 0.2465657
-0.0366667 ; -0.0013067 ; -18.6678143 ; 0.6844865
-0.06 ; -0.0013228 ; -18.8969429 ; 1.1338166
-0.0833333 ; -0.0013312 ; -19.0169 ; 1.5847417
-0.1066667 ; -0.0013479 ; -19.2554 ; 2.0539093
-0.13 ; -0.0013586 ; -19.4092857 ; 2.5232071
-0.1533333 ; -0.0013742 ; -19.6318 ; 3.0102093
-0.1766667 ; -0.0013873 ; -19.8186143 ; 3.5012885
-0.2 ; -0.0014009 ; -20.0123571 ; 4.0024714
