U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0015736 ; 22.4797143 ; 26.9756571
1.1766667 ; 0.0013664 ; 19.5203143 ; 22.9689031
1.1533333 ; 0.0012198 ; 17.4261571 ; 20.0981679
1.13 ; 0.0010931 ; 15.6155429 ; 17.6455634
1.1066667 ; 0.0009793 ; 13.9903743 ; 15.4826809
1.0833333 ; 0.0008741 ; 12.4868029 ; 13.5273698
1.06 ; 0.0007785 ; 11.1216471 ; 11.788946
1.0366667 ; 0.0006893 ; 9.8466314 ; 10.2076746
1.0133333 ; 0.0006052 ; 8.64573 ; 8.7610064
0.99 ; 0.0005229 ; 7.46988 ; 7.3951812
0.9666667 ; 0.0004461 ; 6.3734814 ; 6.161032
0.9433333 ; 0.0003715 ; 5.3074643 ; 5.006708
0.92 ; 0.0002995 ; 4.27852 ; 3.9362384
0.8966667 ; 0.0002291 ; 3.2733986 ; 2.9351474
0.8733333 ; 0.0001593 ; 2.2760929 ; 1.9877878
0.85 ; 9.07e-05 ; 1.295133 ; 1.100863
0.8266667 ; 2.25e-05 ; 0.3216327 ; 0.265883
0.8033333 ; -5.07e-05 ; -0.7242734 ; -0.581833
0.78 ; -0.0001217 ; -1.7385414 ; -1.3560623
0.7566667 ; -0.0001963 ; -2.8040329 ; -2.1217182
0.7333333 ; -0.0002697 ; -3.85281 ; -2.825394
0.71 ; -0.0003454 ; -4.9348271 ; -3.5037273
0.6866667 ; -0.0004202 ; -6.0027457 ; -4.1218854
0.6633333 ; -0.0004941 ; -7.0590686 ; -4.6825155
0.64 ; -0.0005692 ; -8.1315971 ; -5.2042222
0.6166667 ; -0.0006407 ; -9.1525143 ; -5.6440505
0.5933333 ; -0.0007109 ; -10.1558143 ; -6.0257831
0.57 ; -0.0007801 ; -11.1436443 ; -6.3518772
0.5466667 ; -0.000843 ; -12.0425057 ; -6.5832365
0.5233333 ; -0.0009018 ; -12.8823714 ; -6.7417744
0.5 ; -0.0009587 ; -13.6952186 ; -6.8476093
0.4766667 ; -0.001011 ; -14.4435429 ; -6.8847554
0.4533333 ; -0.0010588 ; -15.1257429 ; -6.8570034
0.43 ; -0.0011021 ; -15.7439571 ; -6.7699016
0.4066667 ; -0.0011427 ; -16.3239429 ; -6.6384034
0.3833333 ; -0.0011768 ; -16.8110429 ; -6.4442331
0.36 ; -0.0012077 ; -17.2535143 ; -6.2112651
0.3366667 ; -0.0012359 ; -17.6561 ; -5.9442203
0.3133333 ; -0.0012653 ; -18.0763143 ; -5.6639118
0.29 ; -0.0012845 ; -18.3504 ; -5.321616
0.2666667 ; -0.0013041 ; -18.6298857 ; -4.9679695
0.2433333 ; -0.0013211 ; -18.8734429 ; -4.5925378
0.22 ; -0.0013365 ; -19.0923 ; -4.200306
0.1966667 ; -0.0013533 ; -19.3325143 ; -3.8020611
0.1733333 ; -0.0013656 ; -19.5082857 ; -3.3814362
0.15 ; -0.0013781 ; -19.6868571 ; -2.9530286
0.1266667 ; -0.0013913 ; -19.8753714 ; -2.517547
0.1033333 ; -0.0013978 ; -19.9685143 ; -2.0634131
0.08 ; -0.0014079 ; -20.1125143 ; -1.6090011
0.0566667 ; -0.0014141 ; -20.2013714 ; -1.1447444
0.0333333 ; -0.0014222 ; -20.3171571 ; -0.6772386
0.01 ; -0.0014286 ; -20.4088571 ; -0.2040886
-0.0133333 ; -0.0014413 ; -20.5894857 ; 0.2745265
-0.0366667 ; -0.0014434 ; -20.6202286 ; 0.756075
-0.06 ; -0.0014526 ; -20.7512143 ; 1.2450729
-0.0833333 ; -0.0014595 ; -20.8494571 ; 1.7374548
-0.1066667 ; -0.0014604 ; -20.8626429 ; 2.2253486
-0.13 ; -0.0014704 ; -21.0061143 ; 2.7307949
-0.1533333 ; -0.0014744 ; -21.0626571 ; 3.2296074
-0.1766667 ; -0.0014851 ; -21.2162714 ; 3.748208
-0.2 ; -0.0014867 ; -21.2389286 ; 4.2477857
