U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0013624 ; 15.1374111 ; 18.1648933
1.1766667 ; 0.0009276 ; 10.3069778 ; 12.1278772
1.1533333 ; 0.0005692 ; 6.3241033 ; 7.2937992
1.13 ; 0.0002907 ; 3.2296311 ; 3.6494832
1.1066667 ; 7.68e-05 ; 0.8533134 ; 0.9443335
1.0833333 ; -9.03e-05 ; -1.0028712 ; -1.0864438
1.06 ; -0.0002288 ; -2.5423044 ; -2.6948427
1.0366667 ; -0.0003434 ; -3.8150989 ; -3.9549858
1.0133333 ; -0.0004334 ; -4.8152056 ; -4.8794083
0.99 ; -0.0005114 ; -5.6817656 ; -5.6249479
0.9666667 ; -0.0005776 ; -6.4180389 ; -6.2041043
0.9433333 ; -0.0006331 ; -7.0346189 ; -6.6359905
0.92 ; -0.0006815 ; -7.5725044 ; -6.9667041
0.8966667 ; -0.0007216 ; -8.0173011 ; -7.1888467
0.8733333 ; -0.0007503 ; -8.3368222 ; -7.2808247
0.85 ; -0.0007804 ; -8.6710622 ; -7.3704029
0.8266667 ; -0.0008076 ; -8.9730767 ; -7.4177434
0.8033333 ; -0.0008317 ; -9.2412578 ; -7.4238104
0.78 ; -0.0008514 ; -9.4600322 ; -7.3788251
0.7566667 ; -0.0008742 ; -9.7131133 ; -7.3495891
0.7333333 ; -0.0008933 ; -9.92501 ; -7.2783407
0.71 ; -0.0009096 ; -10.1070444 ; -7.1760016
0.6866667 ; -0.0009295 ; -10.3272922 ; -7.0914073
0.6633333 ; -0.0009432 ; -10.4801667 ; -6.9518439
0.64 ; -0.0009553 ; -10.6146822 ; -6.7933966
0.6166667 ; -0.0009711 ; -10.7894756 ; -6.6535099
0.5933333 ; -0.0009823 ; -10.9144189 ; -6.4758885
0.57 ; -0.0009923 ; -11.0258111 ; -6.2847123
0.5466667 ; -0.0010061 ; -11.1787556 ; -6.111053
0.5233333 ; -0.0010193 ; -11.3250222 ; -5.9267616
0.5 ; -0.0010313 ; -11.4586222 ; -5.7293111
0.4766667 ; -0.0010405 ; -11.5614333 ; -5.5109499
0.4533333 ; -0.0010585 ; -11.7609667 ; -5.3316382
0.43 ; -0.0010653 ; -11.8361222 ; -5.0895326
0.4066667 ; -0.0010769 ; -11.9651111 ; -4.8658119
0.3833333 ; -0.0010847 ; -12.0518 ; -4.6198567
0.36 ; -0.0010918 ; -12.1307556 ; -4.367072
0.3366667 ; -0.0011081 ; -12.3123667 ; -4.1451634
0.3133333 ; -0.0011139 ; -12.3771889 ; -3.8781859
0.29 ; -0.0011214 ; -12.4596556 ; -3.6133001
0.2666667 ; -0.0011282 ; -12.5355333 ; -3.3428089
0.2433333 ; -0.0011379 ; -12.6433778 ; -3.0765553
0.22 ; -0.0011452 ; -12.7249111 ; -2.7994804
0.1966667 ; -0.0011522 ; -12.8021889 ; -2.5177638
0.1733333 ; -0.0011641 ; -12.9339889 ; -2.2418914
0.15 ; -0.0011684 ; -12.9825 ; -1.947375
0.1266667 ; -0.0011779 ; -13.0872556 ; -1.657719
0.1033333 ; -0.0011787 ; -13.0966 ; -1.3533153
0.08 ; -0.0011972 ; -13.3027444 ; -1.0642196
0.0566667 ; -0.0011969 ; -13.2988889 ; -0.7536037
0.0333333 ; -0.0012025 ; -13.3613889 ; -0.4453796
0.01 ; -0.0012076 ; -13.4178667 ; -0.1341787
-0.0133333 ; -0.0012102 ; -13.4466111 ; 0.1792881
-0.0366667 ; -0.0012207 ; -13.5629333 ; 0.4973076
-0.06 ; -0.0012297 ; -13.6628333 ; 0.81977
-0.0833333 ; -0.0012352 ; -13.7246556 ; 1.1437213
-0.1066667 ; -0.0012363 ; -13.7368222 ; 1.465261
-0.13 ; -0.0012398 ; -13.7752222 ; 1.7907789
-0.1533333 ; -0.0012461 ; -13.8456778 ; 2.1230039
-0.1766667 ; -0.0012533 ; -13.9253111 ; 2.4601383
-0.2 ; -0.0012571 ; -13.9677556 ; 2.7935511
