U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0030382 ; 37.9770125 ; 45.572415
1.1766667 ; 0.0021855 ; 27.3193125 ; 32.1457244
1.1533333 ; 0.0018702 ; 23.3770375 ; 26.9615166
1.13 ; 0.0015834 ; 19.79205 ; 22.3650165
1.1066667 ; 0.0013179 ; 16.4741 ; 18.2313373
1.0833333 ; 0.0010716 ; 13.3953875 ; 14.5116698
1.06 ; 0.000845 ; 10.5621962 ; 11.195928
1.0366667 ; 0.0006346 ; 7.9323662 ; 8.2232197
1.0133333 ; 0.0004412 ; 5.5153575 ; 5.5888956
0.99 ; 0.0002553 ; 3.1917837 ; 3.1598659
0.9666667 ; 9.06e-05 ; 1.1326878 ; 1.0949315
0.9433333 ; -6.94e-05 ; -0.8676781 ; -0.8185097
0.92 ; -0.0002171 ; -2.7136613 ; -2.4965683
0.8966667 ; -0.0003612 ; -4.5148462 ; -4.0483121
0.8733333 ; -0.0004961 ; -6.2009775 ; -5.4155203
0.85 ; -0.0006175 ; -7.71829 ; -6.5605465
0.8266667 ; -0.0007334 ; -9.1680337 ; -7.5789079
0.8033333 ; -0.000836 ; -10.4498875 ; -8.394743
0.78 ; -0.00093 ; -11.6254725 ; -9.0678685
0.7566667 ; -0.0010116 ; -12.6454 ; -9.5683527
0.7333333 ; -0.0010881 ; -13.6015375 ; -9.9744608
0.71 ; -0.0011457 ; -14.3213 ; -10.168123
0.6866667 ; -0.0011987 ; -14.9833 ; -10.2885327
0.6633333 ; -0.0012479 ; -15.5988375 ; -10.3472289
0.64 ; -0.0012825 ; -16.0306625 ; -10.259624
0.6166667 ; -0.0013129 ; -16.411525 ; -10.1204404
0.5933333 ; -0.001346 ; -16.82475 ; -9.982685
0.57 ; -0.0013692 ; -17.1144625 ; -9.7552436
0.5466667 ; -0.0013942 ; -17.4278625 ; -9.5272315
0.5233333 ; -0.0014095 ; -17.6187875 ; -9.2204988
0.5 ; -0.0014311 ; -17.8889625 ; -8.9444812
0.4766667 ; -0.0014429 ; -18.0359875 ; -8.597154
0.4533333 ; -0.0014651 ; -18.313925 ; -8.3023127
0.43 ; -0.0014856 ; -18.5699 ; -7.985057
0.4066667 ; -0.001501 ; -18.7620625 ; -7.6299054
0.3833333 ; -0.0015111 ; -18.8883 ; -7.240515
0.36 ; -0.0015245 ; -19.05625 ; -6.86025
0.3366667 ; -0.0015368 ; -19.2103875 ; -6.4674971
0.3133333 ; -0.0015509 ; -19.3863 ; -6.074374
0.29 ; -0.0015587 ; -19.4833125 ; -5.6501606
0.2666667 ; -0.0015706 ; -19.6325875 ; -5.2353567
0.2433333 ; -0.0015803 ; -19.75375 ; -4.8067458
0.22 ; -0.0015913 ; -19.8916125 ; -4.3761547
0.1966667 ; -0.0015984 ; -19.98045 ; -3.9294885
0.1733333 ; -0.0016055 ; -20.0682 ; -3.478488
0.15 ; -0.0016145 ; -20.1810375 ; -3.0271556
0.1266667 ; -0.0016228 ; -20.2854 ; -2.569484
0.1033333 ; -0.0016278 ; -20.3471875 ; -2.1025427
0.08 ; -0.0016321 ; -20.4016875 ; -1.632135
0.0566667 ; -0.0016392 ; -20.4901375 ; -1.1611078
0.0333333 ; -0.0016466 ; -20.5819625 ; -0.6860654
0.01 ; -0.0016476 ; -20.59545 ; -0.2059545
-0.0133333 ; -0.0016557 ; -20.6961125 ; 0.2759482
-0.0366667 ; -0.001654 ; -20.6750375 ; 0.7580847
-0.06 ; -0.0016585 ; -20.731225 ; 1.2438735
-0.0833333 ; -0.00166 ; -20.7497375 ; 1.7291448
-0.1066667 ; -0.0016739 ; -20.923775 ; 2.2318693
-0.13 ; -0.0016777 ; -20.971125 ; 2.7262463
-0.1533333 ; -0.00168 ; -20.999525 ; 3.2199272
-0.1766667 ; -0.0016851 ; -21.0635375 ; 3.721225
-0.2 ; -0.0016859 ; -21.07385 ; 4.21477
