U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0052107 ; 65.133775 ; 78.16053
1.1766667 ; 0.0044931 ; 56.16405 ; 66.0863655
1.1533333 ; 0.0041393 ; 51.74135 ; 59.6750237
1.13 ; 0.003827 ; 47.8376375 ; 54.0565304
1.1066667 ; 0.0035398 ; 44.2471375 ; 48.9668322
1.0833333 ; 0.0032672 ; 40.8397125 ; 44.2430219
1.06 ; 0.0030096 ; 37.6202375 ; 39.8774517
1.0366667 ; 0.0027652 ; 34.5650125 ; 35.8323963
1.0133333 ; 0.002532 ; 31.6494 ; 32.071392
0.99 ; 0.0023011 ; 28.7637375 ; 28.4761001
0.9666667 ; 0.0020872 ; 26.0896875 ; 25.2200312
0.9433333 ; 0.0018787 ; 23.4837125 ; 22.1529688
0.92 ; 0.0016767 ; 20.9586375 ; 19.2819465
0.8966667 ; 0.0014805 ; 18.5059 ; 16.5936237
0.8733333 ; 0.0012866 ; 16.0827875 ; 14.0456344
0.85 ; 0.0010982 ; 13.7269375 ; 11.6678969
0.8266667 ; 0.0009164 ; 11.4551337 ; 9.4695772
0.8033333 ; 0.0007349 ; 9.1859137 ; 7.3793507
0.78 ; 0.0005653 ; 7.06646 ; 5.5118388
0.7566667 ; 0.0003954 ; 4.9425162 ; 3.7398373
0.7333333 ; 0.0002386 ; 2.9827988 ; 2.1873857
0.71 ; 8.31e-05 ; 1.0387591 ; 0.737519
0.6866667 ; -6.72e-05 ; -0.8393888 ; -0.5763803
0.6633333 ; -0.000203 ; -2.5377813 ; -1.6833949
0.64 ; -0.0003374 ; -4.2180638 ; -2.6995608
0.6166667 ; -0.0004594 ; -5.7428287 ; -3.5414111
0.5933333 ; -0.0005789 ; -7.2367187 ; -4.2937865
0.57 ; -0.0006857 ; -8.5706637 ; -4.8852783
0.5466667 ; -0.0007903 ; -9.8792975 ; -5.4006826
0.5233333 ; -0.0008828 ; -11.0350388 ; -5.7750036
0.5 ; -0.0009764 ; -12.2045375 ; -6.1022687
0.4766667 ; -0.0010464 ; -13.0804 ; -6.2349907
0.4533333 ; -0.0011233 ; -14.040875 ; -6.3651967
0.43 ; -0.0011861 ; -14.8264875 ; -6.3753896
0.4066667 ; -0.0012495 ; -15.6182375 ; -6.3514166
0.3833333 ; -0.0013162 ; -16.4527375 ; -6.3068827
0.36 ; -0.0013637 ; -17.0462875 ; -6.1366635
0.3366667 ; -0.0014125 ; -17.656375 ; -5.9443129
0.3133333 ; -0.0014595 ; -18.24405 ; -5.716469
0.29 ; -0.0015051 ; -18.8139625 ; -5.4560491
0.2666667 ; -0.0015459 ; -19.3232375 ; -5.1528633
0.2433333 ; -0.0015878 ; -19.8476625 ; -4.8295979
0.22 ; -0.0016218 ; -20.2727125 ; -4.4599967
0.1966667 ; -0.0016612 ; -20.7648375 ; -4.0837514
0.1733333 ; -0.0016866 ; -21.0827 ; -3.6543347
0.15 ; -0.0017179 ; -21.474175 ; -3.2211262
0.1266667 ; -0.0017392 ; -21.7394375 ; -2.7536621
0.1033333 ; -0.0017667 ; -22.083825 ; -2.2819952
0.08 ; -0.0017884 ; -22.354425 ; -1.788354
0.0566667 ; -0.0018039 ; -22.54915 ; -1.2777852
0.0333333 ; -0.001818 ; -22.724525 ; -0.7574842
0.01 ; -0.0018445 ; -23.0556625 ; -0.2305566
-0.0133333 ; -0.0018472 ; -23.0902 ; 0.3078693
-0.0366667 ; -0.0018718 ; -23.397 ; 0.85789
-0.06 ; -0.0018925 ; -23.65635 ; 1.419381
-0.0833333 ; -0.0018979 ; -23.7238875 ; 1.9769906
-0.1066667 ; -0.0019147 ; -23.9336375 ; 2.5529213
-0.13 ; -0.0019429 ; -24.28595 ; 3.1571735
-0.1533333 ; -0.0019564 ; -24.4556 ; 3.7498587
-0.1766667 ; -0.0019802 ; -24.7519625 ; 4.3728467
-0.2 ; -0.0020138 ; -25.1729875 ; 5.0345975
