U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0007515 ; 9.3942975 ; 11.273157
1.1766667 ; 0.0005536 ; 6.91964 ; 8.1421097
1.1533333 ; 0.0004613 ; 5.76623 ; 6.6503853
1.13 ; 0.0003714 ; 4.6424775 ; 5.2459996
1.1066667 ; 0.0002831 ; 3.5388587 ; 3.916337
1.0833333 ; 0.0001985 ; 2.480675 ; 2.6873979
1.06 ; 0.000116 ; 1.4503563 ; 1.5373776
1.0366667 ; 3.67e-05 ; 0.458134 ; 0.4749322
1.0133333 ; -4.18e-05 ; -0.522761 ; -0.5297311
0.99 ; -0.0001216 ; -1.5196113 ; -1.5044151
0.9666667 ; -0.0002012 ; -2.5150975 ; -2.4312609
0.9433333 ; -0.0002797 ; -3.4957825 ; -3.2976882
0.92 ; -0.0003615 ; -4.5183587 ; -4.15689
0.8966667 ; -0.0004429 ; -5.5366112 ; -4.9644948
0.8733333 ; -0.0005243 ; -6.5533462 ; -5.7232557
0.85 ; -0.0006058 ; -7.5720712 ; -6.4362606
0.8266667 ; -0.0006844 ; -8.55546 ; -7.0725136
0.8033333 ; -0.0007626 ; -9.5329987 ; -7.6581757
0.78 ; -0.0008354 ; -10.4429875 ; -8.1455302
0.7566667 ; -0.0009031 ; -11.2887775 ; -8.5418416
0.7333333 ; -0.0009668 ; -12.0852987 ; -8.8625524
0.71 ; -0.0010213 ; -12.7665125 ; -9.0642239
0.6866667 ; -0.0010781 ; -13.4759 ; -9.2534513
0.6633333 ; -0.0011236 ; -14.045375 ; -9.3167654
0.64 ; -0.001162 ; -14.5248 ; -9.295872
0.6166667 ; -0.0012007 ; -15.00875 ; -9.2553958
0.5933333 ; -0.0012316 ; -15.395225 ; -9.1345002
0.57 ; -0.0012539 ; -15.674175 ; -8.9342797
0.5466667 ; -0.0012813 ; -16.015875 ; -8.755345
0.5233333 ; -0.0012978 ; -16.2222125 ; -8.4896245
0.5 ; -0.0013163 ; -16.4538625 ; -8.2269312
0.4766667 ; -0.0013311 ; -16.638275 ; -7.9309111
0.4533333 ; -0.0013465 ; -16.8310625 ; -7.6300817
0.43 ; -0.0013574 ; -16.9680875 ; -7.2962776
0.4066667 ; -0.001368 ; -17.09975 ; -6.9538983
0.3833333 ; -0.0013817 ; -17.2718375 ; -6.620871
0.36 ; -0.0013851 ; -17.313225 ; -6.232761
0.3366667 ; -0.0013941 ; -17.426675 ; -5.8669806
0.3133333 ; -0.001405 ; -17.56255 ; -5.5029323
0.29 ; -0.0014159 ; -17.698175 ; -5.1324707
0.2666667 ; -0.0014156 ; -17.6949875 ; -4.7186633
0.2433333 ; -0.0014251 ; -17.813825 ; -4.3346974
0.22 ; -0.0014304 ; -17.880075 ; -3.9336165
0.1966667 ; -0.0014412 ; -18.0149625 ; -3.5429426
0.1733333 ; -0.001446 ; -18.0748875 ; -3.1329805
0.15 ; -0.0014482 ; -18.1029125 ; -2.7154369
0.1266667 ; -0.0014577 ; -18.2215875 ; -2.3080677
0.1033333 ; -0.0014565 ; -18.205675 ; -1.8812531
0.08 ; -0.0014651 ; -18.3132125 ; -1.465057
0.0566667 ; -0.0014677 ; -18.346825 ; -1.0396534
0.0333333 ; -0.0014701 ; -18.3766 ; -0.6125533
0.01 ; -0.0014748 ; -18.4347875 ; -0.1843479
-0.0133333 ; -0.0014832 ; -18.5404875 ; 0.2472065
-0.0366667 ; -0.0014861 ; -18.5762875 ; 0.6811305
-0.06 ; -0.0014858 ; -18.5724375 ; 1.1143463
-0.0833333 ; -0.0014897 ; -18.6209 ; 1.5517417
-0.1066667 ; -0.0014908 ; -18.634525 ; 1.9876827
-0.13 ; -0.0014985 ; -18.731175 ; 2.4350528
-0.1533333 ; -0.0015037 ; -18.795625 ; 2.8819958
-0.1766667 ; -0.0015058 ; -18.822675 ; 3.3253393
-0.2 ; -0.0015073 ; -18.841125 ; 3.768225
