U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0023497 ; 33.5673571 ; 40.2808286
1.1766667 ; 0.0019791 ; 28.2724857 ; 33.2672915
1.1533333 ; 0.001808 ; 25.8285 ; 29.78887
1.13 ; 0.0016666 ; 23.8081571 ; 26.9032176
1.1066667 ; 0.0015409 ; 22.0123429 ; 24.3603261
1.0833333 ; 0.0014247 ; 20.3530857 ; 22.0491762
1.06 ; 0.0013171 ; 18.8163143 ; 19.9452931
1.0366667 ; 0.0012163 ; 17.3755143 ; 18.0126165
1.0133333 ; 0.0011219 ; 16.0276857 ; 16.2413882
0.99 ; 0.0010299 ; 14.7128429 ; 14.5657144
0.9666667 ; 0.0009436 ; 13.4800729 ; 13.0307371
0.9433333 ; 0.0008598 ; 12.2828557 ; 11.5868272
0.92 ; 0.0007813 ; 11.1620771 ; 10.269111
0.8966667 ; 0.0007046 ; 10.0658957 ; 9.0257532
0.8733333 ; 0.00063 ; 9.0004143 ; 7.8603618
0.85 ; 0.0005565 ; 7.9503157 ; 6.7577684
0.8266667 ; 0.0004852 ; 6.9320771 ; 5.7305171
0.8033333 ; 0.0004146 ; 5.9235343 ; 4.7585725
0.78 ; 0.0003451 ; 4.92948 ; 3.8449944
0.7566667 ; 0.0002767 ; 3.9533471 ; 2.991366
0.7333333 ; 0.0002088 ; 2.9824957 ; 2.1871635
0.71 ; 0.0001418 ; 2.0262771 ; 1.4386568
0.6866667 ; 7.62e-05 ; 1.087933 ; 0.7470473
0.6633333 ; 2.09e-05 ; 0.2990471 ; 0.1983679
0.64 ; -5.09e-05 ; -0.7275694 ; -0.4656444
0.6166667 ; -0.0001139 ; -1.62681 ; -1.0031995
0.5933333 ; -0.0001775 ; -2.5350829 ; -1.5041492
0.57 ; -0.0002372 ; -3.38918 ; -1.9318326
0.5466667 ; -0.0002973 ; -4.2467471 ; -2.3215551
0.5233333 ; -0.0003546 ; -5.0662557 ; -2.6513405
0.5 ; -0.0004093 ; -5.8470729 ; -2.9235364
0.4766667 ; -0.0004626 ; -6.6084857 ; -3.1500449
0.4533333 ; -0.0005115 ; -7.3076643 ; -3.3128078
0.43 ; -0.0005625 ; -8.0351786 ; -3.4551268
0.4066667 ; -0.0006075 ; -8.6792843 ; -3.5295756
0.3833333 ; -0.0006522 ; -9.3170914 ; -3.5715517
0.36 ; -0.0006914 ; -9.87719 ; -3.5557884
0.3366667 ; -0.000733 ; -10.47156 ; -3.5254252
0.3133333 ; -0.0007692 ; -10.98898 ; -3.4432137
0.29 ; -0.000801 ; -11.4430771 ; -3.3184924
0.2666667 ; -0.0008345 ; -11.9214914 ; -3.1790644
0.2433333 ; -0.0008599 ; -12.2845743 ; -2.9892464
0.22 ; -0.0008921 ; -12.7445657 ; -2.8038045
0.1966667 ; -0.0009176 ; -13.1086143 ; -2.5780275
0.1733333 ; -0.0009387 ; -13.4105286 ; -2.3244916
0.15 ; -0.000956 ; -13.6565143 ; -2.0484771
0.1266667 ; -0.0009789 ; -13.9847557 ; -1.7714024
0.1033333 ; -0.0009932 ; -14.1883971 ; -1.4661344
0.08 ; -0.0010087 ; -14.4106143 ; -1.1528491
0.0566667 ; -0.0010265 ; -14.6644857 ; -0.8309875
0.0333333 ; -0.0010386 ; -14.8376857 ; -0.4945895
0.01 ; -0.0010522 ; -15.032 ; -0.15032
-0.0133333 ; -0.0010608 ; -15.1538286 ; 0.202051
-0.0366667 ; -0.0010663 ; -15.2334857 ; 0.5585611
-0.06 ; -0.001085 ; -15.5005143 ; 0.9300309
-0.0833333 ; -0.0010941 ; -15.6306286 ; 1.3025524
-0.1066667 ; -0.0011032 ; -15.7595714 ; 1.681021
-0.13 ; -0.0011173 ; -15.9621286 ; 2.0750767
-0.1533333 ; -0.0011273 ; -16.1043286 ; 2.4693304
-0.1766667 ; -0.0011413 ; -16.3039571 ; 2.8803658
-0.2 ; -0.0011563 ; -16.5188714 ; 3.3037743
