U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0007358 ; 10.5107886 ; 12.6129463
1.1766667 ; 0.0006255 ; 8.9364029 ; 10.5151674
1.1533333 ; 0.0005565 ; 7.9503443 ; 9.1693971
1.13 ; 0.0004981 ; 7.1162243 ; 8.0413334
1.1066667 ; 0.0004454 ; 6.36314 ; 7.0418749
1.0833333 ; 0.0003971 ; 5.6729743 ; 6.1457221
1.06 ; 0.0003523 ; 5.0324986 ; 5.3344485
1.0366667 ; 0.0003095 ; 4.4221386 ; 4.5842837
1.0133333 ; 0.0002681 ; 3.8297171 ; 3.88078
0.99 ; 0.0002256 ; 3.2231743 ; 3.1909425
0.9666667 ; 0.0001844 ; 2.6349371 ; 2.5471059
0.9433333 ; 0.0001426 ; 2.0365957 ; 1.9211886
0.92 ; 0.0001001 ; 1.429692 ; 1.3153166
0.8966667 ; 5.48e-05 ; 0.782696 ; 0.7018174
0.8733333 ; 1.6e-05 ; 0.228396 ; 0.1994658
0.85 ; -4.16e-05 ; -0.5942216 ; -0.5050883
0.8266667 ; -9.22e-05 ; -1.3176006 ; -1.0892165
0.8033333 ; -0.0001476 ; -2.1079057 ; -1.6933509
0.78 ; -0.0002066 ; -2.9510886 ; -2.3018491
0.7566667 ; -0.0002646 ; -3.7793929 ; -2.8597406
0.7333333 ; -0.0003258 ; -4.6536086 ; -3.4126463
0.71 ; -0.0003879 ; -5.5412686 ; -3.9343007
0.6866667 ; -0.0004492 ; -6.4175443 ; -4.4067137
0.6633333 ; -0.0005113 ; -7.30465 ; -4.8454178
0.64 ; -0.000575 ; -8.2138671 ; -5.256875
0.6166667 ; -0.0006349 ; -9.0704571 ; -5.5934486
0.5933333 ; -0.0006937 ; -9.9094729 ; -5.8796206
0.57 ; -0.0007493 ; -10.7039243 ; -6.1012368
0.5466667 ; -0.0008029 ; -11.4699314 ; -6.2702292
0.5233333 ; -0.0008549 ; -12.2129829 ; -6.391461
0.5 ; -0.0009012 ; -12.8745014 ; -6.4372507
0.4766667 ; -0.0009455 ; -13.5072057 ; -6.4384347
0.4533333 ; -0.0009821 ; -14.0303043 ; -6.3604046
0.43 ; -0.0010225 ; -14.6078429 ; -6.2813724
0.4066667 ; -0.0010563 ; -15.0893 ; -6.1363153
0.3833333 ; -0.0010831 ; -15.4727429 ; -5.9312181
0.36 ; -0.0011107 ; -15.8677143 ; -5.7123771
0.3366667 ; -0.0011337 ; -16.1953857 ; -5.4524465
0.3133333 ; -0.0011581 ; -16.5441571 ; -5.1838359
0.29 ; -0.0011733 ; -16.7607286 ; -4.8606113
0.2666667 ; -0.001191 ; -17.0136143 ; -4.5369638
0.2433333 ; -0.0012051 ; -17.2155571 ; -4.1891189
0.22 ; -0.0012146 ; -17.3519714 ; -3.8174337
0.1966667 ; -0.0012243 ; -17.4896857 ; -3.4396382
0.1733333 ; -0.001236 ; -17.6567857 ; -3.0605095
0.15 ; -0.0012441 ; -17.7729143 ; -2.6659371
0.1266667 ; -0.0012546 ; -17.9222571 ; -2.2701526
0.1033333 ; -0.0012632 ; -18.0454429 ; -1.8646958
0.08 ; -0.0012702 ; -18.1452429 ; -1.4516194
0.0566667 ; -0.0012782 ; -18.2594286 ; -1.034701
0.0333333 ; -0.0012822 ; -18.3174286 ; -0.610581
0.01 ; -0.0012882 ; -18.4025857 ; -0.1840259
-0.0133333 ; -0.0012948 ; -18.4964429 ; 0.2466192
-0.0366667 ; -0.0012974 ; -18.5348571 ; 0.6796114
-0.06 ; -0.0013032 ; -18.6171429 ; 1.1170286
-0.0833333 ; -0.0013115 ; -18.7361143 ; 1.5613429
-0.1066667 ; -0.0013092 ; -18.7027286 ; 1.9949577
-0.13 ; -0.0013194 ; -18.8487571 ; 2.4503384
-0.1533333 ; -0.0013215 ; -18.8789714 ; 2.8947756
-0.1766667 ; -0.0013266 ; -18.9520857 ; 3.3482018
-0.2 ; -0.0013315 ; -19.0208143 ; 3.8041629
