U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0022397 ; 27.99605 ; 33.59526
1.1766667 ; 0.0015675 ; 19.5941125 ; 23.055739
1.1533333 ; 0.0013315 ; 16.6438375 ; 19.1958926
1.13 ; 0.0011244 ; 14.0545 ; 15.881585
1.1066667 ; 0.0009348 ; 11.6853088 ; 12.9317417
1.0833333 ; 0.00076 ; 9.5002763 ; 10.2919659
1.06 ; 0.0006006 ; 7.5077238 ; 7.9581872
1.0366667 ; 0.0004536 ; 5.6698112 ; 5.8777043
1.0133333 ; 0.0003173 ; 3.966215 ; 4.0190979
0.99 ; 0.0001852 ; 2.31442 ; 2.2912758
0.9666667 ; 6.57e-05 ; 0.8216495 ; 0.7942612
0.9433333 ; -5.36e-05 ; -0.6699315 ; -0.6319687
0.92 ; -0.0001635 ; -2.0436825 ; -1.8801879
0.8966667 ; -0.0002754 ; -3.4424013 ; -3.0866865
0.8733333 ; -0.000382 ; -4.7749612 ; -4.1701328
0.85 ; -0.0004874 ; -6.0923362 ; -5.1784858
0.8266667 ; -0.0005895 ; -7.3685588 ; -6.0913419
0.8033333 ; -0.0006882 ; -8.6031125 ; -6.911167
0.78 ; -0.0007869 ; -9.835875 ; -7.6719825
0.7566667 ; -0.0008763 ; -10.9536625 ; -8.2882713
0.7333333 ; -0.0009637 ; -12.0467388 ; -8.8342751
0.71 ; -0.0010405 ; -13.0065625 ; -9.2346594
0.6866667 ; -0.001114 ; -13.9245125 ; -9.5614986
0.6633333 ; -0.0011824 ; -14.7799125 ; -9.8040086
0.64 ; -0.0012454 ; -15.56725 ; -9.96304
0.6166667 ; -0.0012988 ; -16.2346875 ; -10.0113906
0.5933333 ; -0.0013466 ; -16.8321 ; -9.987046
0.57 ; -0.0013873 ; -17.34115 ; -9.8844555
0.5466667 ; -0.0014265 ; -17.8314875 ; -9.7478798
0.5233333 ; -0.0014513 ; -18.1413875 ; -9.4939928
0.5 ; -0.0014803 ; -18.504275 ; -9.2521375
0.4766667 ; -0.0014964 ; -18.7049125 ; -8.9160083
0.4533333 ; -0.001512 ; -18.9004375 ; -8.5681983
0.43 ; -0.001536 ; -19.1999875 ; -8.2559946
0.4066667 ; -0.0015437 ; -19.2957625 ; -7.8469434
0.3833333 ; -0.0015637 ; -19.5468375 ; -7.4929544
0.36 ; -0.0015703 ; -19.6292375 ; -7.0665255
0.3366667 ; -0.0015828 ; -19.7844 ; -6.660748
0.3133333 ; -0.0015944 ; -19.92985 ; -6.2446863
0.29 ; -0.0016012 ; -20.0147375 ; -5.8042739
0.2666667 ; -0.0016146 ; -20.1822875 ; -5.3819433
0.2433333 ; -0.0016183 ; -20.2286125 ; -4.9222957
0.22 ; -0.001627 ; -20.337375 ; -4.4742225
0.1966667 ; -0.0016397 ; -20.4968 ; -4.0310373
0.1733333 ; -0.0016395 ; -20.4933875 ; -3.5521872
0.15 ; -0.001646 ; -20.574775 ; -3.0862162
0.1266667 ; -0.0016528 ; -20.65985 ; -2.6169143
0.1033333 ; -0.0016486 ; -20.6078 ; -2.1294727
0.08 ; -0.0016652 ; -20.814925 ; -1.665194
0.0566667 ; -0.0016637 ; -20.79655 ; -1.1784712
0.0333333 ; -0.0016733 ; -20.915975 ; -0.6971992
0.01 ; -0.0016745 ; -20.9312875 ; -0.2093129
-0.0133333 ; -0.0016771 ; -20.96375 ; 0.2795167
-0.0366667 ; -0.0016851 ; -21.0634625 ; 0.772327
-0.06 ; -0.001678 ; -20.974925 ; 1.2584955
-0.0833333 ; -0.001685 ; -21.06235 ; 1.7551958
-0.1066667 ; -0.0016945 ; -21.1806375 ; 2.259268
-0.13 ; -0.0016934 ; -21.1675 ; 2.751775
-0.1533333 ; -0.0016933 ; -21.1666125 ; 3.2455473
-0.1766667 ; -0.0017046 ; -21.3076125 ; 3.7643449
-0.2 ; -0.0017075 ; -21.344325 ; 4.268865
