U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.001529 ; 19.1118875 ; 22.934265
1.1766667 ; 0.0011946 ; 14.9322375 ; 17.5702661
1.1533333 ; 0.0010567 ; 13.2083 ; 15.2335727
1.13 ; 0.0009329 ; 11.6616725 ; 13.1776899
1.1066667 ; 0.0008227 ; 10.2841187 ; 11.3810914
1.0833333 ; 0.0007189 ; 8.9858312 ; 9.7346505
1.06 ; 0.0006215 ; 7.7688188 ; 8.2349479
1.0366667 ; 0.0005292 ; 6.6149662 ; 6.857515
1.0133333 ; 0.0004405 ; 5.5064888 ; 5.5799086
0.99 ; 0.000352 ; 4.3999612 ; 4.3559616
0.9666667 ; 0.0002642 ; 3.3025588 ; 3.1924735
0.9433333 ; 0.0001793 ; 2.2413713 ; 2.1143602
0.92 ; 9.47e-05 ; 1.183214 ; 1.0885569
0.8966667 ; 1.31e-05 ; 0.164164 ; 0.1472004
0.8733333 ; -7.51e-05 ; -0.9385142 ; -0.8196358
0.85 ; -0.0001561 ; -1.95078 ; -1.658163
0.8266667 ; -0.0002358 ; -2.947895 ; -2.4369265
0.8033333 ; -0.0003157 ; -3.9463475 ; -3.1702325
0.78 ; -0.0003897 ; -4.87179 ; -3.7999962
0.7566667 ; -0.0004638 ; -5.79697 ; -4.386374
0.7333333 ; -0.0005324 ; -6.6550237 ; -4.8803507
0.71 ; -0.0005982 ; -7.478095 ; -5.3094474
0.6866667 ; -0.0006542 ; -8.1779025 ; -5.615493
0.6633333 ; -0.0007086 ; -8.8577512 ; -5.8756417
0.64 ; -0.0007604 ; -9.505255 ; -6.0833632
0.6166667 ; -0.0008046 ; -10.0576487 ; -6.2022167
0.5933333 ; -0.0008474 ; -10.5931225 ; -6.2852527
0.57 ; -0.0008802 ; -11.0025512 ; -6.2714542
0.5466667 ; -0.0009143 ; -11.4285138 ; -6.2475875
0.5233333 ; -0.0009456 ; -11.8203538 ; -6.1859851
0.5 ; -0.0009724 ; -12.1546387 ; -6.0773194
0.4766667 ; -0.0009977 ; -12.471245 ; -5.9446268
0.4533333 ; -0.0010135 ; -12.6692375 ; -5.7433877
0.43 ; -0.0010328 ; -12.9106125 ; -5.5515634
0.4066667 ; -0.0010445 ; -13.055725 ; -5.3093282
0.3833333 ; -0.0010598 ; -13.2470625 ; -5.0780406
0.36 ; -0.0010753 ; -13.4416875 ; -4.8390075
0.3366667 ; -0.0010888 ; -13.6104875 ; -4.5821975
0.3133333 ; -0.0010964 ; -13.70525 ; -4.2943117
0.29 ; -0.001106 ; -13.8245375 ; -4.0091159
0.2666667 ; -0.0011163 ; -13.9539625 ; -3.7210567
0.2433333 ; -0.0011304 ; -14.1297625 ; -3.4382422
0.22 ; -0.0011358 ; -14.1976875 ; -3.1234912
0.1966667 ; -0.0011447 ; -14.3091125 ; -2.8141255
0.1733333 ; -0.0011462 ; -14.3270625 ; -2.4833575
0.15 ; -0.0011553 ; -14.4407875 ; -2.1661181
0.1266667 ; -0.0011618 ; -14.5219 ; -1.8394407
0.1033333 ; -0.0011685 ; -14.605825 ; -1.5092686
0.08 ; -0.0011677 ; -14.5963625 ; -1.167709
0.0566667 ; -0.001177 ; -14.7125 ; -0.8337083
0.0333333 ; -0.0011727 ; -14.658925 ; -0.4886308
0.01 ; -0.0011815 ; -14.76895 ; -0.1476895
-0.0133333 ; -0.0011886 ; -14.8570875 ; 0.1980945
-0.0366667 ; -0.0011936 ; -14.9199875 ; 0.5470662
-0.06 ; -0.0011998 ; -14.9979875 ; 0.8998793
-0.0833333 ; -0.0012031 ; -15.039125 ; 1.2532604
-0.1066667 ; -0.0012052 ; -15.0647875 ; 1.6069107
-0.13 ; -0.0012073 ; -15.091225 ; 1.9618593
-0.1533333 ; -0.0012148 ; -15.1855625 ; 2.3284529
-0.1766667 ; -0.0012301 ; -15.375875 ; 2.7164046
-0.2 ; -0.0012244 ; -15.3046875 ; 3.0609375
