U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0037454 ; 46.8169375 ; 56.180325
1.1766667 ; 0.0033044 ; 41.30495 ; 48.6021578
1.1533333 ; 0.0030363 ; 37.9536875 ; 43.7732529
1.13 ; 0.0027907 ; 34.88365 ; 39.4185245
1.1066667 ; 0.0025659 ; 32.0736875 ; 35.4948808
1.0833333 ; 0.0023546 ; 29.432025 ; 31.8846937
1.06 ; 0.0021567 ; 26.9588625 ; 28.5763942
1.0366667 ; 0.0019695 ; 24.618375 ; 25.5210487
1.0133333 ; 0.0017919 ; 22.3988625 ; 22.697514
0.99 ; 0.0016181 ; 20.22675 ; 20.0244825
0.9666667 ; 0.0014579 ; 18.2236875 ; 17.6162312
0.9433333 ; 0.0013027 ; 16.2841 ; 15.3613343
0.92 ; 0.0011531 ; 14.414075 ; 13.260949
0.8966667 ; 0.0010084 ; 12.6051 ; 11.302573
0.8733333 ; 0.0008656 ; 10.820495 ; 9.449899
0.85 ; 0.0007269 ; 9.08671 ; 7.7237035
0.8266667 ; 0.0005935 ; 7.4192375 ; 6.1332363
0.8033333 ; 0.000461 ; 5.7623275 ; 4.6290698
0.78 ; 0.0003326 ; 4.1572175 ; 3.2426296
0.7566667 ; 0.0002057 ; 2.571415 ; 1.945704
0.7333333 ; 8.65e-05 ; 1.0815256 ; 0.7931188
0.71 ; -3.43e-05 ; -0.4291347 ; -0.3046857
0.6866667 ; -0.0001482 ; -1.8521875 ; -1.2718354
0.6633333 ; -0.0002622 ; -3.277885 ; -2.1743304
0.64 ; -0.0003665 ; -4.58108 ; -2.9318912
0.6166667 ; -0.000468 ; -5.8502287 ; -3.6076411
0.5933333 ; -0.0005641 ; -7.0517988 ; -4.1840673
0.57 ; -0.0006592 ; -8.2400775 ; -4.6968442
0.5466667 ; -0.000743 ; -9.2878012 ; -5.0773313
0.5233333 ; -0.0008195 ; -10.2431412 ; -5.3605773
0.5 ; -0.0008935 ; -11.1685437 ; -5.5842719
0.4766667 ; -0.0009601 ; -12.0011037 ; -5.7205261
0.4533333 ; -0.0010221 ; -12.776825 ; -5.7921607
0.43 ; -0.0010789 ; -13.4867 ; -5.799281
0.4066667 ; -0.0011298 ; -14.1227 ; -5.7432313
0.3833333 ; -0.0011777 ; -14.7218625 ; -5.6433806
0.36 ; -0.0012233 ; -15.291725 ; -5.505021
0.3366667 ; -0.0012564 ; -15.705225 ; -5.2874257
0.3133333 ; -0.0012994 ; -16.2420625 ; -5.0891796
0.29 ; -0.0013326 ; -16.65795 ; -4.8308055
0.2666667 ; -0.0013659 ; -17.0735375 ; -4.5529433
0.2433333 ; -0.0013898 ; -17.3722375 ; -4.2272445
0.22 ; -0.0014151 ; -17.6890375 ; -3.8915882
0.1966667 ; -0.0014449 ; -18.061625 ; -3.5521196
0.1733333 ; -0.0014678 ; -18.3468875 ; -3.1801272
0.15 ; -0.0014894 ; -18.6171125 ; -2.7925669
0.1266667 ; -0.0015108 ; -18.88485 ; -2.392081
0.1033333 ; -0.0015244 ; -19.0547375 ; -1.9689895
0.08 ; -0.0015433 ; -19.291225 ; -1.543298
0.0566667 ; -0.0015598 ; -19.4969375 ; -1.1048265
0.0333333 ; -0.0015733 ; -19.6664625 ; -0.6555487
0.01 ; -0.0015829 ; -19.7858375 ; -0.1978584
-0.0133333 ; -0.0015986 ; -19.9824875 ; 0.2664332
-0.0366667 ; -0.0016029 ; -20.0361375 ; 0.7346584
-0.06 ; -0.0016141 ; -20.1759125 ; 1.2105548
-0.0833333 ; -0.0016319 ; -20.3986875 ; 1.6998906
-0.1066667 ; -0.0016455 ; -20.5693625 ; 2.1940653
-0.13 ; -0.0016558 ; -20.69765 ; 2.6906945
-0.1533333 ; -0.0016669 ; -20.8367 ; 3.1949607
-0.1766667 ; -0.0016892 ; -21.114525 ; 3.7302328
-0.2 ; -0.0016993 ; -21.2408875 ; 4.2481775
