U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0003847 ; 4.80818 ; 5.769816
1.1766667 ; 0.0002724 ; 3.4046538 ; 4.0061426
1.1533333 ; 0.0002246 ; 2.8075537 ; 3.2380453
1.13 ; 0.0001819 ; 2.2741363 ; 2.569774
1.1066667 ; 0.0001411 ; 1.7638175 ; 1.951958
1.0833333 ; 0.0001012 ; 1.2648438 ; 1.3702474
1.06 ; 6.17e-05 ; 0.771394 ; 0.8176776
1.0366667 ; 2.18e-05 ; 0.2729616 ; 0.2829702
1.0133333 ; -1.97e-05 ; -0.2461409 ; -0.2494228
0.99 ; -6.47e-05 ; -0.8086839 ; -0.800597
0.9666667 ; -0.000113 ; -1.4120262 ; -1.3649587
0.9433333 ; -0.000165 ; -2.0620713 ; -1.9452205
0.92 ; -0.0002219 ; -2.7737337 ; -2.551835
0.8966667 ; -0.0002834 ; -3.54282 ; -3.1767286
0.8733333 ; -0.00035 ; -4.3754013 ; -3.8211838
0.85 ; -0.0004202 ; -5.2520513 ; -4.4642436
0.8266667 ; -0.0004937 ; -6.1714663 ; -5.1017454
0.8033333 ; -0.0005675 ; -7.0934512 ; -5.6984058
0.78 ; -0.0006442 ; -8.0529412 ; -6.2812942
0.7566667 ; -0.0007193 ; -8.9906375 ; -6.8029157
0.7333333 ; -0.0007928 ; -9.9103087 ; -7.2675597
0.71 ; -0.000863 ; -10.786895 ; -7.6586954
0.6866667 ; -0.000934 ; -11.67521 ; -8.0169775
0.6633333 ; -0.0009906 ; -12.3827562 ; -8.213895
0.64 ; -0.0010508 ; -13.134375 ; -8.406
0.6166667 ; -0.0011047 ; -13.8089125 ; -8.515496
0.5933333 ; -0.0011491 ; -14.363675 ; -8.5224472
0.57 ; -0.0011914 ; -14.892925 ; -8.4889672
0.5466667 ; -0.0012266 ; -15.332925 ; -8.381999
0.5233333 ; -0.0012541 ; -15.67655 ; -8.2040612
0.5 ; -0.0012855 ; -16.068525 ; -8.0342625
0.4766667 ; -0.001304 ; -16.299825 ; -7.7695832
0.4533333 ; -0.0013228 ; -16.5344 ; -7.4955947
0.43 ; -0.0013363 ; -16.7041125 ; -7.1827684
0.4066667 ; -0.0013491 ; -16.8641875 ; -6.8581029
0.3833333 ; -0.0013611 ; -17.014325 ; -6.5221579
0.36 ; -0.001371 ; -17.1371875 ; -6.1693875
0.3366667 ; -0.0013787 ; -17.234225 ; -5.8021891
0.3133333 ; -0.0013915 ; -17.394075 ; -5.4501435
0.29 ; -0.0013925 ; -17.4057375 ; -5.0476639
0.2666667 ; -0.0014057 ; -17.5711625 ; -4.6856433
0.2433333 ; -0.0014123 ; -17.6540125 ; -4.2958097
0.22 ; -0.001412 ; -17.649575 ; -3.8829065
0.1966667 ; -0.0014237 ; -17.79655 ; -3.4999882
0.1733333 ; -0.0014238 ; -17.7976125 ; -3.0849195
0.15 ; -0.0014281 ; -17.8516625 ; -2.6777494
0.1266667 ; -0.0014291 ; -17.8638625 ; -2.2627559
0.1033333 ; -0.0014383 ; -17.9783 ; -1.8577577
0.08 ; -0.0014403 ; -18.0036125 ; -1.440289
0.0566667 ; -0.0014521 ; -18.1510125 ; -1.0285574
0.0333333 ; -0.0014453 ; -18.0657 ; -0.60219
0.01 ; -0.0014492 ; -18.11455 ; -0.1811455
-0.0133333 ; -0.0014505 ; -18.131675 ; 0.2417557
-0.0366667 ; -0.0014563 ; -18.2037625 ; 0.6674713
-0.06 ; -0.0014567 ; -18.2088 ; 1.092528
-0.0833333 ; -0.0014643 ; -18.3035375 ; 1.5252948
-0.1066667 ; -0.0014705 ; -18.3807625 ; 1.9606147
-0.13 ; -0.001471 ; -18.3879625 ; 2.3904351
-0.1533333 ; -0.0014661 ; -18.3264375 ; 2.8100538
-0.1766667 ; -0.0014764 ; -18.454475 ; 3.2602906
-0.2 ; -0.0014727 ; -18.4089375 ; 3.6817875
