U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0007223 ; 10.3182057 ; 12.3818469
1.1766667 ; 0.0006191 ; 8.8445057 ; 10.4070351
1.1533333 ; 0.0005629 ; 8.0413229 ; 9.2743257
1.13 ; 0.0005133 ; 7.3334857 ; 8.2868389
1.1066667 ; 0.0004675 ; 6.6792057 ; 7.3916543
1.0833333 ; 0.0004243 ; 6.0620843 ; 6.567258
1.06 ; 0.0003837 ; 5.48099 ; 5.8098494
1.0366667 ; 0.000346 ; 4.9422971 ; 5.1235147
1.0133333 ; 0.000309 ; 4.4144743 ; 4.4733339
0.99 ; 0.0002723 ; 3.8893114 ; 3.8504183
0.9666667 ; 0.0002377 ; 3.3962014 ; 3.2829947
0.9433333 ; 0.0002036 ; 2.9083214 ; 2.7435165
0.92 ; 0.0001696 ; 2.4234329 ; 2.2295582
0.8966667 ; 0.0001358 ; 1.9394657 ; 1.7390543
0.8733333 ; 0.0001019 ; 1.4550157 ; 1.2707137
0.85 ; 6.73e-05 ; 0.9619266 ; 0.8176376
0.8266667 ; 3.14e-05 ; 0.447903 ; 0.3702665
0.8033333 ; 1.7e-06 ; 0.0245184 ; 0.0196964
0.78 ; -3.88e-05 ; -0.5547654 ; -0.432717
0.7566667 ; -7.79e-05 ; -1.1131983 ; -0.84232
0.7333333 ; -0.0001148 ; -1.6402029 ; -1.2028154
0.71 ; -0.0001553 ; -2.2186871 ; -1.5752679
0.6866667 ; -0.0001941 ; -2.7725157 ; -1.9037941
0.6633333 ; -0.0002337 ; -3.3379857 ; -2.2141972
0.64 ; -0.000273 ; -3.9004543 ; -2.4962907
0.6166667 ; -0.0003129 ; -4.4693714 ; -2.7561124
0.5933333 ; -0.0003509 ; -5.0135343 ; -2.974697
0.57 ; -0.0003904 ; -5.5770643 ; -3.1789266
0.5466667 ; -0.000428 ; -6.11439 ; -3.3425332
0.5233333 ; -0.0004657 ; -6.6534414 ; -3.4819677
0.5 ; -0.0005023 ; -7.1757357 ; -3.5878679
0.4766667 ; -0.0005355 ; -7.6495771 ; -3.6462984
0.4533333 ; -0.0005707 ; -8.1530857 ; -3.6960655
0.43 ; -0.0006014 ; -8.5920771 ; -3.6945932
0.4066667 ; -0.0006349 ; -9.07039 ; -3.6886253
0.3833333 ; -0.000664 ; -9.4860429 ; -3.6363164
0.36 ; -0.0006897 ; -9.8526757 ; -3.5469633
0.3366667 ; -0.0007169 ; -10.24176 ; -3.4480592
0.3133333 ; -0.0007405 ; -10.57849 ; -3.3145935
0.29 ; -0.0007638 ; -10.9108443 ; -3.1641448
0.2666667 ; -0.0007838 ; -11.19698 ; -2.9858613
0.2433333 ; -0.0008021 ; -11.4584829 ; -2.7882308
0.22 ; -0.0008184 ; -11.6919371 ; -2.5722262
0.1966667 ; -0.0008306 ; -11.8658 ; -2.3336073
0.1733333 ; -0.0008438 ; -12.0538771 ; -2.0893387
0.15 ; -0.0008558 ; -12.2252629 ; -1.8337894
0.1266667 ; -0.0008696 ; -12.4231386 ; -1.5735976
0.1033333 ; -0.0008782 ; -12.5460043 ; -1.2964204
0.08 ; -0.0008857 ; -12.6524714 ; -1.0121977
0.0566667 ; -0.0008949 ; -12.7843914 ; -0.7244488
0.0333333 ; -0.0009039 ; -12.9130029 ; -0.4304334
0.01 ; -0.0009122 ; -13.0317729 ; -0.1303177
-0.0133333 ; -0.0009169 ; -13.0990071 ; 0.1746534
-0.0366667 ; -0.0009217 ; -13.1675214 ; 0.4828091
-0.06 ; -0.0009261 ; -13.2298243 ; 0.7937895
-0.0833333 ; -0.0009365 ; -13.3787129 ; 1.1148927
-0.1066667 ; -0.0009377 ; -13.3953143 ; 1.4288335
-0.13 ; -0.0009487 ; -13.5523471 ; 1.7618051
-0.1533333 ; -0.0009521 ; -13.6019471 ; 2.0856319
-0.1766667 ; -0.0009575 ; -13.6784686 ; 2.4165294
-0.2 ; -0.0009631 ; -13.7592371 ; 2.7518474
