U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0003828 ; 5.4682757 ; 6.5619309
1.1766667 ; 0.0003158 ; 4.5110829 ; 5.3080408
1.1533333 ; 0.0002764 ; 3.9492229 ; 4.5547704
1.13 ; 0.0002437 ; 3.4811671 ; 3.9337189
1.1066667 ; 0.0002148 ; 3.0692414 ; 3.3966272
1.0833333 ; 0.0001882 ; 2.6889157 ; 2.912992
1.06 ; 0.0001631 ; 2.3293143 ; 2.4690731
1.0366667 ; 0.0001386 ; 1.9799643 ; 2.052563
1.0133333 ; 0.0001143 ; 1.6324443 ; 1.6542102
0.99 ; 8.89e-05 ; 1.2698069 ; 1.2571088
0.9666667 ; 6.26e-05 ; 0.8949597 ; 0.8651277
0.9433333 ; 3.5e-05 ; 0.4999813 ; 0.471649
0.92 ; 8.9e-06 ; 0.1275858 ; 0.1173789
0.8966667 ; -2.57e-05 ; -0.3665807 ; -0.3287007
0.8733333 ; -6.08e-05 ; -0.8682053 ; -0.7582326
0.85 ; -9.77e-05 ; -1.39641 ; -1.1869485
0.8266667 ; -0.0001392 ; -1.9878986 ; -1.6433295
0.8033333 ; -0.0001846 ; -2.6369271 ; -2.1183315
0.78 ; -0.0002317 ; -3.3099829 ; -2.5817866
0.7566667 ; -0.0002816 ; -4.0223843 ; -3.0436041
0.7333333 ; -0.0003353 ; -4.7896886 ; -3.5124383
0.71 ; -0.0003894 ; -5.5623771 ; -3.9492878
0.6866667 ; -0.0004458 ; -6.36849 ; -4.3730298
0.6633333 ; -0.0005027 ; -7.1814186 ; -4.7636743
0.64 ; -0.0005604 ; -8.0054686 ; -5.1234999
0.6166667 ; -0.0006166 ; -8.8087929 ; -5.4320889
0.5933333 ; -0.0006715 ; -9.5921886 ; -5.6913652
0.57 ; -0.0007232 ; -10.3313086 ; -5.8888459
0.5466667 ; -0.0007733 ; -11.0471557 ; -6.0391118
0.5233333 ; -0.0008206 ; -11.7235143 ; -6.1353058
0.5 ; -0.0008657 ; -12.3676857 ; -6.1838429
0.4766667 ; -0.0009055 ; -12.93522 ; -6.1657882
0.4533333 ; -0.0009433 ; -13.4759071 ; -6.1090779
0.43 ; -0.0009741 ; -13.9150171 ; -5.9834574
0.4066667 ; -0.0010034 ; -14.3339857 ; -5.8291542
0.3833333 ; -0.0010302 ; -14.7177286 ; -5.641796
0.36 ; -0.0010543 ; -15.0621143 ; -5.4223611
0.3366667 ; -0.0010681 ; -15.2589 ; -5.137163
0.3133333 ; -0.0010887 ; -15.5526 ; -4.873148
0.29 ; -0.0011025 ; -15.7498429 ; -4.5674544
0.2666667 ; -0.0011178 ; -15.9683429 ; -4.2582248
0.2433333 ; -0.0011306 ; -16.1521143 ; -3.9303478
0.22 ; -0.0011342 ; -16.2033857 ; -3.5647449
0.1966667 ; -0.0011425 ; -16.3219857 ; -3.2099905
0.1733333 ; -0.00115 ; -16.4278857 ; -2.8475002
0.15 ; -0.0011563 ; -16.5191857 ; -2.4778779
0.1266667 ; -0.0011673 ; -16.6761571 ; -2.1123132
0.1033333 ; -0.0011699 ; -16.7131 ; -1.7270203
0.08 ; -0.0011737 ; -16.7674 ; -1.341392
0.0566667 ; -0.0011762 ; -16.8022286 ; -0.9521263
0.0333333 ; -0.001183 ; -16.8996286 ; -0.563321
0.01 ; -0.0011878 ; -16.9679286 ; -0.1696793
-0.0133333 ; -0.0011911 ; -17.0153429 ; 0.2268712
-0.0366667 ; -0.0011951 ; -17.0735571 ; 0.6260304
-0.06 ; -0.0011966 ; -17.0935857 ; 1.0256151
-0.0833333 ; -0.0012036 ; -17.1939857 ; 1.4328321
-0.1066667 ; -0.0012053 ; -17.2185286 ; 1.836643
-0.13 ; -0.0012045 ; -17.2076 ; 2.236988
-0.1533333 ; -0.0012103 ; -17.2897571 ; 2.6510961
-0.1766667 ; -0.0012128 ; -17.3262143 ; 3.0609645
-0.2 ; -0.0012138 ; -17.3404143 ; 3.4680829
