U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
-0.2 ; -0.0013157 ; -16.4467125 ; 3.2893425
-0.1766667 ; -0.0013155 ; -16.4438 ; 2.9050713
-0.1533333 ; -0.0013103 ; -16.3786625 ; 2.5113949
-0.13 ; -0.0013098 ; -16.3725625 ; 2.1284331
-0.1066667 ; -0.0013076 ; -16.34525 ; 1.7434933
-0.0833333 ; -0.0013003 ; -16.253775 ; 1.3544813
-0.06 ; -0.0012984 ; -16.2304875 ; 0.9738293
-0.0366667 ; -0.0012968 ; -16.209975 ; 0.5943658
-0.0133333 ; -0.001293 ; -16.16255 ; 0.2155007
0.01 ; -0.0012886 ; -16.1074625 ; -0.1610746
0.0333333 ; -0.0012837 ; -16.04635 ; -0.5348783
0.0566667 ; -0.0012815 ; -16.01835 ; -0.9077065
0.08 ; -0.0012774 ; -15.96725 ; -1.27738
0.1033333 ; -0.0012679 ; -15.84925 ; -1.6377558
0.1266667 ; -0.0012645 ; -15.8059 ; -2.0020807
0.15 ; -0.0012614 ; -15.7671375 ; -2.3650706
0.1733333 ; -0.0012562 ; -15.702975 ; -2.721849
0.1966667 ; -0.0012532 ; -15.6649375 ; -3.080771
0.22 ; -0.0012512 ; -15.639725 ; -3.4407395
0.2433333 ; -0.0012435 ; -15.5441875 ; -3.782419
0.2666667 ; -0.0012402 ; -15.5020625 ; -4.1338833
0.29 ; -0.0012359 ; -15.448675 ; -4.4801157
0.3133333 ; -0.0012285 ; -15.35605 ; -4.8115623
0.3366667 ; -0.0012175 ; -15.21835 ; -5.1235112
0.36 ; -0.0012153 ; -15.1918 ; -5.469048
0.3833333 ; -0.0012127 ; -15.158575 ; -5.8107871
0.4066667 ; -0.0012008 ; -15.009975 ; -6.1040565
0.43 ; -0.0011972 ; -14.9644625 ; -6.4347189
0.4533333 ; -0.001191 ; -14.887025 ; -6.7487847
0.4766667 ; -0.0011829 ; -14.7856875 ; -7.0478444
0.5 ; -0.0011813 ; -14.7663 ; -7.38315
0.5233333 ; -0.001173 ; -14.6622375 ; -7.6732376
0.5466667 ; -0.0011612 ; -14.51445 ; -7.934566
0.57 ; -0.0011514 ; -14.3920125 ; -8.2034471
0.5933333 ; -0.0011411 ; -14.263475 ; -8.4629952
0.6166667 ; -0.0011332 ; -14.165425 ; -8.7353454
0.64 ; -0.0011221 ; -14.0257 ; -8.976448
0.6633333 ; -0.0011099 ; -13.8738125 ; -9.2029623
0.6866667 ; -0.0010935 ; -13.66855 ; -9.3857377
0.71 ; -0.0010805 ; -13.505875 ; -9.5891712
0.7333333 ; -0.0010662 ; -13.3272 ; -9.77328
0.7566667 ; -0.0010441 ; -13.0509625 ; -9.8752283
0.78 ; -0.0010286 ; -12.8576875 ; -10.0289962
0.8033333 ; -0.0010085 ; -12.605775 ; -10.1266392
0.8266667 ; -0.0009813 ; -12.2665363 ; -10.1403366
0.85 ; -0.000957 ; -11.9629175 ; -10.1684799
0.8733333 ; -0.0009184 ; -11.480125 ; -10.0259758
0.8966667 ; -0.000877 ; -10.9630375 ; -9.8301903
0.92 ; -0.0008242 ; -10.3022 ; -9.478024
0.9433333 ; -0.000764 ; -9.5499562 ; -9.0087921
0.9666667 ; -0.0006847 ; -8.55831 ; -8.273033
0.99 ; -0.0005918 ; -7.39758 ; -7.3236042
1.0133333 ; -0.0004742 ; -5.9272887 ; -6.0063193
1.0366667 ; -0.0003359 ; -4.198635 ; -4.3525849
1.06 ; -0.0001739 ; -2.1732125 ; -2.3036052
1.0833333 ; 2.02e-05 ; 0.2529471 ; 0.2740261
1.1066667 ; 0.0002443 ; 3.0538325 ; 3.3795746
1.13 ; 0.0004972 ; 6.2148163 ; 7.0227424
1.1533333 ; 0.0007899 ; 9.8743587 ; 11.3884271
1.1766667 ; 0.00112 ; 13.9997 ; 16.4729803
1.2 ; 0.0014911 ; 18.638925 ; 22.36671
