U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0012434 ; 15.54285 ; 18.65142
1.1766667 ; 0.0009465 ; 11.8309625 ; 13.9210992
1.1533333 ; 0.0006659 ; 8.324065 ; 9.6004216
1.13 ; 0.0003952 ; 4.9405262 ; 5.5827947
1.1066667 ; 0.0001509 ; 1.8865875 ; 2.0878235
1.0833333 ; -6.03e-05 ; -0.7536421 ; -0.8164456
1.06 ; -0.0002454 ; -3.0674488 ; -3.2514957
1.0366667 ; -0.0004029 ; -5.0362588 ; -5.2209216
1.0133333 ; -0.0005295 ; -6.6187138 ; -6.7069633
0.99 ; -0.0006333 ; -7.9164413 ; -7.8372768
0.9666667 ; -0.0007188 ; -8.9846537 ; -8.6851653
0.9433333 ; -0.0007846 ; -9.8069 ; -9.2511757
0.92 ; -0.0008388 ; -10.4852512 ; -9.6464311
0.8966667 ; -0.0008845 ; -11.0568487 ; -9.9143077
0.8733333 ; -0.0009237 ; -11.5466775 ; -10.0840983
0.85 ; -0.0009546 ; -11.9322875 ; -10.1424444
0.8266667 ; -0.0009854 ; -12.31709 ; -10.1821277
0.8033333 ; -0.0010107 ; -12.6336125 ; -10.149002
0.78 ; -0.001029 ; -12.86305 ; -10.033179
0.7566667 ; -0.001055 ; -13.1878125 ; -9.9787781
0.7333333 ; -0.0010714 ; -13.392575 ; -9.8212217
0.71 ; -0.0010926 ; -13.6571 ; -9.696541
0.6866667 ; -0.0011061 ; -13.8266125 ; -9.4942739
0.6633333 ; -0.001122 ; -14.025225 ; -9.3033992
0.64 ; -0.0011375 ; -14.2184375 ; -9.0998
0.6166667 ; -0.0011441 ; -14.3011125 ; -8.8190194
0.5933333 ; -0.001162 ; -14.524375 ; -8.6177958
0.57 ; -0.0011704 ; -14.6295875 ; -8.3388649
0.5466667 ; -0.0011835 ; -14.7937625 ; -8.0872568
0.5233333 ; -0.0011889 ; -14.8607625 ; -7.7771324
0.5 ; -0.0011936 ; -14.9205375 ; -7.4602687
0.4766667 ; -0.0012011 ; -15.0143625 ; -7.1568461
0.4533333 ; -0.0012119 ; -15.1483875 ; -6.867269
0.43 ; -0.001222 ; -15.2755125 ; -6.5684704
0.4066667 ; -0.001225 ; -15.31265 ; -6.2271443
0.3833333 ; -0.001232 ; -15.4004 ; -5.9034867
0.36 ; -0.0012363 ; -15.4539375 ; -5.5634175
0.3366667 ; -0.0012379 ; -15.4739375 ; -5.209559
0.3133333 ; -0.001249 ; -15.6131125 ; -4.8921086
0.29 ; -0.0012538 ; -15.6719125 ; -4.5448546
0.2666667 ; -0.0012609 ; -15.76075 ; -4.2028667
0.2433333 ; -0.001262 ; -15.7749625 ; -3.8385742
0.22 ; -0.0012645 ; -15.8065 ; -3.47743
0.1966667 ; -0.0012694 ; -15.8679 ; -3.120687
0.1733333 ; -0.001277 ; -15.9626625 ; -2.7668615
0.15 ; -0.0012817 ; -16.0209625 ; -2.4031444
0.1266667 ; -0.0012811 ; -16.0137875 ; -2.0284131
0.1033333 ; -0.0012888 ; -16.10975 ; -1.6646742
0.08 ; -0.0012897 ; -16.12155 ; -1.289724
0.0566667 ; -0.0012957 ; -16.196275 ; -0.9177889
0.0333333 ; -0.0012955 ; -16.1932375 ; -0.5397746
0.01 ; -0.0012953 ; -16.1913625 ; -0.1619136
-0.0133333 ; -0.0013054 ; -16.3177375 ; 0.2175698
-0.0366667 ; -0.0013065 ; -16.3307 ; 0.5987923
-0.06 ; -0.0013054 ; -16.3169125 ; 0.9790148
-0.0833333 ; -0.0013122 ; -16.4021875 ; 1.366849
-0.1066667 ; -0.0013117 ; -16.39675 ; 1.7489867
-0.13 ; -0.0013109 ; -16.3864875 ; 2.1302434
-0.1533333 ; -0.001312 ; -16.3996625 ; 2.5146149
-0.1766667 ; -0.0013218 ; -16.52215 ; 2.9189132
-0.2 ; -0.0013243 ; -16.553875 ; 3.310775
