U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0012396 ; 15.4945 ; 18.5934
1.1766667 ; 0.0009075 ; 11.3434488 ; 13.347458
1.1533333 ; 0.0006907 ; 8.633555 ; 9.9573668
1.13 ; 0.0004805 ; 6.0064512 ; 6.7872899
1.1066667 ; 0.0002851 ; 3.5642663 ; 3.9444546
1.0833333 ; 0.0001127 ; 1.4090712 ; 1.5264939
1.06 ; -3.57e-05 ; -0.4462455 ; -0.4730202
1.0366667 ; -0.000167 ; -2.0869875 ; -2.1635104
1.0133333 ; -0.0002806 ; -3.5069975 ; -3.5537575
0.99 ; -0.0003794 ; -4.74207 ; -4.6946493
0.9666667 ; -0.0004574 ; -5.7176512 ; -5.5270629
0.9433333 ; -0.0005234 ; -6.5430875 ; -6.1723125
0.92 ; -0.0005786 ; -7.2331175 ; -6.6544681
0.8966667 ; -0.0006245 ; -7.8060012 ; -6.9993811
0.8733333 ; -0.0006638 ; -8.297495 ; -7.246479
0.85 ; -0.0006988 ; -8.7351475 ; -7.4248754
0.8266667 ; -0.0007266 ; -9.0831088 ; -7.5087032
0.8033333 ; -0.0007514 ; -9.3922575 ; -7.5451135
0.78 ; -0.0007729 ; -9.6610563 ; -7.5356239
0.7566667 ; -0.0007979 ; -9.973545 ; -7.546649
0.7333333 ; -0.0008134 ; -10.1673212 ; -7.4560356
0.71 ; -0.0008305 ; -10.3806725 ; -7.3702775
0.6866667 ; -0.0008507 ; -10.6340937 ; -7.3020777
0.6633333 ; -0.0008606 ; -10.7569638 ; -7.1354526
0.64 ; -0.0008769 ; -10.96108 ; -7.0150912
0.6166667 ; -0.0008891 ; -11.1140412 ; -6.8536588
0.5933333 ; -0.0008979 ; -11.2242963 ; -6.6597491
0.57 ; -0.0009138 ; -11.42279 ; -6.5109903
0.5466667 ; -0.0009246 ; -11.55696 ; -6.3178048
0.5233333 ; -0.0009319 ; -11.64861 ; -6.0961059
0.5 ; -0.0009416 ; -11.77037 ; -5.885185
0.4766667 ; -0.0009511 ; -11.8891075 ; -5.6671412
0.4533333 ; -0.0009616 ; -12.0197625 ; -5.448959
0.43 ; -0.00097 ; -12.1251875 ; -5.2138306
0.4066667 ; -0.0009755 ; -12.1940425 ; -4.9589106
0.3833333 ; -0.0009853 ; -12.3163075 ; -4.7212512
0.36 ; -0.0009903 ; -12.3790263 ; -4.4564494
0.3366667 ; -0.0009987 ; -12.4832963 ; -4.2027097
0.3133333 ; -0.0010047 ; -12.5593625 ; -3.9352669
0.29 ; -0.0010156 ; -12.6952375 ; -3.6816189
0.2666667 ; -0.0010206 ; -12.7571875 ; -3.4019167
0.2433333 ; -0.0010279 ; -12.8492625 ; -3.1266539
0.22 ; -0.0010283 ; -12.8539125 ; -2.8278607
0.1966667 ; -0.0010381 ; -12.9759375 ; -2.5519344
0.1733333 ; -0.0010402 ; -13.002125 ; -2.2537017
0.15 ; -0.0010465 ; -13.0813125 ; -1.9621969
0.1266667 ; -0.0010498 ; -13.1221875 ; -1.6621437
0.1033333 ; -0.0010553 ; -13.1908125 ; -1.3630506
0.08 ; -0.0010622 ; -13.2778875 ; -1.062231
0.0566667 ; -0.0010637 ; -13.2964 ; -0.7534627
0.0333333 ; -0.0010709 ; -13.386575 ; -0.4462192
0.01 ; -0.0010758 ; -13.4472 ; -0.134472
-0.0133333 ; -0.0010831 ; -13.539125 ; 0.1805217
-0.0366667 ; -0.0010833 ; -13.5417875 ; 0.4965322
-0.06 ; -0.0010915 ; -13.6439625 ; 0.8186378
-0.0833333 ; -0.0010951 ; -13.6893375 ; 1.1407781
-0.1066667 ; -0.001098 ; -13.72445 ; 1.4639413
-0.13 ; -0.0011035 ; -13.79415 ; 1.7932395
-0.1533333 ; -0.0011057 ; -13.821325 ; 2.1192698
-0.1766667 ; -0.0011135 ; -13.918225 ; 2.4588864
-0.2 ; -0.0011135 ; -13.9183375 ; 2.7836675
