U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
-0.2 ; -0.0014998 ; -18.7469 ; 3.74938
-0.1766667 ; -0.0014924 ; -18.65475 ; 3.2956725
-0.1533333 ; -0.0014909 ; -18.6367375 ; 2.8576331
-0.13 ; -0.0014859 ; -18.574325 ; 2.4146623
-0.1066667 ; -0.0014808 ; -18.510575 ; 1.9744613
-0.0833333 ; -0.0014805 ; -18.5063375 ; 1.5421948
-0.06 ; -0.0014717 ; -18.3956875 ; 1.1037413
-0.0366667 ; -0.0014699 ; -18.3737375 ; 0.6737037
-0.0133333 ; -0.0014717 ; -18.3960875 ; 0.2452812
0.01 ; -0.0014619 ; -18.2736375 ; -0.1827364
0.0333333 ; -0.0014569 ; -18.2114875 ; -0.6070496
0.0566667 ; -0.0014555 ; -18.1935 ; -1.030965
0.08 ; -0.001443 ; -18.0378875 ; -1.443031
0.1033333 ; -0.0014424 ; -18.0301625 ; -1.8631168
0.1266667 ; -0.0014431 ; -18.0391375 ; -2.2849574
0.15 ; -0.0014364 ; -17.9549625 ; -2.6932444
0.1733333 ; -0.001433 ; -17.912575 ; -3.1048463
0.1966667 ; -0.0014265 ; -17.831175 ; -3.5067977
0.22 ; -0.0014196 ; -17.745275 ; -3.9039605
0.2433333 ; -0.0014131 ; -17.664075 ; -4.2982582
0.2666667 ; -0.0014089 ; -17.610825 ; -4.69622
0.29 ; -0.0013907 ; -17.3843125 ; -5.0414506
0.3133333 ; -0.0013853 ; -17.3162375 ; -5.4257544
0.3366667 ; -0.0013744 ; -17.180425 ; -5.7840764
0.36 ; -0.0013691 ; -17.1132625 ; -6.1607745
0.3833333 ; -0.0013545 ; -16.9317375 ; -6.4904994
0.4066667 ; -0.0013419 ; -16.773425 ; -6.8211928
0.43 ; -0.0013289 ; -16.6115625 ; -7.1429719
0.4533333 ; -0.0013164 ; -16.4543875 ; -7.4593223
0.4766667 ; -0.0013035 ; -16.294125 ; -7.7668662
0.5 ; -0.0012822 ; -16.027425 ; -8.0137125
0.5233333 ; -0.0012688 ; -15.85985 ; -8.2999882
0.5466667 ; -0.0012445 ; -15.5557875 ; -8.5038305
0.57 ; -0.0012222 ; -15.2775625 ; -8.7082106
0.5933333 ; -0.0011892 ; -14.8648875 ; -8.8198332
0.6166667 ; -0.0011596 ; -14.4951625 ; -8.9386835
0.64 ; -0.0011175 ; -13.9684125 ; -8.939784
0.6633333 ; -0.0010637 ; -13.2959125 ; -8.819622
0.6866667 ; -0.0010171 ; -12.7141875 ; -8.7304087
0.71 ; -0.0009582 ; -11.97763 ; -8.5041173
0.7333333 ; -0.0008847 ; -11.0584687 ; -8.1095437
0.7566667 ; -0.0008134 ; -10.16768 ; -7.6935445
0.78 ; -0.0007261 ; -9.0766062 ; -7.0797529
0.8033333 ; -0.0006398 ; -7.9978788 ; -6.4249626
0.8266667 ; -0.0005524 ; -6.9048687 ; -5.7080248
0.85 ; -0.0004598 ; -5.74764 ; -4.885494
0.8733333 ; -0.0003641 ; -4.5511887 ; -3.9747048
0.8966667 ; -0.0002691 ; -3.3638075 ; -3.0162141
0.92 ; -0.0001781 ; -2.225885 ; -2.0478142
0.9433333 ; -7.95e-05 ; -0.9936694 ; -0.9373614
0.9666667 ; -5.5e-06 ; -0.0688986 ; -0.066602
0.99 ; 0.0001049 ; 1.3109975 ; 1.2978875
1.0133333 ; 0.0002114 ; 2.6424037 ; 2.6776358
1.0366667 ; 0.0003185 ; 3.9811737 ; 4.1271501
1.06 ; 0.0004357 ; 5.4466988 ; 5.7735007
1.0833333 ; 0.0005518 ; 6.8975138 ; 7.4723066
1.1066667 ; 0.0006754 ; 8.442795 ; 9.3433598
1.13 ; 0.0008114 ; 10.1426188 ; 11.4611592
1.1533333 ; 0.0009587 ; 11.9832288 ; 13.8206572
1.1766667 ; 0.0011207 ; 14.00895 ; 16.4838645
1.2 ; 0.0013031 ; 16.2883625 ; 19.546035
