U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0013617 ; 17.0207875 ; 20.424945
1.1766667 ; 0.0010997 ; 13.745625 ; 16.1740188
1.1533333 ; 0.0009586 ; 11.982825 ; 13.8201915
1.13 ; 0.0008349 ; 10.4359388 ; 11.7926108
1.1066667 ; 0.0007019 ; 8.7737562 ; 9.7096236
1.0833333 ; 0.0005744 ; 7.1795562 ; 7.7778526
1.06 ; 0.0004494 ; 5.6178263 ; 5.9548958
1.0366667 ; 0.0003275 ; 4.093415 ; 4.2435069
1.0133333 ; 0.0002087 ; 2.60851 ; 2.6432901
0.99 ; 9.16e-05 ; 1.1454382 ; 1.1339839
0.9666667 ; -2.65e-05 ; -0.3313116 ; -0.3202679
0.9433333 ; -0.0001362 ; -1.7019962 ; -1.6055498
0.92 ; -0.0002498 ; -3.1222538 ; -2.8724734
0.8966667 ; -0.0003521 ; -4.4016 ; -3.946768
0.8733333 ; -0.000459 ; -5.7370013 ; -5.0103144
0.85 ; -0.0005587 ; -6.984105 ; -5.9364892
0.8266667 ; -0.000658 ; -8.2253125 ; -6.7995917
0.8033333 ; -0.0007504 ; -9.379715 ; -7.5350377
0.78 ; -0.0008304 ; -10.3797125 ; -8.0961757
0.7566667 ; -0.0009028 ; -11.284715 ; -8.5387677
0.7333333 ; -0.0009764 ; -12.2050288 ; -8.9503544
0.71 ; -0.0010265 ; -12.8309 ; -9.109939
0.6866667 ; -0.0010787 ; -13.4836 ; -9.2587387
0.6633333 ; -0.001125 ; -14.062275 ; -9.3279757
0.64 ; -0.0011664 ; -14.580175 ; -9.331312
0.6166667 ; -0.0011945 ; -14.931825 ; -9.2079587
0.5933333 ; -0.0012294 ; -15.367175 ; -9.1178572
0.57 ; -0.0012539 ; -15.6736125 ; -8.9339591
0.5466667 ; -0.0012725 ; -15.9067 ; -8.6956627
0.5233333 ; -0.0012934 ; -16.1674 ; -8.4609393
0.5 ; -0.0013084 ; -16.355275 ; -8.1776375
0.4766667 ; -0.0013193 ; -16.4917 ; -7.8610437
0.4533333 ; -0.0013363 ; -16.7043125 ; -7.5726217
0.43 ; -0.0013475 ; -16.84345 ; -7.2426835
0.4066667 ; -0.0013587 ; -16.9836125 ; -6.9066691
0.3833333 ; -0.0013673 ; -17.0910875 ; -6.5515835
0.36 ; -0.0013832 ; -17.2900125 ; -6.2244045
0.3366667 ; -0.0013859 ; -17.3234375 ; -5.832224
0.3133333 ; -0.0013968 ; -17.4599625 ; -5.4707882
0.29 ; -0.0014016 ; -17.5193875 ; -5.0806224
0.2666667 ; -0.0014105 ; -17.631825 ; -4.70182
0.2433333 ; -0.0014169 ; -17.711075 ; -4.3096949
0.22 ; -0.0014243 ; -17.8041875 ; -3.9169212
0.1966667 ; -0.0014303 ; -17.878225 ; -3.5160509
0.1733333 ; -0.0014328 ; -17.910125 ; -3.1044217
0.15 ; -0.0014458 ; -18.072775 ; -2.7109162
0.1266667 ; -0.0014486 ; -18.1081125 ; -2.2936942
0.1033333 ; -0.0014476 ; -18.0948875 ; -1.869805
0.08 ; -0.0014552 ; -18.1894125 ; -1.455153
0.0566667 ; -0.0014638 ; -18.2980125 ; -1.0368874
0.0333333 ; -0.0014671 ; -18.338825 ; -0.6112942
0.01 ; -0.001472 ; -18.4000375 ; -0.1840004
-0.0133333 ; -0.0014755 ; -18.4442375 ; 0.2459232
-0.0366667 ; -0.0014755 ; -18.4442 ; 0.6762873
-0.06 ; -0.0014809 ; -18.5117625 ; 1.1107058
-0.0833333 ; -0.0014858 ; -18.5728375 ; 1.5477365
-0.1066667 ; -0.001487 ; -18.587625 ; 1.98268
-0.13 ; -0.0014883 ; -18.6043125 ; 2.4185606
-0.1533333 ; -0.0014983 ; -18.728775 ; 2.8717455
-0.1766667 ; -0.001499 ; -18.7376125 ; 3.3103115
-0.2 ; -0.0015005 ; -18.755825 ; 3.751165
