id,price,brand,brandI,Amortizatoriai galiniai:,Balnelis:,Diskiniai stabdžiai:,Dviračių tipai:,Galinis permetėjas:,Kategorija:,Licencijos (filmukų herojai):,Padangos:,Pakuotė:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pardavėjas:,Pavarų perjungimo rankenėlė:,Pavarų skaičius:,Pedalai:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinis permetėjas:,Ratlankiai:,Ratų skersmuo:,Rekomend. amžius nuo:,Rekomenduojamas ūgis:,Rėmas:,Rėmo dydis:,Rūšis:,Skirta:,Stabdžių sistema:,Svoris:,Visos šio ženklo prekės:,Šakė:
1,399.91,Goetze,"Dviratis Goetze 28 6SP su pintu krepšiu ir įdėklu, kreminis/rudas",Nėra,,,Miesto,Shimano Tourney,Dviračiai,,,,"1,5 x 0,55 x 0,7 m, 15 kg",,"KATARATA, 					            Minced, 					            DaviBikes",Shimano Revoshift,6,,67972891,1 vnt.,Goetze,Nėra,Aliuminiai sustiprinti,"28 """,,160-180 cm,Plieninis,18 cm,"Goetze, miesto dviračiai",Moterims,V-Brake,19 kg,Visos Goetze prekės,Standi
2,188.0,Bimbo bike,"Vaikiškas dviratis Bimbo Bike Candy 20"", baltas",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,4 x 0,45 x 0,9 m, 13 kg",,Pigu.lt,Nenurodyta,1,,29605805,1 vnt.,Bimbo bike,Nenurodyta,-,"20 """,,113-140 cm,Aliuminis,20 cm,"Bimbo bike, vaikiški dviračiai",Mergaitėms,V-tipo,13 kg,Visos Bimbo bike prekės,Nenurodyta
3,293.0,Louke,"Vyriškas kalnų dviratis Louke 1, 26"", juodas",Nėra,,Taip,Kalnų,L-TWOO QD35A,Dviračiai,,,,"1,32 x 1 x 1 m, 15 kg",,Pigu.lt,L-TWOO EF51-7R/ 3L,21,,14804875,1 vnt.,Louke,Nenurodyta,Plieniniai,"26 """,,170-180 cm,Plieninis,18 cm,"Louke, kalnų dviračiai","Universalus, 					            Vyrams",Diskiniai mechaniniai,15 kg,Visos Louke prekės,Amortizuojanti
4,418.0,Louke,"Kalnų dviratis Louke Fat Bike X-treme, 26"", juodas",Yra,,Taip,Kalnų,L-TWOO TZ50,Dviračiai,,,,"1,57 x 0,55 x 0,74 m, 22 kg",,"Pigu.lt, 					            JVCB Trade",L-TWOO EF51-7R/ 3L,7,,69190496,1 vnt.,Louke,Nenurodyta,Dvigubi aliumininiai,"26 """,,175-185 cm,Plieninis,18 cm,"Louke, kalnų dviračiai",Vyrams,Diskiniai,16 kg,Visos Louke prekės,Amortizuojanti
5,104.0,Bimbo bike,"Dviratukas vaikams Bimbo Bike 14"" Boy Cosmos, žalias",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,6 x 0,52 x 0,5 m, 9 kg",,Pigu.lt,Nėra,1,,29751990,1 vnt.,Bimbo bike,Nėra,Plieniniai,"14 """,4 m.,95-110 cm,Plieninis,12 cm,"Bimbo bike, vaikiški dviračiai",Berniukams,V-Brake,- kg,Visos Bimbo bike prekės,Kieta
6,339.0,MTB,"Kalnų dviratis MTB 29"", juodas",Yra,,,Kalnų,SHIMANO,Dviračiai,,,,"1,47 x 0,8 x 0,21 m, 21,6 kg",,Sun baby,Nenurodyta,Nenurodyta,,88165355,1 vnt.,MTB,Shimano,-,"29 """,,175-190 cm,Plieninis,29 cm,"MTB, kalnų dviračiai",Vyrams,Diskiniai,- kg,Visos MTB prekės,Nenurodyta
7,259.0,Gust,"Kalnų dviratis Gust Roxter, 29'', žalias",Nenurodyta,,,Kalnų,SHIMANO,Dviračiai,,,,"1,38 x 0,88 x 0,2 m, 18 kg",,GJ Bikes SIA,SHIMANO,21,,80871715,1 vnt.,Gust,Nenurodyta,"29""","29 """,,"160-170 cm, 					            170-180 cm, 					            180-190 cm",Plieninis,29 cm,"Gust, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",Diskiniai,17 kg,Visos Gust prekės,Amortizuojanti
8,509.0,Insera,"Dviratis Insera Muffle 26"", juodas/pilkas",Nėra,Insera 30.9/350 mm,Taip,"Fatbike, 					            Kalnų",Shimano Acera RD-M360,Dviračiai,,26x4.00,,"1,4 x 0,8 x 0,69 m, 25,5 kg",,Pigu.lt,Shimano STEF51-7 × 3,21,Aliuminio,45150043,1 vnt.,Insera,Nenurodyta,Aliumininiai,"26 """,,170-180 cm,Aliuminis,19 cm,"Insera, fatbike dviračiai,                                                                                             Insera, kalnų dviračiai","Universalus, 					            Vyrams",Diskiniai mechaniniai,18.5 kg,Visos Insera prekės,Kieta
9,230.0,N1,"Miesto dviratis N1 Cruiser 1.0 28"", smėlio spalvos",Nėra,Yi ming,Ne,Miesto,Nėra,Dviračiai,,27.5,186 x 21 x 111 cm,"1,86 x 0,21 x 1,11 m, 20,7 kg",,Pigu.lt,Nėra,1,"Plieniniai, PVC",43672128,1 vnt.,N1,Nėra,Dvigubi aliumininiai,"28 """,,"160-170 cm, 					            170-180 cm",Plieninis,18 cm,"N1, miesto dviračiai",Moterims,V-tipo,- kg,Visos N1 prekės,Kieta
10,389.0,ROMET,"Dviratis Romet Wagant 2 28"" 2023, pilkas",Nėra,,,Trekking,Shimano Acera RD-M310,Dviračiai,,,,"1,5 x 0,55 x 0,7 m, 17,5 kg",,"Pigu.lt, 					            PowerSPORT",Shimano ST-EF500 3 pavarų / Shimano ST-EF500 7 pavarų,21,,70421606,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"28 """,,170-190 cm,Aliuminis,19 cm,"Romet, trekking dviračiai",Vyrams,Diskiniai mechaniniai,17.2 kg,Visos ROMET prekės,Amortizuojanti
11,127.0,Flash,"Vaikiškas dviratis Flash 16"", 616-FH",Nėra,,,Vaikiški,1- bėgio vidinės pavaros,Dviračiai,Flash,,,"0,9 x 0,45 x 0,7 m, 9 kg",,Pigu.lt,Aliumininė,1,,52755089,1 vnt.,Flash,Nėra,-,"16 """,,90-120 cm,Plieninis,10 cm,"Flash, vaikiški dviračiai",Berniukams,V-Brake,10.3 kg,Visos Flash prekės,Kieta
12,529.0,Davi,"Dviratis MTB Davi Alpina AM DD 26″, aliuminis, 150-175 cm, 21 pavara, baltas",Nėra,,,Kalnų,Shimano Tourney,Dviračiai,,,,"1,4 x 0,2 x 0,8 m, 15 kg",,DaviBikes,SHIMANO,21,,101678596,1 vnt.,Davi,Shimano,Aliuminiai,"26 """,,150-170 cm,Aliuminis,15 cm,"Davi, kalnų dviračiai","Mergaitėms, 					            Moterims, 					            Universalus",Diskiniai mechaniniai,17 kg,Visos Davi prekės,Amortizuojanti
13,228.0,N1,"Miesto dviratis N1 Cruiser 1.0 28"", juodas",Nėra,Yi ming,Ne,Miesto,Nėra,Dviračiai,,27.5,186 x 21 x 111 cm,"1,86 x 0,21 x 1,11 m, 20,7 kg",,Pigu.lt,Nėra,1,"Plieniniai, PVC",43672553,1 vnt.,N1,Nėra,Dvigubi aliumininiai,"28 """,,"160-170 cm, 					            170-180 cm",Plieninis,18 cm,"N1, miesto dviračiai","Moterims, 					            Universalus",V-tipo,- kg,Visos N1 prekės,Kieta
14,391.0,Capriolo,"Dviratis Capriolo LC 9.3 29"", raudonas",Nenurodyta,,,Miesto,Shimano RD-T4000,Dviračiai,,,,"1,54 x 0,2 x 0,82 m, 19,1 kg",,Pigu.lt,Shimano SL-M315,24,,81002715,1 vnt.,Capriolo,Nenurodyta,29,"29 """,,165-185 cm,Plieninis,21 cm,"Capriolo, miesto dviračiai",Vyrams,Zoom,15.6 kg,Visos Capriolo prekės,Suntour SF19 XCT30 XLO DS 100
15,167.0,Hogan,"Kalnų dviratis Hogan H2700 27.5"", juodas / žalias",Nėra,Nenurodyta,Ne,Kalnų,Saiguan,Dviračiai,,27.5,178 x 18 x 106 cm,"1,78 x 0,45 x 0,7 m, 17 kg",,Lytagra,Saiguan,18,Nenurodyta,40407293,1 vnt.,Hogan,Nenurodyta,Nenurodyta,"27.5 """,,170-180 cm,Plieninis,17 cm,"Hogan, kalnų dviračiai","Moterims, 					            Universalus, 					            Vyrams",V-tipo,15.5 kg,Visos Hogan prekės,Kieta
16,205.0,Ewo React,"Kalnų dviratis Ewo React Fly, 20'', pilkas",Nenurodyta,,,Vaikiški,Shimano Tourney RD-FT35,Dviračiai,,,,"1,2 x 0,67 x 0,2 m, 13 kg",,GJ Bikes SIA,Shimano Revoshift,6,,79525958,1 vnt.,Ewo React,Nenurodyta,20,"20 """,,120-140 cm,Plieninis,20 cm,"Ewo React, vaikiški dviračiai","Berniukams, 					            Mergaitėms",V formos stabdžiai,13 kg,Visos Ewo React prekės,Kieta
17,229.0,N1,"Miesto dviratis N1 Cruiser 1.0 28"", raudonas",Nėra,Yi ming,Ne,Miesto,Nėra,Dviračiai,,27.5,186 x 21 x 111 cm,"1,86 x 0,21 x 1,11 m, 20,7 kg",,Pigu.lt,Nėra,1,"Plieniniai, PVC",44132528,1 vnt.,N1,Nėra,Dvigubi aliumininiai,"28 """,,"160-170 cm, 					            170-180 cm",Plieninis,18 cm,"N1, miesto dviračiai",Moterims,V-tipo,15 kg,Visos N1 prekės,Kieta
18,169.21,Toimsa,"Vaikiškas dviratis Paw Patrol Toimsa (14"")",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,42 x 0,52 x 0,68 m, 11 kg",,"Pigu.lt, 					            Kouket, 					            Brandberry, 					            Vitalimax, 					            Digizone, 					            Digitooted OÜ, 					            PowerSPORT, 					            KAM Trade SIA",Nenurodyta,Nenurodyta,,41902793,1 vnt.,Toimsa,Nenurodyta,-,"14 """,4 m.,70-113 cm,Nenurodyta,14 cm,"Toimsa, vaikiški dviračiai",Mergaitėms,Nenurodyta,- kg,Visos Toimsa prekės,Kieta
19,109.0,Dino Bikes,"Dviratukas vaikams Dino Bikes BMX 145XC-0401 14"", juodas",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"0,7 x 0,4 x 0,5 m, 8 kg",,Pigu.lt,Nėra,Nenurodyta,,38563003,1 vnt.,Dino bikes,Nėra,Nenurodyta,"14 """,4 m.,95-110 cm,Aliuminis,9 cm,"Dino bikes, vaikiški dviračiai",Berniukams,U-tipo,- kg,Visos Dino Bikes prekės,Kieta
20,213.0,N1,"Miesto dviratis N1 Combi 24"", juodas",Nėra,Monte Grappa,Ne,Miesto,Nėra,Dviračiai,,24x1.75,170 x 21 x 98 cm,"1,7 x 0,21 x 0,98 m, 20,7 kg",,Pigu.lt,Nėra,1,"Plieniniai, PVC",44132503,1 vnt.,N1,Nėra,Dvigubi aliumininiai,"24 """,,"132-160 cm, 					            160-170 cm, 					            170-180 cm, 					            180-190 cm",Plieninis,17 cm,"N1, miesto dviračiai",Universalus,Galiniai pedalų stabdžiai,14.5 kg,Visos N1 prekės,Kieta
21,274.0,DHS,"Kalnų dviratis DHS 2923 29"", pilkas",Nėra,WWD 2703-1,Ne,Kalnų,RD-TY300D,Dviračiai,,29,,"1,8 x 0,45 x 0,7 m, 20,65 kg",,Pigu.lt,Shimano ST-EF500 3 pavarų / Shimano ST-EF500 7 pavarų,21,FP-806,52047304,1 vnt.,DHS,Nenurodyta,Aliumininiai,"29 """,,"170-180 cm, 					            180-190 cm",Aliuminis,18 cm,"DHS, kalnų dviračiai","Universalus, 					            Vyrams",V-tipo,15.6 kg,Visos DHS prekės,Amortizuojanti
22,366.92,ROMET,"Kalnų dviratis Romet Rambler R6.1 26"" 2022, juodas/mėlynas",Nėra,Vader,Ne,Kalnų,Shimano Tourney RD-TY300D,Dviračiai,,"26×2,0",,"1,4 x 0,8 x 0,69 m, 15 kg",,"Pigu.lt, 					            Minced",Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033288,1 vnt.,Romet,Nenurodyta,Aliumininiai,"26 """,,"132-160 cm, 					            160-170 cm, 					            170-180 cm, 					            180-190 cm",Aliuminis,14 cm,"Romet, kalnų dviračiai","Universalus, 					            Vyrams",V-tipo,13.5 kg,Visos ROMET prekės,Amortizuojanti
23,-1.0,Tiger,"Vaikiškas dviratis MTB Tiger 20"", baltas",Nenurodyta,,,Vaikiški,Shimano RevoShift,Dviračiai,,,,"1,12 x 0,22 x 0,56 m, 16 kg",,Sun baby,Nenurodyta,6,,85244600,1 vnt.,Tiger,Nenurodyta,Nenurodyta,"20 """,,113-140 cm,Plieninis,20 cm,"Tiger, vaikiški dviračiai",Berniukams,V-Brake,- kg,Visos Tiger prekės,Nenurodyta
