id,price,brand,brandI,Akumuliatoriaus tipas:,Apsauga nuo per didelės iškrovos:,Apsauga nuo perkaitimo:,Apsauga nuo perkrovos:,Celių technologija:,Darbinė temperatūra:,GPS:,Išmanus įrenginys:,Kamera:,Kameros raiška:,Kategorija:,Maksimalus greitis:,ON/OFF mygtukas su LED:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Papildomos funkcijos:,Pardavėjas:,Pažangi įkrovimo valdymo sistema:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Rūšis:,Skraidymo laikas:,Skrydžio stabilizacija:,Svoris:,Talpa:,Tipas:,Valdymas:,Veikimo atstumas:,Visos šio ženklo prekės:,Įtampa:
1,59.0,4Hawks,Allnoel E95 Pro,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,25 x 0,2 x 0,055 m, 0,3 kg",,,onlyshop,,74869044,1 vnt.,4Hawks,"4Hawks, taip dronai",15 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,350 m,Visos 4Hawks prekės,
2,33.69,,Toy 4K HD D88 E88 PRO WIFI,,,,,,,Nėra,Taip,Taip,,Dronai,-,,"0,5 x 0,5 x 0,5 m, 1 kg",,,"Švara visiems, MB, 					            Marketon, 					            StoreXO, 					            APrice, 					            SUBLIGHT VELOCITY, 					            Amos, 					            Dream Source",,67779869,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",- min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu+VR,-,Visos Nenurodyta prekės,
3,299.99,DJI,DJI Mini 4K,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,30000 m/h,,"0,3 x 0,3 x 0,2 m, 0,5 kg",,,"Pigu.lt, 					            Megateka, 					            Kouket, 					            Galador Grupp OÜ, 					            Addmore, 					            PrimeOnline, 					            Digizone, 					            ACT TRADE SIA",,89977266,1 vnt.,DJI,"DJI, taip dronai",31 min.,Yra,249 g,,Dronas,Nuotolinio valdymo pultu,10000 m,Visos DJI prekės,
4,81.0,,Dronas E90 PRO,,,,,,,Nėra,Taip,Taip,,Dronai,-,,"0,5 x 0,5 x 0,5 m, 1 kg",,,"EasyShop, 					            Savvy",,67779924,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",- min.,Nėra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",-,Visos Nenurodyta prekės,
5,101.91,Avernus,Dronas S1S 4k UHD,,,,,,,Nenurodyta,Taip,Taip,Ultra 4K HD Mpix,Dronai,,,"0,235 x 0,085 x 0,185 m, 0,47 kg",,,Avernus Shop,,80357227,1 vnt.,Avernus,"Avernus, taip dronai",18 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,500 m,Visos Avernus prekės,
6,144.0,RC,RC DRONE F9 KAMERA 6K HD GPS WIFI DIAPAZONAS 2000M,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,028 x 0,021 x 0,01 m, 0,1 kg",,,"Pigu.lt, 					            IT Plus, 					            Valomsandeli, 					            Kouket, 					            shumee, 					            ShoppingArea, 					            TOPnuolaidos LT",,59845589,1 vnt.,Rc,"Rc, taip dronai",30 min.,Yra,,2600 mAh,Dronas,Nuotolinio valdymo pultu,2000 m,Visos RC prekės,7.4 V
7,58.84,,Dronas E95 PRO 2,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 0,4 kg",,,EasyShop,,75499778,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Nenurodyta,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",-,Visos Nenurodyta prekės,
8,43.99,Glxertvz,Sulankstomas FPV WiFi dronas su HD 4K kamera vaikams pradedantiesiems,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,225 x 0,175 x 0,065 m, 0,42 kg",,,"APrice, 					            Resteq",,76588998,1 vnt.,Glxertvz,"Glxertvz, taip dronai",- min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,20 m,Visos Glxertvz prekės,
9,46.42,Denver electronics,Denver DCW-380,Įkraunama baterija,,,,,,Nenurodyta,Taip,Taip,,Dronai,-,,"0,198 x 0,08 x 0,195 m, 1 kg",,Wifi,"Brandberry, 					            IT Company SIA, 					            Digitooted OÜ, 					            Neoshop, 					            Minced, 					            TOPnuolaidos LT, 					            KAM Trade SIA, 					            Elaxen, 					            ALmi",,30085576,1 vnt.,Denver Electronics,"Denver Electronics, taip dronai",8 min.,Yra,,380 mAh,Dronas,Nuotolinio valdymo pultu,50 m,Visos Denver electronics prekės,3.7 V
10,94.99,,E88 100 m 1800 mAh,,,,,,,Nėra,Taip,Taip,,Dronai,,,"0,5 x 0,5 x 0,5 m, 1 kg",,,KATARATA,,85480262,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Yra,2500 g,,Dronas,Išmaniuoju įrenginiu,100 m,Visos Nenurodyta prekės,
11,199.0,Allnoel,Dronas E95 PRO,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,35 x 0,2 x 0,2 m, 0,45 kg",,,BORGOI,,78272772,1 vnt.,Allnoel,"Allnoel, taip dronai",15 min.,Yra,120 g,,Dronas,Nuotolinio valdymo pultu,350 m,Visos Allnoel prekės,
12,39.21,StoreXO,Quadcopter,Įkraunama baterija,Taip,Taip,Taip,,,Nėra,Ne,Taip,,Dronai,-,,"0,375 x 0,34 x 0,255 m, 0,435 kg",,,"Pro Baltic, 					            StoreXO",Taip,68074421,1 vnt.,StoreXO,"StoreXO, taip dronai",10 min.,Yra,95 g,600 mAh,Dronas,Nuotolinio valdymo pultu,100 m,Visos StoreXO prekės,3.7 V
13,64.0,Cooler Stuff Co,"Dronas r/c valdomas programėle, su filmavimo funkcija",Įkraunama baterija,,,,,,Nenurodyta,Taip,Taip,,Dronai,-,,"0,29 x 0,12 x 0,25 m, 0,6 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					Giroskopas, 					Ryškiai šviečiantis","Magy žaislai, 					            Švara visiems, MB, 					            Trendy Shop, 					            SUBLIGHT VELOCITY, 					            Dream Source",,56218248,1 vnt.,Cooler Stuff Co,"Cooler Stuff Co, taip dronai",10 min.,Yra,135 g,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu+VR",100 m,Visos Cooler Stuff Co prekės,3.7 V
14,443.0,DJI,DJI Mini 4K Fly more Combo,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,30 m/h,,"0,3 x 0,3 x 0,2 m, 0,5 kg",,,"Pigu.lt, 					            IT Plus, 					            Galador Grupp OÜ, 					            Addmore, 					            PrimeOnline",,89977271,1 vnt.,DJI,"DJI, taip dronai",31 min.,Yra,249 g,,Dronas,Nuotolinio valdymo pultu,10000 m,Visos DJI prekės,
15,44.95,Smurf,Smurf 4K Mini,,,,,,,Nenurodyta,Ne,Taip,,Dronai,-,,"0,27 x 0,18 x 0,06 m, 0,485 kg",,,Smurf,,73561684,1 vnt.,Smurf,"Smurf, taip dronai",10 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,-,Visos Smurf prekės,
16,57.99,,Dronas su kamera VR akiniai,Įkraunama baterija,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,5 x 0,5 x 0,31 m, 5 kg",,"Ryškiai šviečiantis, 					Wifi",AIG,,82936417,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",7 min.,Nenurodyta,95 g,,Dronas,Nuotolinio valdymo pultu+VR,-,Visos Nenurodyta prekės,
17,42.99,,Dronas 4K HD E88 PRO WIFI,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,1 x 0,2 x 0,3 m, 0,2 kg",,,APrice,,77084117,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,100 m,Visos Nenurodyta prekės,
18,10.8,Flexcopter,Flexcopter FX3,,,,,,,Nėra,Ne,Ne,,Dronai,,,"0,32 x 0,2 x 0,12 m, 0,4 kg",,,SDC Distribution,,19298950,1 vnt.,Flexcopter,"Flexcopter, ne dronai",8 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,50 m,Visos Flexcopter prekės,
19,78.9,,Ramana family shop Dronas su kamera 4K WiFi,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,3 m, 0,9 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					Giroskopas, 					Ryškiai šviečiantis",Ramana family shop,,96066397,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",20 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,150 m,Visos Nenurodyta prekės,
20,69.88,,Dronas Toy 4K HD D88 E88 PRO WIFI RAMANA family shop,Įkraunama baterija,,,,,,Yra,Taip,Taip,Nenurodyta,Dronai,,,"0,5 x 0,5 x 0,5 m, 1 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					Giroskopas, 					Ryškiai šviečiantis","Jūsų Prekės, 					            Ramana family shop",,95531117,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,150 m,Visos Nenurodyta prekės,
21,-1.0,Smurf,Mini RC Dronas valdomas pultu Smurf,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,2 x 0,2 x 0,12 m, 0,25 kg",,,Smurf,,73302734,1 vnt.,Smurf,"Smurf, taip dronai",25 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos Smurf prekės,
22,1190.0,DJI,"Dronas DJI Avata 2 Fly More Combo, 3 baterijos",,,,,,,Yra,Ne,Taip,,Dronai,,,"1 x 1 x 1 m, 1 kg",,,"Pigu.lt, 					            PrimeOnline, 					            Digizone, 					            TechMarket",,82913055,1 vnt.,DJI,"DJI, taip dronai",23 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,13000 m,Visos DJI prekės,
23,33.19,Denver,Denver DRO-170,Įkraunama baterija,,,,,,Nenurodyta,Ne,Ne,,Dronai,-,,"0,2 x 0,08 x 0,2 m, 1 kg",,,"Pigu.lt, 					            Brandberry, 					            Eventure, 					            IT Company SIA, 					            Digitooted OÜ, 					            Neoshop, 					            Minced, 					            TOPnuolaidos LT, 					            StoreXO, 					            KAM Trade SIA, 					            ovolt",,30085571,1 vnt.,Denver,"Denver, ne dronai",7 min.,Yra,,600 mAh,Dronas,Riešu,30 m,Visos Denver prekės,3.7 V
24,75.19,,Dronas PRO Su dviem kameromis ir trimis baterijomis WIFI 250m 1800 mAh,,,,,,,Nenurodyta,Taip,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,"Pro Baltic, 					            Juodasis šiokiadienis, 					            EasyShop",,56009733,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,250 m,Visos Nenurodyta prekės,
25,63.67,,E63 Pro 4k,,,,,,,Nėra,Taip,Taip,,Dronai,,,"0,2 x 0,12 x 0,06 m, 0,4 kg",,,Avernus Shop,,84182897,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,250 m,Visos Nenurodyta prekės,
26,139.93,RC,RC Drone Syma Z6PRO,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,43 x 0,22 x 0,23 m, 5 kg",,,"Pigu.lt, 					            Valomsandeli, 					            Kouket, 					            Urmo Kaina, 					            shumee, 					            ShoppingArea, 					            TOPnuolaidos LT",,69780416,1 vnt.,Rc,"Rc, taip dronai",25 min.,Nėra,,,Dronas,Išmaniuoju įrenginiu,450 m,Visos RC prekės,
27,79.9,,"Dronas r/c valdomas programėle, su filmavimo funkcija , 2 baterijos 3.7V Ramana family shop",,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,5 x 0,4 x 0,5 m, 1 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					Giroskopas",Ramana family shop,,95807757,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,100 m,Visos Nenurodyta prekės,
28,24.59,JJR/C,JJRC H36 Mini 2.4,,,,,,,Nenurodyta,Ne,Ne,,Dronai,-,,"0,01 x 0,01 x 0,01 m, 1 kg",,,"Valomsandeli, 					            Kouket, 					            Urmo Kaina, 					            ShoppingArea, 					            Pliuskis, 					            TOPnuolaidos LT",,45459203,1 vnt.,JJRC,"JJRC, ne dronai",5 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,30 m,Visos JJR/C prekės,
29,306.76,DJI,DJI Mini 2 SE,Įkraunama baterija,,,,Li-Polymer,5 °C - 40 °C,Yra,Taip,Taip,12 Mpix,Dronai,57600 m/h,,"0,2 x 0,1 x 0,1 m, 0,9 kg",,,"Addmore, 					            Klevera, 					            ShoppingArea, 					            ACT TRADE SIA",,70007131,1 vnt.,DJI,"DJI, taip dronai",31 min.,Yra,249 g,2250 mAh,Dronas,Nuotolinio valdymo pultu,10000 m,Visos DJI prekės,7.7 V
30,39.99,,Drone 4K UHD E88 Pro,Įkraunama baterija,,,,,,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,,Yra,"0,125 x 0,81 x 0,53 m, 0,38 kg",,"360 laipsniu apsivertimas ore, 					LED lemputes, 					Wifi",Yogasuper,,93290317,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Nenurodyta,381 g,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",150 m,Visos Nenurodyta prekės,
31,511.0,DJI,DJI Mini 3,,,,,,,Yra,Ne,Taip,,Dronai,,,"1 x 1 x 1 m, 1 kg",,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Addmore, 					            PrimeOnline",,82380905,1 vnt.,DJI,"DJI, taip dronai",38 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,12000 m,Visos DJI prekės,
32,67.88,,Dronas Toy 4K hd D88 E88 Pro wifi,Įkraunama baterija,,,,,,Yra,Taip,Taip,,Dronai,,,"0,5 x 0,5 x 0,5 m, 1 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					Giroskopas","Jūsų Prekės, 					            Ramana family shop",Taip,95538412,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,150 m,Visos Nenurodyta prekės,
