id,price,brand,brandI,Ambilight:,Aukštis be stovo:,Aukštis su stovu:,Bluetooth:,Ekrano tipas:,Ekrano įstrižainė:,Energijos efektyvumo klasė:,Energijos suvartojimas budėjimo rėžime:,Funkcijos:,Galia:,Gamintojo kodas:,Garsiakalbio galia (RMS):,Gylis be stovo:,Gylis su stovu:,HDMI jungčių skaičius:,Horizontalusis matymo kampas:,Jungties tipas:,Kategorija:,Kita informacija:,Kontrastas:,Lenktas (Curved):,Maksimali raiška:,Metinis energijos suvartojimas:,Modelis:,Operacinė sistema:,Pakuotės išmatavimai ir svoris (1):,Palaikomos technologijos:,Pardavėjas:,Plotis be stovo:,Plotis su stovu:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Ryškumas:,Rūšis:,Smart TV funkcijos:,Smart TV:,Spalva:,Specialiosios funkcijos:,Svoris su stovu:,Svoris:,TV imtuvai:,USB jungčių skaičius:,VESA tvirtinimo prie sienos standartas:,Vaizdo atkūrimo dažnis:,Valdymas balsu:,Vertikalusis matymo kampas( ° ):,Visos šio ženklo prekės:,WiFi:
1,345.51,Samsung,Samsung QE43Q60DAUXXH,Ne,55.9 cm,59.8 cm,Yra,QLED,"43"" (~109 cm)",F,0.5 kWh,"Bluetooth, 					            Smart TV, 					            Wi-Fi",Nenurodyta W,QE43Q60DAUXXH,20 W,2.57 cm,18.1 cm,3,- °,"HDMI x 3, 					            LAN x 1, 					            Optinė jungtis, 					            S/PDIF, 					            USB 2.0 x 2",Televizoriai,Nenurodyta,Nenurodyta,Ne,3840 x 2160 (4K),50 kWh,QE43Q60DAUXXH,Tizen OS,"1,09 x 0,13 x 0,67 m, 11,6 kg","HGiG, 					HLG, HDR10, 					Multi-View, 					Q-Symphony, 					VRR, ALLM","Pigu.lt, 					            Trajektorija, 					            W-Warehouse, 					            Kouket, 					            Galador Grupp OÜ, 					            PrimeOnline, 					            Helmand Baltics, 					            HyperShop, 					            Treat Stores, 					            ShoppingArea, 					            Orient Office AS",96.60 cm,96.60 cm,81244960,1 vnt.,Samsung,- cd/m²,"Samsung, qled televizoriai","Amazon Prime Video, 					Apple AirPlay 2, 					DISNEY+, 					Hbb Tv, 					HBO MAX, 					Netflix, 					Yle Areena, 					YouTube, 					Žaidimų režimas",Taip,Juoda,Nenurodyta,8.6 kg,8.4 kg,"DVB-C, DVB-S2, DVB-T2",2,Vesa 200 x 200,60 Hz,Taip,Nenurodyta,Visos Samsung prekės,Yra
2,147.01,Xiaomi,Xiaomi TV A 2025 32”,Ne,42.1 cm,46.7 cm,Yra,LED,"32"" (82 cm)",E,-,"Bluetooth, 					            Smart TV, 					            Valdymas balsu",-,"ELA5192EU,L32M8-P2EU",2x5 W,7.2 cm,16 cm,2,- °,"AV x 1, 					            HDMI x 2, 					            LAN x 1, 					            USB 2.0 x 2",Televizoriai,,,Ne,1366 x 768 (HDR),26 kWh,A 2025,Google TV,"1,5 x 0,18 x 0,96 m, 4,3 kg",Dolby Audio,"Pigu.lt, 					            IT Plus, 					            Galador Grupp OÜ, 					            PrimeOnline, 					            Helmand Baltics, 					            Treat Stores",71.9 cm,71.9 cm,89580770,1 vnt.,Xiaomi,,"Xiaomi, led televizoriai","Google Assistant, 					Google TV, 					Netflix, 					Prime Video, 					YouTube",Taip,Juoda,Nenurodyta,3.6 kg,3.5 kg,"DVB-C, DVB-T2, DVB-S2",2,Vesa 100 x 100,60 Hz,Taip,Nenurodyta,Visos Xiaomi prekės,Yra
3,259.0,Xiaomi,"Xiaomi QLED TV A Pro 2025 43""",Ne,56.22 cm,59.7 cm,Yra,QLED,"43"" (~109 cm)",G,-,Wi-Fi,90 W,ELA5483EU,2 x 8 W,8.07 cm,,3,178 °,"ARC x 1, 					            AV x 1, 					            HDMI x 3, 					            LAN x 1, 					            Optinė jungtis, 					            USB 2.0 x 1",Televizoriai,,Nenurodyta,Ne,3840 x 2160 (4K),53 kWh,ELA5483EU,Google TV,"1,6 x 0,18 x 0,96 m, 7,95 kg",,"Pigu.lt, 					            Smartonly, 					            W-Warehouse, 					            Galador Grupp OÜ, 					            PrimeOnline, 					            Vitalimax, 					            Helmand Baltics, 					            Treat Stores, 					            Minced, 					            Avesa Trade",95.74 cm,95.74 cm,84030920,1 vnt.,Xiaomi,- cd/m²,"Xiaomi, qled televizoriai","Google Assistant, 					Miracast",Taip,Juoda,Nenurodyta,6.1 kg,-,"DVB-C, DVB-S2, DVB-T2",2,Nenurodyta,60 Hz,Taip,178°,Visos Xiaomi prekės,Yra
4,339.0,Xiaomi,"Xiaomi QLED TV A Pro 2025 55""",Ne,71.5 cm,76.8 cm,Yra,QLED,"55"" (~140 cm)",F,-,Wi-Fi,125 W,ELA5479EU,2 x 10 W,Nenurodyta cm,31.3 cm,3,178 °,"AUX 3.5 mm x 1, 					            AV x 1, 					            HDMI x 3, 					            LAN x 1, 					            Optinė jungtis, 					            USB 2.0 x 2",Televizoriai,,Nenurodyta,Ne,3840 x 2160 (4K),74 kWh,ELA5479EU,Google TV,"1,6 x 0,18 x 0,96 m, 11,7 kg","DTS, 					Virtual Surround","Pigu.lt, 					            Galador Grupp OÜ, 					            Vitalimax, 					            Klevera, 					            Treat Stores, 					            Minced",Nenurodyta cm,- cm,84030915,1 vnt.,Xiaomi,- cd/m²,"Xiaomi, qled televizoriai","Google Assistant, 					Miracast",Taip,Juoda,Nenurodyta,10.4 kg,-,"DVB-C, DVB -T/T2, DVB -S/S2",2,Nenurodyta,60 Hz,Taip,178°,Visos Xiaomi prekės,Yra
5,137.13,tcl,TCL 32S5400A,Ne,42.4 cm,46.7 cm,Yra,LED,"32"" (82 cm)",F,0.5 kWh,"Bluetooth, 					            Google Play, 					            Smart TV, 					            Valdymas balsu, 					            Wi-Fi",27 W,"32S5400A,RTCLTVC32S5400A",10 W,7.7 cm,18 cm,2,,"AUX 3.5 mm x 1, 					            CI/Cl+ x 1, 					            HDMI x 2, 					            LAN x 1, 					            Optinė jungtis, 					            RF x 1, 					            USB 2.0 x 1",Televizoriai,,,Ne,1366 x 768 (HDR),42 kWh,32S5400A,Android TV,"0,13 x 0,55 x 0,8 m, 5 kg",,"Pigu.lt, 					            Trajektorija, 					            W-Warehouse, 					            Galador Grupp OÜ, 					            Viskasnamams COM, 					            Pro Baltic, 					            KATARATA, 					            PrimeOnline, 					            Eventure, 					            Vitalimax, 					            Digizone, 					            Helmand Baltics, 					            shumee, 					            EasyShop, 					            Treat Stores, 					            ShoppingArea, 					            Minced, 					            Orient Office AS, 					            Proshop lt, 					            ovolt",71.6 cm,71.6 cm,70577291,1 vnt.,TCL,,"TCL, led televizoriai",Android TV™,Taip,Juoda,,3.4 kg,3.3 kg,DVB T2CS2,,Vesa 100 x 100,60 Hz,Taip,,Visos tcl prekės,Yra
6,186.62,LG,LG 32LQ63006LA,Ne,,,Yra,LED,"32"" (82 cm)",F,0.5 kWh,"Apple AirPlay, 					            Bluetooth, 					            Smart TV, 					            Valdymas balsu, 					            Wi-Fi",40 W,"32LQ63006LA,32LQ63006LA.AEU,32LQ63006LAAEU",10 W,8.29 cm,,3,,"CI+ x 1, 					            HDMI x 2, 					            LAN x 1, 					            USB 2.0 x 1",Televizoriai,,,Ne,1920 x 1080 (FHD),27 kWh,32LQ63006LA,webOS,"0,2 x 0,9 x 0,6 m, 19 kg",,"Pigu.lt, 					            Smartonly, 					            Trajektorija, 					            W-Warehouse, 					            Kouket, 					            Pro Baltic, 					            KATARATA, 					            Eventure, 					            IT Company SIA, 					            Digizone, 					            unashop eu, 					            Helmand Baltics, 					            shumee, 					            HyperShop, 					            ShoppingArea, 					            Avesa Trade, 					            Orient Office AS, 					            Proshop lt",736 cm,,52346469,1 vnt.,LG,,"LG, led televizoriai",,Taip,Juoda,,4.7 kg,4.65 kg,DVB-T2 / C / S2,1,Vesa 200 x 200,,Taip,,Visos LG prekės,Yra
7,287.85,Samsung,Samsung UE43DU7172UXXH,Ne,,,Yra,LED,"43"" (~109 cm)",G,0.5 kWh,Bluetooth,20 W,"UE43DU7172U,UE43DU7172UXXH",,,,,,"HDMI x 3, 					            USB 2.0 x 1",Televizoriai,,,Ne,3840 x 2160 (4K),-,UE43DU7172UXXH,Tizen OS,"1,08 x 0,15 x 0,67 m, 10,5 kg",,"Pigu.lt, 					            Trajektorija, 					            IT Plus, 					            Belsi, 					            W-Warehouse, 					            Kouket, 					            Galador Grupp OÜ, 					            PrimeOnline, 					            Eventure, 					            Vitalimax, 					            IT Company SIA, 					            shumee, 					            HyperShop, 					            SoulSet store, 					            Treat Stores, 					            ShoppingArea, 					            Orient Office AS",,,81245065,1 vnt.,Samsung,,"Samsung, led televizoriai",,Taip,,,,,,,,,Taip,,Visos Samsung prekės,Yra
8,144.54,eSTAR,eStar LED32A2T2,Taip,,47.51 cm,Yra,LED,"32"" (82 cm)",E,-,"Bluetooth, 					            Google Play, 					            Smart TV, 					            Valdymas balsu, 					            Wi-Fi",26 W,LEDTV32A2T2,,,22.5 cm,,,"AV x 1, 					            CI/Cl+ x 1, 					            HDMI x 3, 					            RCA x 1, 					            USB 2.0 x 2",Televizoriai,,,Ne,1366 x 768 (HDR),26 kWh,LEDTV32A2T2,Android TV,"0,81 x 0,2 x 0,51 m, 4,7 kg",,"Pigu.lt, 					            Viskasnamams COM",,73.2 cm,61267048,1 vnt.,eStar,,"eStar, led televizoriai",Android OS,Taip,Juoda,,,3.68 kg,DVB - T/T2/C/S/S2,,Vesa 100 x 100,,Taip,,Visos eSTAR prekės,Yra
9,1279.0,LG,LG OLED65C41LA,Ne,82.6 cm,88 cm,Yra,OLED,"65"" (~165 cm)",F,0.5 kWh,"Bluetooth, 					            Dolby Atmos, 					            Valdymas balsu",-,OLED65C41LA,20 W,,23 cm,4,- °,"ARC x 1, 					            CI+ x 1, 					            HDMI x 4, 					            LAN x 1, 					            RF x 1, 					            USB 2.0 x 3",Televizoriai,,Nenurodyta,Ne,3840 x 2160 (4K),97 kWh,OLED65C41LA,webOS,"1,6 x 0,2 x 0,95 m, 26,4 kg","Clear voice, 					Dolby Atmos, 					G-Sync Compatible, 					Multi-View","Pigu.lt, 					            Smartonly, 					            Trajektorija, 					            Biuro ABC, 					            W-Warehouse, 					            Treat Stores",144.1 cm,144.1 cm,85501520,1 vnt.,LG,,"LG, oled televizoriai","Apple Air Play 2, 					Magic Remote Control, 					ThinQ, 					WiFi",Taip,Juoda,Nenurodyta,18.5 kg,16.6 kg,"DVB-C, DVB-S, DVB-S2, DVB-T, DVB-T2",3,Vesa 300 x 200,144 Hz,Taip,Nenurodyta,Visos LG prekės,Yra
10,207.55,eSTAR,eSTAR LEDTV43A1T2,Ne,,,Yra,LED,"43"" (~109 cm)",E,-,"Bluetooth, 					            Google Play, 					            Smart TV, 					            Valdymas balsu, 					            Wi-Fi",220 W,LEDTV43A1T2,,,,,,HDMI x 3,Televizoriai,,,Ne,1920 x 1080 (FHD),Nenurodyta kWh,LEDTV43A1T2,Android TV,"1 x 1 x 1,5 m, 7 kg",,Pigu.lt,,,80928875,1 vnt.,eStar,,"eStar, led televizoriai",,Taip,Juoda,,,,,,,,Taip,,Visos eSTAR prekės,Yra
