id,price,brand,brandI,3G:,4G:,5G:,Atminties kortelės talpa:,Atminties kortelės tipas:,Aukštis:,Baterijos talpa (mAh):,Baterijos tipas:,Bluetooth:,Blykstė:,Budėjimo laikas iki:,Ekrano tipas:,Ekrano įstrižainė:,Fotografavimo galimybė:,GPS:,Gamintojo kodas:,Gamintojo procesorius:,Grafinis išdėstymas:,Gylis:,Jungties tipas:,Kategorija:,Kita informacija:,Kolonėlės:,Korpusas:,Maksimali raiška:,Maksimalus naudojimo laikas (val.):,Matmenys:,Operacinė sistema:,Operacinės sistemos versija:,Operatyvinė atmintis (RAM):,Pagrindinė kamera:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pakuotės turinys* (*komplektacija gali keistis):,Palaikomi formatai:,Palaikomos technologijos:,Pardavėjas:,Plotis:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinė kamera:,Procesoriaus taktinis dažnis:,Procesoriaus tipas:,Rūšis:,SIM:,Skambinimo funkcija:,Skirta vaikams:,Spalva:,Svoris:,USB jungtys:,Vaizdo didinimas:,Vidinė atmintis:,Visos šio ženklo prekės:,WiFi:
1,156.9,Samsung,Samsung Galaxy Tab A9+ WiFi 4/64GB Graphite SM-X210NZAAEUE,Ne,Ne,Ne,iki 1TB,MicroSD,25.71 cm,7040,Li-Po,Yra,,,TFT,11'' (~27.9 cm),,Yra,Galaxy Tab A9+,,,0.69 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,4000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            IT Plus, 					            W-Warehouse, 					            Galador Grupp OÜ, 					            Brandberry, 					            Pro Baltic, 					            Improveit LT, 					            Infinity Game SIA, 					            unashop eu, 					            Helmand Baltics, 					            EasyShop, 					            Treat Stores, 					            ShoppingArea, 					            Triksa, 					            KAM Trade SIA, 					            BB-ELECTRONICS, 					            ovolt",16.87 cm,78014478,1 vnt.,Samsung,5 MP,1.8 GHz,Octa-core,"Samsung, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.480 kg,USB Type-C,,64 GB,Visos Samsung prekės,Yra
2,136.94,Xiaomi,Xiaomi Redmi Pad SE 4/128GB Graphite Gray,Ne,Ne,Ne,iki 1TB,Micro SDXC,25.6 cm,8000,Li-Ion,Yra,,,IPS LCD,11'' (~27.9 cm),,Nėra,Pad SE,,,0.8 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 13,,4000 MB,8 MP,"0,275 x 0,18 x 0,045 m, 0,8 kg",,"Įkroviklis, 					Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Smartonly, 					            Trajektorija, 					            W-Warehouse, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Pro Baltic, 					            KATARATA, 					            Vitalimax, 					            Infinity Game SIA, 					            Klevera, 					            Digizone, 					            unashop eu, 					            Helmand Baltics, 					            shumee, 					            Treat Stores, 					            Minced, 					            Triksa, 					            HG plus, 					            KAM Trade SIA, 					            Orient Office AS",16.8 cm,75318247,1 vnt.,XIAOMI,5 MP,,Qualcomm Snapdragon 680,"XIAOMI, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.478 kg,USB Type-C,,128 GB,Visos Xiaomi prekės,Yra
3,152.37,Xiaomi,"Xiaomi Redmi Pad SE 11"" 8/256GB grey",Taip,Ne,Ne,,,255.5 cm,,Li-Po,Yra,,,IPS-LCD,"11"" (27.9 cm)",,Nėra,Pad SE,,,7.36 cm,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 13,,8000 MB,8 MP,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            Smartonly, 					            IT Plus, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            KATARATA, 					            Eventure, 					            Treat Stores, 					            Minced, 					            Triksa, 					            Avesa Trade, 					            KAM Trade SIA",167.1 cm,78335458,1 vnt.,XIAOMI,5 MP,,Qualcomm Snapdragon,"XIAOMI, 11"" (27.9 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.58 kg,,,256 GB,Visos Xiaomi prekės,
4,136.94,Xiaomi,Xiaomi Redmi Pad SE 4/128GB,Ne,Ne,Ne,iki 1TB,Micro SDXC,25.55 cm,8000,Li-Ion,Yra,,,IPS-LCD,"11"" (27.9 cm)",,Puudub,Pad SE,,,0.736 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1920 × 1200,,,Android 13,,4000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Įkroviklis, 					Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Belsi, 					            Galador Grupp OÜ, 					            Pro Baltic, 					            Vitalimax, 					            Digizone, 					            Helmand Baltics, 					            shumee, 					            Minced, 					            ovolt",16.7 cm,75318242,1 vnt.,XIAOMI,5 MP,,Qualcomm Snapdragon 680,"XIAOMI, 11"" (27.9 cm) planšetiniai kompiuteriai",,,Ne,Žalia,0.478 kg,USB Type-C,,128 GB,Visos Xiaomi prekės,Yra
5,221.14,Xiaomi,Xiaomi Redmi Pad Pro 12.1 6GB/128GB Graphite Gray,Ne,Ne,Ne,,Micro SDXC,,,,Yra,,,LCD,"12.1""",,Nėra,"56177,VHU4737EU,XIAOMIPAD_PRO_6/128_GREY",,,,,Planšetiniai kompiuteriai,,,,2560 x 1600,,,Android 14,,6000 MB,8,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Brandberry, 					            VEFabrika SIA, 					            Vitalimax, 					            Digizone, 					            Avesa Trade, 					            KAM Trade SIA, 					            Orient Office AS, 					            EVESHOP",,86062345,1 vnt.,XIAOMI,8,,Nenurodyta,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Ne,Pilka,0.57 kg,,,128,Visos Xiaomi prekės,Yra
6,352.55,Xiaomi,Xiaomi Pad Pro 8/256Gb Graphite Grey,Nenurodyta,Nenurodyta,Nenurodyta,,Micro SDXC,,,,Yra,,,HD,"12.1""",,Nenurodyta,"56190,VHU4750EU",,,,,Planšetiniai kompiuteriai,,,,2560 x 1600,,,Android 14,,8000 MB,8,"0,3 x 0,2 x 0,1 m, 1 kg",,,,,"Pigu.lt, 					            VEFabrika SIA, 					            Infinity Game SIA, 					            Treat Stores, 					            Triksa, 					            Orient Office AS",,86298855,1 vnt.,XIAOMI,8,,Qualcomm,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Ne,Pilka,0.57 kg,,,256 GB,Visos Xiaomi prekės,
7,238.98,Samsung,Samsung Galaxy Tab A9+ WiFi 8/128GB Graphite SM-X210NZAEEUE,Ne,Ne,Ne,iki 1TB,MicroSD,25.71 cm,7040,Li-Po,Yra,,,TFT,11'' (~27.9 cm),,Yra,A9+ (X210),,,0.69 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,8000 MB,8 MP,"0,26 x 0,18 x 0,03 m, 0,645 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Smartonly, 					            Megateka, 					            Brandberry, 					            KATARATA, 					            Infinity Game SIA, 					            unashop eu, 					            Triksa, 					            HG plus, 					            KAM Trade SIA, 					            BB-ELECTRONICS, 					            Proshop lt, 					            ovolt",16.87 cm,78014483,1 vnt.,Samsung,5 MP,1.8 GHz,Octa-core,"Samsung, 11'' (~27.9 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.480 kg,USB Type-C,,128 GB,Visos Samsung prekės,Yra
8,127.05,Lenovo,"Lenovo Tab M9 ZAC50008SE 4G LTE 4/64GB, Arctic Grey",Taip,Taip,Ne,,Micro SD,21.54 cm,5100,Nenurodyta,Yra,,,IPS,"9"" (~23 cm)",,Yra,ZAC50008SE,,,0.79 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1340 x 800,,,Android 12,android,4000 MB,8 MP,"0,24 x 0,16 x 0,06 m, 0,85 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Helmand Baltics, 					            Minced",13.67 cm,70936776,1 vnt.,Lenovo,2 MP,2.0,MediaTek Helio G80,"Lenovo, 9"" (~23 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.344 kg,USB Type-C,,64 GB,Visos Lenovo prekės,Yra
9,112.26,Lenovo,"Lenovo Tab M9 ZAC30180SE WiFi 4/64GB, Arctic Grey",Ne,Ne,Ne,,Micro SD,21.54 cm,5100,Lithium Polymer (LiPo),Yra,,,IPS,"9"" (~23 cm)",,Yra,M9 TB310FU,,,0.79 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1340 x 800,,,Android 12,android,4000 MB,8 MP,"0,24 x 0,16 x 0,06 m, 0,85 kg",,,,,"Pigu.lt, 					            Smartonly, 					            W-Warehouse, 					            Galador Grupp OÜ, 					            Helmand Baltics, 					            EasyShop, 					            Treat Stores, 					            Minced, 					            Store24, 					            Triksa, 					            HG plus, 					            ovolt",13.67 cm,70936766,1 vnt.,Lenovo,2 MP,2.0,MediaTek Helio G80,"Lenovo, 9"" (~23 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.344 kg,USB Type-C,,64 GB,Visos Lenovo prekės,Yra
10,129.89,Samsung,Samsung Galaxy Tab A9 WiFi 4/64GB Graphite SM-X110NZAAEUE,Ne,Ne,Ne,iki 1TB,MicroSD,21.10 cm,5100,Nenurodyta,Yra,,,TFT,"8.7"" (~22.1cm)",,Yra,A9 (X110),,,0.8 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1340 x 800,,,Android,,4000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Trajektorija, 					            Belsi, 					            W-Warehouse, 					            Brandberry, 					            Pro Baltic, 					            Helmand Baltics, 					            shumee, 					            HyperShop, 					            ShoppingArea, 					            Minced, 					            KAM Trade SIA, 					            BB-ELECTRONICS, 					            Orient Office AS, 					            Proshop lt, 					            ovolt",12.47 cm,78014458,1 vnt.,Samsung,2 MP,1.8 GHz,Octa-core,"Samsung, 8.7"" (~22.1cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.332 kg,USB Type-C,,64 GB,Visos Samsung prekės,Yra
11,148.88,Samsung,Samsung Galaxy Tab A9 LTE 4/64GB Graphite SM-X115NZAAEUE,Taip,Taip,Ne,iki 1TB,MicroSD,21.10 cm,5100,Nenurodyta,Yra,,,TFT,"8.7"" (~22.1cm)",,Yra,A9 (X115),,,0.8 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1340 x 800,,,Android,,4000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Elektronika Internetu, 					            Trajektorija, 					            IT Plus, 					            W-Warehouse, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Pro Baltic, 					            KATARATA, 					            PrimeOnline, 					            Eventure, 					            Vitalimax, 					            Helmand Baltics, 					            HyperShop, 					            SoulSet store, 					            Treat Stores, 					            ShoppingArea, 					            Minced, 					            Triksa, 					            HG plus, 					            Avesa Trade, 					            KAM Trade SIA, 					            BB-ELECTRONICS, 					            Orient Office AS, 					            ovolt",12.47 cm,78014463,1 vnt.,Samsung,2 MP,1.8 GHz,Octa-core,"Samsung, 8.7"" (~22.1cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.333 kg,USB Type-C,,64 GB,Visos Samsung prekės,Yra
12,135.9,Samsung,Samsung Galaxy Tab A7 Lite 4G 3/32GB SM-T225NZAAEUE,Taip,Taip,Ne,1 TB,Micro SD,21.25 cm,5100,Li-Po,Yra,,,TFT,"8.7"" (~22.1cm)",,Yra,"200SAM00007,891292624,SM-T225NZAAEUB,SM-T225NZAAEUE,SM-T225ZAAEUE",,,0.8 cm,,Planšetiniai kompiuteriai,,,,1340 x 800,,,Android OS,Android 11,3072 MB,8 MP,"0,5 x 0,35 x 0,15 m, 0,66 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Brandberry, 					            Digizone, 					            EasyShop, 					            Minced, 					            KAM Trade SIA",12.47 cm,41602038,1 vnt.,Samsung,2 MP,2.3 GHz,MediaTek Helio P22T,"Samsung, 8.7"" (~22.1cm) planšetiniai kompiuteriai",,,Ne,Violetinė,0.366 kg,,,32 GB (dalis skirta OS),Visos Samsung prekės,Yra
13,199.65,Samsung,Samsung Galaxy Tab A9+ 5G 4/64GB Graphite SM-X216BZAAEUE,Taip,Taip,Taip,iki 1TB,MicroSD,25.71 cm,7040,Nenurodyta,Yra,,,TFT,11'' (~27.9 cm),,Yra,X216,,,0.69 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,4000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,"Kabelis, 					Planšetė, 					Vartotojo vadovas",,,"Pigu.lt, 					            Trajektorija, 					            Kouket, 					            Brandberry, 					            KATARATA, 					            Vitalimax, 					            Digizone, 					            Helmand Baltics, 					            SoulSet store, 					            Treat Stores, 					            KAM Trade SIA, 					            Proshop lt",16.87 cm,78014493,1 vnt.,Samsung,5 MP,1.8 GHz,Octa-core,"Samsung, 11'' (~27.9 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.491 kg,USB Type-C,,64 GB,Visos Samsung prekės,Yra
14,839.86,Samsung,Samsung Galaxy Tab S8 Ultra 5G 8/128GB Graphite SM-X906BZAAEUE,Taip,Taip,Taip,iki 1TB,Micro SD,20.86 cm,11200,,Yra,yra,,Super AMOLED,"14.6""",Yra,Yra,"SM-X906BZAAEUE,SM-X906BZAAEUE#",,Adreno 730,0.55 cm,,Planšetiniai kompiuteriai,,,,2960 x 1848,,,Android,,8000 MB,13 + 6 MP,"0,345 x 0,23 x 0,025 m, 1,025 kg",,,,,"Pro Baltic, 					            unashop eu, 					            Minced",32.64 cm,50746814,1 vnt.,Samsung,12 + 12 MP,,Qualcomm SM8450,"Samsung, 14.6"" planšetiniai kompiuteriai",Yra,,Ne,Pilka,0.728 kg,USB Type-C,,128 GB (dalis skirta OS),Visos Samsung prekės,Yra
15,369.65,Samsung,Samsung Galaxy Tab S6 Lite Black,Ne,Ne,Ne,1TB,MicroSD,,7040 mAh,,Yra,,,TFT,10.4'' (~26.31 cm),,Yra,SM-P613NZAASEB,,,,,Planšetiniai kompiuteriai,,,,2000 x 1200,,,Android,android,4000 MB,8,"0,19 x 0,22 x 0,14 m, 0,25 kg",,,,,"Pigu.lt, 					            Brandberry, 					            Minced, 					            HG plus, 					            KAM Trade SIA, 					            ovolt",,55258674,1 vnt.,Samsung,5,2.3 GHz,Octa-core,"Samsung, 10.4'' (~26.31 cm) planšetiniai kompiuteriai",,,Nenurodyta,Pilka,0.467 kg,,,64 GB,Visos Samsung prekės,Yra
