id,title,price,brand,Combined_remas,Combined_paskirtis,Combined_tipai,Combined_skersmuo,Combined_gears,Combined_gearsI
1,Tunturi Competence F20 treniruoklis,295.99,Tunturi,,,,,,
2,"Dviratis Esperia 226200U Life Comfort, 54, tamsiai pilkas",159,Esperia,,Moterims,,,,
3,El. Dviratis Esperia E960 50 36V12.8AH 2 juoda/geltona,659,Esperia,,Vyrams,,27.5,,
4,"Elektrinis dviratis HIMO ZB20 MAX, Pilkas",1085.37,Himo,,"Moterims
Vyrams",,,,
5,"Vaast Y/1 MOUNTIAN Jaunimas dviratis, 24'', Oranžinis",749.99,Vaast,,Vaikams,,,,
6,"Vaast Y/1 MOUNTIAN Jaunatviškas dviratis, 20'', GLOSS TEAL",679.99,Vaast,,Vaikams,,,,
7,"Dviratis Vaast U/1 STREET 650B dydis M 46 cm, juodas",839.99,Vaast,,"Moterims
Vyrams",,,,
8,"Elektrinis dviratis Fafrees F20 Master, 20"", mėlynas, 500W, 22,5Ah",1799.99,Fafrees,,,,,7,7
9,Mountain bike MMR ZEN 10 - Graphite N Baltas - dydis S / 23/2024,1235.99,MMR,aliuminis,ES,,,,
10,Mountain bike MMR RAKISH 70 - Juodas N Raudona - dydis XL / 23/2024,1549.99,MMR,anglies,,,,,
11,Mountain bike MMR RAKISH 90 - Juodas N Raudona dydis XL / 23/2024,1355.99,MMR,anglies,ES,,,,
12,Mountain bike MMR RAKISH 70 - Juodas N Raudona - dydis M / 23/2024,1549.99,MMR,anglies,,,,,
13,"HIMO C30R, elektrinis dviratis, sidabrinis",1141.03,Himo,,"Moterims
Vyrams",,,,
14,Kalnų dviratis MMR Rakish 60 EX - Graphite Juodas N Raudona - dydis XL / 23/2024,1539.99,MMR,anglies,ES,,,,
15,Dviratis Merida CROSSWAY 20 juodas-XS(43) (Dydis: XS(43)),531.96,Merida,Aliuminis XS(43) 43 ALLOY,Paaugliams,,28,24,24
