,id,brand,price,Vaizdo raiška,Combined_Laikas,Combined_Atstumas,Combined_Talpa,Combined_Stabilization,Combined_gps,Combined_svoris
0,1,DJI,28€,2.7K 2720 × 1530 30p,31 minutė,213 mm EB: 6000 m,2250 mAh,3 ašių (3-axis),"Vertikalus: ±10 cm, Horizontalus: ±30 cm","86,2 g 246"
1,2,DJI,96€,[4K UHD] 3840 × 2160 60p,34 minutes,CE: 10 000 m,2590 mAh,3 ašių (3-axis),,249 g
2,3,DJI,329€,2.7K 2720 × 1530 30p,31 minutė,"213 mm FCC: 10 000 m, CE: 6 000 m",2250 mAh,3 ašių (3-axis),"Vertikalus: ±10 cm, Horizontalus: ±30 cm","86,2 g 246"
3,4,DJI,142€,,,,,,,
4,5,DJI,63€,[4K UHD] 3840 × 2160 60p,,EB: 6000 m,2453 mAh,3 ašių (3-axis),,249 g
5,6,DJI,409€,"5,1K: 5120×2700@24/25/30/48/50fps, 4K: 3840×2160@24/25/30/48/50/60/120*fps, FHD: 1920×1080@24/25/30 /48/50/60/120*/200*fps",43 minutes,,5000 mAh,3 ašių (3-axis),,"335,5 g 963"
6,7,Parrot,,,32 minutes,,3400,Taip,Taip,7.0 500
7,8,DJI,152€,"5,1K: 5120×2700@24/25/30/48/50fps, 4K: 3840×2160@24/25/30/48/50/60/120*fps, FHD: 1920×1080@24/25/30 /48/50/60/120*/200*fps",43 minutes,,5000 mAh,3 ašių (3-axis),,"335,5 g 958"
8,9,Extra Digital,6€,,,,,,,0.093
9,10,DJI,47€,"[4K UHD] 3840 × 2160 60p, [4K UHD] 3840 × 2880 60p",23 minutes,"56 – 72 mm FCC: 13 000 m, CE: 10 000 m",3000 mAh 2150 mAh,Vienos ašies,"Vertikalus: ±50 cm, Horizontalus: ±150 cm",145 g 470 377
10,11,DJI,34€,[4K UHD] 3840 × 2160 30p,18 minučių,,1435 mAh,Vienos ašies,"Vertikalus: ±50 cm, Horizontalus: ±150 cm",45 g 135
11,12,DJI,83€,,,,,,,
12,13,DJI,,,,,,,,
13,14,DJI,48€,[4K UHD] 3840 × 2160 30p,18 minučių,56 – 72 mm CE: 10 000 m,3000 mAh 1435 mAh,Vienos ašies,"Vertikalus: ±50 cm, Horizontalus: ±150 cm",45 g 470 135
14,15,DJI,355€,,,,,,,"(6.0,)"
16,17,DJI,22€,[4K UHD] 3840 × 2160 30p,18 minučių,,1435 mAh,Vienos ašies,"Vertikalus: ±50 cm, Horizontalus: ±150 cm",45 g 135
17,18,Extralink,4€,,,,,,,
18,19,Extralink,5€,,,,,,,0.94 1.00
19,20,DJI,61€,[4K UHD] 3840 × 2160 60p,34 minutes,CE: 10 000 m,2590 mAh,3 ašių (3-axis),,249 g
20,21,DJI,29€,[4K UHD] 3840 × 2160 30p,31 minutė,EB: 6000 m,2250 mAh,3 ašių (3-axis),"Horizontalus: ±150 cm, Vertikalus: ±50 cm","82,5 g 246"
21,22,,,,,,,,,
