id,title,price,brand,Montavimo tipas,Energijos klasė,Valdymas,Spalva,Talpa (L),Tipas,Aukštis (cm),Plotis,Gylis,Metinės energijos sąnaudos,Garso lygio klasė,Gamintojas
1,Šaldytuvas Sharp SJ-FTB01ITXSE-EU,219,Sharp,Laisvai statomi,E,,,213.0,Su kamera viršuje,145.0,,,,,Sharp
2,Šaldytuvas Hisense RR106D4CBE 85cm Juodas,165,Hisense,Laisvai statomi,E,,Juoda,82.0,"Mini

Su kamera viduje",85.0,,,,,Hisense
3,"Šaldytuvas Bosch KGN36NWEA 2 serija, Baltos spalvos",450,,Laisvai statomi,E,,Balta,302.0,Su kamera apačioje,186.0,,,,,Bosch
4,Šaldytuvas Haier HLE 172 DE,450,Haier,Įmontuojami,F,,Balta,316.0,Be kameros,1.739,,,,,Haier
5,Įmontuojamasis šaldytuvas Bosch KIN86NSE0 NoFrost,777,,Įmontuojami,E,,Balta,76.0,Su kamera apačioje,177.0,,,,,Bosch
6,"AEG Įmontuojamas šaldytuvas SKE818D1DS, 178 cm",799,AEG,Įmontuojami,D,,Balta,,Be kameros,178.0,,,,,AEG
7,Įmontuojamas šaldytuvas Liebherr ICNd 5103 Pure NoFrost,1049.99,Liebherr,Pastatytas,D,Internal touch control LCD,Balta,183.0,Šaldytuvas su apatiniu šaldikliu,177.2,55.9,54.6,181,B,Liebherr
8,"Šaldytuvas Bosch KGN36NLEA 2 serija, Nerūdijančio plieno efektas",470,,Laisvai statomi,A++,,Sidabrinė,302.0,Su kamera apačioje,186.0,,,,,Bosch
9,"Bosch Bsh Fclg Giengen Serija 2, Įmontuojamasis šaldytuvas, 177.5 x 56 cm, slankiojantis vyris KIR815SE0",645,,Įmontuojami,E,,Balta,310.0,Be kameros,177.2,,,,,Bosch
10,Šaldytuvas Mini baras GUZZANTI GZ-44G,226.71,Guzzanti,Laisvai statomi,B,,juodas,40.0,Mini,55.5,,,,,Guzzanti
11,Šaldytuvas Gorenje RB492PW,194.99,,Laisvai statomi,E,,Balta,107.0,Su kamera viduje,84.5,,,,,Gorenje
12,Šaldytuvas BEKO B3RCNA364HW,405.99,Beko,Laisvai statomi,E,,Balta,316.0,Su kamera apačioje,186.5,,,,,Beko
13,LIEBHERR IRe 5100 Įmontuojamas šaldytuvas,870,Liebherr,Pastatytas,E,Internal touch control LCD,Balta,309.0,Fridge without freezer,177.2,56.0,55.0,114,B,Liebherr
14,Šaldytuvas Samsung BRB26705EWW/EF,559.99,Samsung,Įmontuojami,E,,Balta,267.0,Su kamera apačioje,"177,5",,,,,Samsung
15,Šaldytuvas Gorenje LODÓWKA NRK620CA2XL4,620,Gorenje,Laisvai statomi,C,,pilka,235.0,Laisvai pastatomas,,60,59.2,,,Gorenje
16,Šaldytuvas Severin RKG 8928 Retro juodas (Ekspozicinė prekė),500,Severin,,E,,,,Su kamera apačioje,,,,,,Severin
17,Midea Šaldytuvas | MDRD142FGE01 | Energy efficiency class E | Free standing | Larder | Height 86 cm | Šaldytuvas net cap (Ekspozicinė prekė),95,Midea,,,,,,,,,,,,Midea
18,MPM 46-CJ-01/H šaldytuvas Pastatomi Balta (Ekspozicinė prekė),100,MPM,,,,Biały,,,,44 cm,47 cm,,,MPM
19,Įmontuojamas šaldytuvas su šaldikliu 188cm Electrolux LNS9TE19S,895.22,Electrolux,Pastatytas,E,Internal touch control LCD,Balta,274.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,213,C,Electrolux
20,Šaldytuvas AEG SCB819E8TS,748.99,AEG,Pastatytas,E,Internal touch control LCD,Balta,273.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,235,,AEG
21,Whirlpool Šaldytuvas-šaldiklis WHC20 T573 P,789,Whirlpool,Integruota,D,,Pilnai įmontuojama,280.0,Su kamera apačioje,194.0,54.0,54.5,,,Whirlpool
22,Šaldytuvas Caso | Dry aging cabinet with compressor technology | DryAged Master 63 | Energy efficiency class Not apply | Free standing | Bottles capacity Not apply | Cooling type Compressor technology | Nerūdijantis plienas,929.99,Caso,Laisvai statomi,,,Sidabrinė,63.0,Vitrina,87.5,,,,,Caso
23,Šaldytuvas BEKO B3RCNA404HW,492.90,Beko,Laisvai statomi,E,,Balta,355.0,Šaldytuvas-Šaldytuvas,203.5,595 mm,663 mm,,,Beko
24,Šaldytuvas Gotie GLZ-85B,189.99,Gotie,Laisvai statomi,F,,Balta,60.0,Laisvai pastatomas,,53.6,48.6,,,Gotie
25,"Šaldytuvas Bosch KGN49VXCT 4 serija, Juodos spalvos",879.80,,Laisvai statomi,C,,Pilka,440.0,Su kamera apačioje,203.0,,,,,Bosch
26,First Austria Mini baras-šaldytuvas First FA-5172-1 30L,172.91,First Austria,Laisvai statomi,E,,Juoda,48.0,Mini,48.0,,,,,First Austria
27,Įmontuojamas Šaldytuvas - Amica UC162.4(E) 135L Balta,279.99,Amica,Įmontuojami,E,,Netaikoma,135.0,Pastatas,81.8,61.00,55,,,Amica
28,LIEBHERR IRBd 5151 Įmontuojamas šaldytuvas,1579.99,Liebherr,Pastatytas,D,Internal touch control LCD,Balta,277.0,Fridge with freezer inside,177.2,56.0,55.0,164,B,Liebherr
