id,title,price,brand,Combined_raiska,Combined_istrizaine,Combined_operacine
1,Televizorius LG OLED55B42LA,849,LG,4K,"55 55"" 50 - 58",webOS WebOS
2,Televizorius LG OLED55C41LA,1019,LG,4K,55,webOS
3,Televizorius Xiaomi QLED TV A Pro 2025 55'' ELA5479EU,339,Xiaomi,"3840 x 2160

4K","55 55""",Google TV
4,Televizorius Samsung QE50Q60DAUXXH,399,Samsung,3840 x 2160,127 cm (50 colių),Tizenas
5,Televizorius Samsung QE55Q60DAUXXH,459,Samsung,4K,"140 cm (55"")",Tizenas
6,"Televizorius LG OLED65C41LA 65"" (139 cm) OLED evo C4 4K Smart TV",1299,LG,4K,65,webOS
7,Televizorius Samsung QE43Q60DAUXXH,359.99,Samsung,3840 x 2160,"109 cm (43"")",Tizenas
8,"Televizorius SAMSUNG TV UHD 43"" UE43CU8072U",329,Samsung,4K,"43 43"" 40 - 43",Tizen Tizen™
9,Televizorius Xiaomi TV | A 2025 | 43 | Smart TV | Google TV | UHD | Juodas,285.32,Xiaomi,4K,"43 43""",Google TV
10,"Televizorius|SAMSUNG|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Tizen|Juodas|UE43DU7172UXXH",299,Samsung,4K,"43 43"" 40 - 43",Tizen Tizen™
11,Televizorius TELEFUNKEN 42FG6010 FHD,179,,Full HD,42,
12,Televizorius Toshiba 32WL1C63DG,139,,HD Ready,32,Neturi
13,Televizorius Xiaomi TV | A 2025 | 32 | Smart TV | Google TV | HD | Juodas,147.99,Xiaomi,HD Ready,32 32'',Google TV
14,"Televizorius Xiaomi Smart TV A Pro 2025 75"" 190 cm",699,Xiaomi,"4K

3840 x 2160","75 75""",Google TV
15,SONY KD50X75WLPAEP LCD televizorius,593.35,Sony,4K,"50 50"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
16,"Televizorius LG 50"" 4K Smart UHD TV UQ75",449,LG,3840 x 2160,50,
17,"Xiaomi Smart TV | A Pro 2025 | 65"" | 165 cm | 4K UHD (2160p) ELA5485EU",489,Xiaomi,"3840 x 2160

4K","65 65""",Google TV
18,"„Philips“ 4K UHD LED 43 colių išmanusis televizorius 43PUS7609/12 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi, DVB-T/T2/T2-HD/C/S/S2, 20 W",279,Philips,4K,43,
