,id,title,price,brand,Combined_ekrano_rai,Combined_ekrano_dyd,Combined_ekrano_įs,Combined_ekrano_t,Combined_gps,Combined_vidinė,Combined_svor,Combined_g4g
0,1,"Planšetė Lenovo Tab M11 11“ 8GB / 128GB LTE + WiFi, Pilkos spalvos + Lenovo Folio dėklas + Lenovo Tab rašiklis (ZADB0299SE)",225,Lenovo,,,11.0,,,128,,
1,2,"Planšetinis kompiuteris Lenovo Tab M10 (3rd Gen) 10.1"" TB328FU 4/64GB Wi-Fi (ZAAE0000SE), Pilkas",129,Lenovo,,,10.1,,,64,,
2,3,"Planšetinis kompiuteris Lenovo Tab M11, 11"", 4GB / 128GB, 4G LTE, Pilkos (Luna Grey) spalvos (ZADB0034SE)",179,Lenovo,1920 x 1200,"11""","11"" - 11,9",IPS,,128 128,"0,465 0.82",
3,4,"Planšetė Lenovo Tab M11 11“ 8GB / 128GB LTE + WiFi, Pilkos spalvos + Lenovo Folio dėklas + Lenovo Tab rašiklis (ZADB0299SE)",225,Lenovo,,,9.0,,,64,,
4,5,"Planšetinis kompiuteris Lenovo Tab M10 (3rd Gen) 10.1"" TB328FU 4/64GB Wi-Fi (ZAAE0000SE), Pilkas",129,Lenovo,1200 x 2000,"10,4""","10"" - 10,9",IPS,,128 128 GB,"0,460 0.8",
5,6,"Planšetinis kompiuteris Lenovo Tab M11, 11"", 4GB / 128GB, 4G LTE, Pilkos (Luna Grey) spalvos (ZADB0034SE)",179,Lenovo,,,"10,4''",,,128 128,0.750,Integruota Integruota
6,7,"Planšetinis kompiuteris Lenovo Tab M9 9"" HD 4/64GB LTE Arctic Grey (ZAC50008SE), Pilkas",123,Lenovo,,,8'',,,64 64,290,Integruota Integruota
7,8,"Planšetinis kompiuteris Kruger & Matz EAGLE 1075, 10.4"", 6 GB / 128 GB, Wi-Fi + LTE",129,Kruger & Matz,,,8.7,,,4,,
8,9,"Planšetinis kompiuteris Kruger & Matz Eagle KM1076 10.4"" 8GB / 128GB Wi-Fi + LTE",149,Kruger & Matz,,,11.5,,,128,"0,805 kg 0,52 kg",
9,10,"Planšetinis kompiuteris Kruger & Matz Eagle 807 8.4"" 4GB / 64GB Wi-Fi + LTE",95,Dahua,1280 x 800,"10,1""","10"" - 10,9",IPS,,64 64,"0,480 1",
10,11,"Planšetinis kompiuteris Xiaomi Redmi Pad SE 8.7” 4G, 4/64GB, Pilkos spalvos",143.99,Xiaomi,,,10.1,,,16,,
11,12,"Planšetė Lenovo Tab P11 (2nd Gen) 11.5"" 4GB / 128GB Wi-Fi + LTE Storm Grey (ZABG0262SE)",255,Lenovo,1200x2000,"10.36""",10.36,IPS LCD,,128 128 GB,"8,3 kg 0,47 kg 0,78 kg 0,46 kg",
12,13,eSTAR 10'' HERO Harry Potter Planšetė 2GB/64GB eSTAR 10'' HERO Harry Potter Planšetė 2GB/64GB,83.99,eStar,1280 x 800,"10,1""","10"" - 10,9",IPS,,64 64 GB,"0,480 1",
13,14,"Planšetinis kompiuteris Allview Viva 1003G 10.1, 2 GB, 16 GB, Juodos spalvos",100.99,,,,8.7,,,4,,
14,15,"Planšetė Prestigio Solutions Virtuoso 10,36 colių planšetinis kompiuteris T618 6GB+128GB, 1200*2000K IPS skydelis 400cd/m2, TP įdėklas, kamera priekyje 5MP+ galinė 8MP, 8000mAh baterija, dvigubas Wifi, FW5.0, greitas, GPS1,2G /4G, Android13",144.99,Prestigio,,,8.0,,,64,,
15,16,Planšetė eSTAR 10'' HERO Looney Tunes 2GB/64GB eSTAR 10'' HERO Looney Tunes 2GB/64GB,93.89,eStar,,,8'',,,32 32,0.380,Integruota Integruota
16,17,"Planšetinis kompiuteris Xiaomi Redmi Pad SE 8.7” Wi-Fi 4/64GB Graphite Gray (VHU5082EU), Pilkas",123.99,Xiaomi,,,11.0,,,64,,
17,18,"Planšetinis kompiuteris Nokia T10 8"" 4/64GB Wi-Fi + LTE Blue (TA-1457) Mėlynas",136.99,Nokia,2304 x 1440,"10,9""","10"" - 10,9","TFT IPS LCD, 90Hz",,256.0 128 256,0.2178 0.5082 0.726 0.726 0.9,
18,19,"Planšetinis kompiuteris Kruger & Matz Eagle 806 8"" 3GB / 32GB Wi-Fi + LTE (KM0806)",129,Kruger & Matz,,,8.7,,,128,,
19,20,"Planšetė Samsung Galaxy Tab A9+ WIFI, 64 GB, 11 col., Mėlynos spalvos",195.99,Samsung,2560 x 1600,"12,4 colio IPS LCD (2560 × 1600, 244 PPI), 90 Hz","12"" - 12,9","IPS LCD, 90Hz",,256 256 GB,"0,627 0.95",
20,21,Planšetė Samsung Galaxy Tab S9 FE 5G 256GB GRAY,750.99,Samsung,1600 x 2560,"12,1""","12"" - 12,9",IPS 120Hz,,256 128 GB,"0,571 1",
21,22,"Planšetinis kompiuteris Xiaomi Redmi Pad SE 8.7” 4G, 4/128GB, Mėlynos spalvos",169.99,Xiaomi,,,11.0,,,64,,
22,23,"Planšetė Samsung Galaxy Tab S9 FE+ 12.4"" 5G 256GB Gray (SM-X616B)",855.99,Samsung,1900 x 1200,"11""","11"" - 11,9","TFT LCD, 90Hz",,128 128,"0,480 0.66",
23,24,"Planšetinis kompiuteris Xiaomi Redmi Pad Pro 12.1"" (Graphite Gray) 6G RAM 128G ROM WiFi",249,Xiaomi,,,10.1,,,64,,
24,25,"Planšetė Samsung Galaxy Tab A9+ 5G, 64GB, 11 col., Pilkos spalvos",197.47,Samsung,1280 x 800,"10,1",10.0,,,64 GB 64,0.1431 0.3339 0.477 0.477 0.477,
25,26,Planšetė Samsung Galaxy Tab A9+ X210 11.0 WiFi 8GB RAM 128GB - Sidabrinis,245.99,Samsung,1200 x 800,"10,1""","10"" - 10,9",IPS,,64 64,"0,450 0.55",
26,27,"Planšetė Lenovo Tab M10 (3rd Gen) 10.1"" 4/64GB Wi-Fi + LTE (ZAAF0033SE), Pilka",199.99,Lenovo,,,11.0,,,128,,
27,28,Planšetė 10.1 Wi-Fi planšetinis kompiuteris vaikams Kakė Makė,99.99,Kake Make,,"10,61",10.61,IPS,,128,"1,00000 490",Taip Taip
28,29,eSTAR URBAN 1021W Planšetė WIFI,75,eStar,,,13.0,,,,1350 730,
